condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,-0.00018013493518493766,-1.7272969985775907e-08,0.08798572980496186,0.6485491774101958,0.6621688081187646,0.020568215448357408,278305289.7876353,273623312.3402094,0.01711103270910108,0.9999999999500607,29.20924143389024,7.02881802962162e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,-0.00016636935808678422,3.0035802837480117e-05,0.10101814004617665,0.6826472456589868,0.6621688081187646,0.0309263095590413,266957063.89218345,273623312.3402094,0.02436286729742343,0.999999999950306,29.20924143389024,3.719609157637008e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,-0.00015279727137663742,2.656074504708781e-05,0.14258297006225007,0.6974426718244106,0.6621688081187646,0.05327019828351598,261308053.72175583,273623312.3402094,0.04500807520062988,0.9999999999506396,29.20924143389024,5.504990113037591e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,-0.00016656285214619628,-3.4922952915259613e-06,0.111792634952605,0.6592946414464528,0.6621688081187646,0.004340534674952989,273525638.20004815,273623312.3402094,0.00035696571072796335,0.9999999999503886,29.20924143389024,2.19545516492291e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,-0.0001949681343986897,-1.9476582278011545e-05,0.22548183231932048,0.6273848591868082,0.6621688081187646,0.052530334418466884,286623125.2917421,273623312.3402094,0.04750988810255086,0.9999999999497339,29.20924143389024,1.512458363469131e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,-0.0001642107652137381,4.7672889116740905e-05,0.19914016863906303,0.7018845657725289,0.6621688081187646,0.059978297326625185,261846289.41426566,273623312.3402094,0.04304100708824399,0.9999999999502771,29.20924143389024,7.732917822455675e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,-0.000133885740132609,3.990833594238326e-05,0.2743361529845899,0.7462381832838875,0.6621688081187646,0.12696063924237966,247218194.97023597,273623312.3402094,0.09650170939069203,0.9999999999510242,29.20924143389024,1.287815563335827e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,-0.00016464310816072177,-2.724114678264449e-05,0.24421479727838744,0.6480919236214189,0.6621688081187646,0.021258755055736267,276752966.39160985,273623312.3402094,0.011437819477563949,0.9999999999504665,29.20924143389024,5.484998272605476e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,-0.0002050286125042224,-3.5555536265371255e-05,0.3337369343458965,0.6142878042368416,0.6621688081187646,0.07230936174410552,292074160.4090695,273623312.3402094,0.06743156462457844,0.9999999999495038,29.20924143389024,2.1357975431824213e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,-0.00016157255307051434,5.931778363253083e-05,0.26713477100050487,0.720142056338692,0.6621688081187646,0.08755055736411177,257320579.4537456,273623312.3402094,0.059580935363408694,0.9999999999502657,29.20924143389024,1.09130372755496e-10
