condition,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,selected_formula,direct_reference_formula,selection_matches_direct_reference,direct_formula_choice_regret
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
N2_active_stretch150_sto3g,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase2,rhf_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.005__phase3,rhf_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase0,rhf_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase1,rhf_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase2,rhf_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.01__phase3,rhf_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase0,rhf_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase1,rhf_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase2,rhf_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_eq_sto3g,rhf_orthogonal_component__de0.05__phase3,rhf_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase0,cisd_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase1,cisd_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase2,cisd_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.001__phase3,cisd_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase0,cisd_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase1,cisd_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase2,cisd_orthogonal_component,0.005,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.005__phase3,cisd_orthogonal_component,0.005,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase0,cisd_orthogonal_component,0.01,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase1,cisd_orthogonal_component,0.01,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase0,rhf_orthogonal_component,0.005,0,0.0,current_m3,current_m3,True,0.0
CO_active_stretch150_sto3g,rhf_orthogonal_component__de0.005__phase1,rhf_orthogonal_component,0.005,1,1.5707963267948966,current_m3,current_m3,True,0.0
