condition,evaluation_group,strategy,selected_formula,selected_time,rotations,predicted_error_hartree,direct_error_hartree,predicted_cost,stored_budget_gamma_1_01,recomputed_budget_gamma_1_01,stored_s4_beta,practical_cost_beta,stored_phase_error_hartree,protocol_beta_phase_error_hartree,consistent_phase_error_hartree,cost_identity_phase_error_hartree,stored_energy_margin_hartree,consistent_energy_margin_hartree,stored_success,consistent_success,stored_phase_matches_protocol_beta,consistent_phase_matches_cost_identity,direct_cost_matches_practical_beta,success_changed,joint_formula_time_selection_regret
N2_active_eq_sto3g,primary,practical_baseline,current_m3,0.5983202971910435,19176,3.0348397151007198e-05,2.1708888669736095e-05,298110124.44559836,301091225.69005436,301091225.69005436,0.105,1.2,1.1176748655151356e-05,1.1176748655151356e-05,0.00012773427034458692,0.00012773427034458695,0.00012647437287415254,9.91685118471698e-06,True,True,True,True,True,False,0.02133754522155451
N2_active_eq_sto3g,primary,fixed_current_m3,current_m3,0.5983202971910435,19176,3.0348397151007198e-05,2.1708888669736095e-05,298110124.44559836,301091225.69005436,301091225.69005436,0.105,1.2,1.1176748655151356e-05,1.1176748655151356e-05,0.00012773427034458692,0.00012773427034458695,0.00012647437287415254,9.91685118471698e-06,True,True,True,True,True,False,0.02133754522155451
N2_active_eq_sto3g,primary,fixed_yoshida4,yoshida4,0.14818867651236942,8296,3.1964080343773546e-05,3.061937791078128e-05,527326281.8872622,532599544.70613486,532599544.70613486,0.105,1.2,1.103677610132259e-05,1.103677610132259e-05,0.00012613458401511532,0.00012613458401511532,0.00011770385618693612,2.6060482731433987e-06,True,True,True,True,True,False,0.9074925597225654
N2_active_eq_sto3g,primary,diagnostic_record_only,current_m3,0.5983202971910435,19176,3.0348397151007198e-05,2.1708888669736095e-05,298110124.44559836,301091225.69005436,301091225.69005436,0.105,1.2,1.1176748655151356e-05,1.1176748655151356e-05,0.00012773427034458692,0.00012773427034458695,0.00012647437287415254,9.91685118471698e-06,True,True,True,True,True,False,0.02133754522155451
N2_active_eq_sto3g,primary,universal_fallback,current_m3,0.31317471718976364,19176,2.070319806227094e-06,1.6661441564534198e-06,467145656.97218615,471817113.541908,471817113.541908,0.105,1.2,1.3626582088486268e-05,1.3626582088486268e-05,0.00015573236672555734,0.00015573236672555734,0.0001440672839541003,1.961499317029242e-06,True,True,True,True,True,False,0.7032613551742977
N2_active_eq_sto3g,primary,state_targeted_fallback,current_m3,0.5983202971910435,19176,3.0348397151007198e-05,2.1708888669736095e-05,298110124.44559836,301091225.69005436,301091225.69005436,0.105,1.2,1.1176748655151356e-05,1.1176748655151356e-05,0.00012773427034458692,0.00012773427034458695,0.00012647437287415254,9.91685118471698e-06,True,True,True,True,True,False,0.02133754522155451
N2_active_eq_sto3g,primary,equal_cost_extra_points,current_m3,0.6049909186671855,19176,3.07430285107533e-05,2.2676905385616652e-05,295727762.8145284,298685040.4426737,298685040.4426737,0.105,1.2,1.1142560294777315e-05,1.1142560294777315e-05,0.00012734354622602646,0.00012734354622602646,0.00012554054451864604,9.339558587396905e-06,True,True,True,True,True,False,0.017229851202428037
N2_active_stretch150_sto3g,primary,practical_baseline,current_m3,0.8303584711475099,18952,2.8064634326220847e-05,8.568591745727244e-06,208603332.59679866,210689365.92276666,210689365.92276666,0.105,1.2,1.1374599394922454e-05,1.1374599394922454e-05,0.00012999542165625661,0.0001299954216562566,0.00013941681905839032,2.0795996797056158e-05,True,True,True,True,True,False,0.22759988252141805
N2_active_stretch150_sto3g,primary,fixed_current_m3,current_m3,0.8303584711475099,18952,2.8064634326220847e-05,8.568591745727244e-06,208603332.59679866,210689365.92276666,210689365.92276666,0.105,1.2,1.1374599394922454e-05,1.1374599394922454e-05,0.00012999542165625661,0.0001299954216562566,0.00013941681905839032,2.0795996797056158e-05,True,True,True,True,True,False,0.22759988252141805
N2_active_stretch150_sto3g,primary,fixed_yoshida4,yoshida4,0.2507535059346314,8200,3.224333972894146e-05,2.643135265899655e-05,308706359.01382095,311793422.60395914,311793422.60395914,0.105,1.2,1.1012582837756062e-05,1.1012582837756062e-05,0.000125858089574355,0.000125858089574355,0.00012191607470228738,7.070567965688449e-06,True,True,True,True,True,False,0.9952267434725415
