experiment_id,case_id,formula_id,grid_role,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm,unitarity_residual_frobenius,branch_reliable,direct_cost,infeasible_error_budget
B,H4,yoshida4,mechanism_fixed,-1,0.1,-0.1,0,0.1834910105377799,0.1834910105377799,0,-4.701598432799159e-07,0.999999999999936,0.9999999999999356,0.9999999999999356,1.5942510475839737e-15,2.4079760759284475e-13,True,84284804.66193926,False
B,H4,yoshida4,mechanism_fixed,-1,0.125,-0.125,0,0.22936384771251667,0.22936384771251667,0,-1.1464821778606193e-06,0.9999999999996225,0.9999999999998699,0.9999999999998699,4.07610813742135e-15,2.4154677516197465e-13,True,67716080.50207828,False
B,H4,yoshida4,mechanism_fixed,-1,0.15,-0.15,0,0.27523680136456863,0.27523680136456863,0,-2.3738791687932803e-06,0.9999999999983635,0.999999999999565,0.999999999999565,3.4728353311675377e-15,2.3889968557508285e-13,True,56871265.89723923,False
B,H4,yoshida4,mechanism_fixed,-1,0.175,-0.175,0,0.32110995446976315,0.32110995446976315,0,-4.390323548264519e-06,0.9999999999943725,0.9999999999988058,0.9999999999988058,1.9414287262442647e-15,2.4071722490413946e-13,True,49381086.03017643,False
B,H4,yoshida4,mechanism_fixed,-1,0.2,-0.2,0,0.3669834220028059,0.3669834220028059,0,-7.474796074102841e-06,0.9999999999836124,0.9999999999971882,0.9999999999971882,1.8797121690653173e-15,2.372852797639166e-13,True,44085923.95631104,False
B,H4,yoshida4,mechanism_fixed,-1,0.225,-0.225,0,0.4128573558114267,0.4128573558114267,0,-1.1946166163179228e-05,0.999999999957897,0.9999999999940445,0.9999999999940445,1.3658798426063637e-15,2.3992725417098e-13,True,40376126.40066615,False
B,H4,yoshida4,mechanism_fixed,-1,0.25,-0.25,0,0.4587319492816099,0.4587319492816099,0,-1.8161908484026767e-05,0.9999999999020639,0.9999999999883871,0.9999999999883871,2.6558043360243602e-15,2.391005592660005e-13,True,37938187.09271234,False
B,H4,yoshida4,mechanism_fixed,-1,0.275,-0.275,0,0.5046074417661863,0.5046074417661863,0,-2.6516659085595862e-05,0.9999999997897415,0.9999999999788052,0.9999999999788052,2.650873542428569e-15,2.399683381317704e-13,True,36658350.91482679,False
B,H4,yoshida4,mechanism_fixed,-1,0.3,-0.3,0,0.5504841227498358,0.5504841227498358,0,-3.744061483068606e-05,0.999999999577547,0.9999999999633542,0.9999999999633542,1.70643853369759e-15,2.397098176760392e-13,True,36614354.80805132,False
B,H4,yoshida4,mechanism_fixed,-1,0.35,-0.35,0,0.6422424817508778,0.6422424817508778,0,-6.88840702669502e-05,0.9999999985445858,0.9999999996903361,0.9999999996903361,3.064383462077874e-15,2.3684106220309854e-13,True,42290643.42583985,False
B,H4,yoshida4,mechanism_fixed,-1,0.4,-0.4,0,0.7340104840186796,0.7340104840186796,0,-0.00011657482874349867,0.9999999957459014,0.9999999992668527,0.9999999992668527,2.493353504205053e-15,2.396871028291089e-13,True,78251391.86283346,False
B,H4,yoshida4,mechanism_fixed,1,0.1,0.1,0,-0.1834910105377799,-0.1834910105377799,0,-4.701598432799159e-07,0.999999999999936,0.9999999999999356,0.9999999999999356,1.5942510475839737e-15,2.4079760759284475e-13,True,84284804.66193926,False
B,H4,yoshida4,mechanism_fixed,1,0.125,0.125,0,-0.22936384771251667,-0.22936384771251667,0,-1.1464821778606193e-06,0.9999999999996225,0.9999999999998699,0.9999999999998699,4.07610813742135e-15,2.4154677516197465e-13,True,67716080.50207828,False
B,H4,yoshida4,mechanism_fixed,1,0.15,0.15,0,-0.27523680136456863,-0.27523680136456863,0,-2.3738791687932803e-06,0.9999999999983635,0.999999999999565,0.999999999999565,3.4728353311675377e-15,2.3889968557508285e-13,True,56871265.89723923,False
B,H4,yoshida4,mechanism_fixed,1,0.175,0.175,0,-0.32110995446976315,-0.32110995446976315,0,-4.390323548264519e-06,0.9999999999943725,0.9999999999988058,0.9999999999988058,1.9414287262442647e-15,2.4071722490413946e-13,True,49381086.03017643,False
B,H4,yoshida4,mechanism_fixed,1,0.2,0.2,0,-0.3669834220028059,-0.3669834220028059,0,-7.474796074102841e-06,0.9999999999836124,0.9999999999971882,0.9999999999971882,1.8797121690653173e-15,2.372852797639166e-13,True,44085923.95631104,False
B,H4,yoshida4,mechanism_fixed,1,0.225,0.225,0,-0.4128573558114267,-0.4128573558114267,0,-1.1946166163179228e-05,0.999999999957897,0.9999999999940445,0.9999999999940445,1.3658798426063637e-15,2.3992725417098e-13,True,40376126.40066615,False
B,H4,yoshida4,mechanism_fixed,1,0.25,0.25,0,-0.4587319492816099,-0.4587319492816099,0,-1.8161908484026767e-05,0.9999999999020639,0.9999999999883871,0.9999999999883871,2.6558043360243602e-15,2.391005592660005e-13,True,37938187.09271234,False
B,H4,yoshida4,mechanism_fixed,1,0.275,0.275,0,-0.5046074417661863,-0.5046074417661863,0,-2.6516659085595862e-05,0.9999999997897415,0.9999999999788052,0.9999999999788052,2.650873542428569e-15,2.399683381317704e-13,True,36658350.91482679,False
B,H4,yoshida4,mechanism_fixed,1,0.3,0.3,0,-0.5504841227498358,-0.5504841227498358,0,-3.744061483068606e-05,0.999999999577547,0.9999999999633542,0.9999999999633542,1.70643853369759e-15,2.397098176760392e-13,True,36614354.80805132,False
B,H4,yoshida4,mechanism_fixed,1,0.35,0.35,0,-0.6422424817508778,-0.6422424817508778,0,-6.88840702669502e-05,0.9999999985445858,0.9999999996903361,0.9999999996903361,3.064383462077874e-15,2.3684106220309854e-13,True,42290643.42583985,False
B,H4,yoshida4,mechanism_fixed,1,0.4,0.4,0,-0.7340104840186796,-0.7340104840186796,0,-0.00011657482874349867,0.9999999957459014,0.9999999992668527,0.9999999992668527,2.493353504205053e-15,2.396871028291089e-13,True,78251391.86283346,False
B,H4,yoshida4,decision_frozen_grid,1,0.07187055691036282,0.07187055691036282,0,-0.13187598638827602,-0.13187598638827602,0,-1.2557257478285067e-07,0.9999999999999929,0.9999999999999927,0.9999999999999927,2.0386173644646578e-15,2.4063833277278934e-13,True,117019282.82140912,False
B,H4,yoshida4,decision_frozen_grid,1,0.0722451563178385,0.0722451563178385,0,-0.13256334268795744,-0.13256334268795744,0,-1.282096779853248e-07,0.9999999999999958,0.999999999999998,0.999999999999998,1.504891953804249e-15,2.394381408341011e-13,True,116414452.39703545,False
B,H4,yoshida4,decision_frozen_grid,1,0.07262170818988536,0.07262170818988536,0,-0.1332542815899416,-0.1332542815899416,0,-1.3090210182475914e-07,0.999999999999996,1.0000000000000013,1.0000000000000013,4.080544806212293e-15,2.406909282345473e-13,True,115812788.39110476,False
B,H4,yoshida4,decision_frozen_grid,1,0.07300022270302226,0.07300022270302226,0,-0.13394882176739242,-0.13394882176739242,0,-1.3365110396179603e-07,0.9999999999999929,0.9999999999999984,0.9999999999999984,2.5315875495202012e-15,2.395879756832357e-13,True,115214274.93337959,False
B,H4,yoshida4,decision_frozen_grid,1,0.07338071008680935,0.07338071008680935,0,-0.13464698199078878,-0.13464698199078878,0,-1.3645775398529736e-07,0.9999999999999918,0.9999999999999951,0.9999999999999951,1.7577907779279943e-15,2.4158073180628086e-13,True,114618896.08949971,False
B,H4,yoshida4,decision_frozen_grid,1,0.07376318062412475,0.07376318062412475,0,-0.1353487811284644,-0.1353487811284644,0,-1.3932337816768836e-07,0.9999999999999927,0.9999999999999949,0.9999999999999949,2.5005327259880526e-15,2.4036120787686816e-13,True,114026636.18274032,False
B,H4,yoshida4,decision_frozen_grid,1,0.07414764465144236,0.07414764465144236,0,-0.13605423814708612,-0.13605423814708612,0,-1.4224912314730886e-07,0.9999999999999933,0.9999999999999973,0.9999999999999973,2.5828292015289177e-15,2.3927712242114047e-13,True,113437479.4781398,False
B,H4,yoshida4,decision_frozen_grid,1,0.07453411255911127,0.07453411255911127,0,-0.13676337211219342,-0.13676337211219342,0,-1.4523632407836828e-07,0.9999999999999909,0.999999999999996,0.999999999999996,4.8284122610498006e-15,2.3970558743189707e-13,True,112851410.44651154,False
B,H4,yoshida4,decision_frozen_grid,1,0.07492259479163649,0.07492259479163649,0,-0.1374762021886927,-0.1374762021886927,0,-1.4828621885953908e-07,0.9999999999999911,0.9999999999999944,0.9999999999999944,2.6121039419036453e-15,2.4255401313395084e-13,True,112268413.55923106,False
B,H4,yoshida4,decision_frozen_grid,1,0.07531310184796124,0.07531310184796124,0,-0.13819274764138928,-0.13819274764138928,0,-1.5140013776004935e-07,0.9999999999999931,0.9999999999999969,0.9999999999999969,2.3154620500985615e-15,2.41812731347604e-13,True,111688473.4228025,False
B,H4,yoshida4,decision_frozen_grid,1,0.07570564428175075,0.07570564428175075,0,-0.13891302783550502,-0.13891302783550502,0,-1.5457945790053884e-07,0.999999999999998,1.000000000000004,1.000000000000004,1.9677362190297068e-15,2.400399772041369e-13,True,111111574.74517904,False
B,H4,yoshida4,decision_frozen_grid,1,0.0761002327016774,0.0761002327016774,0,-0.13963706223719102,-0.13963706223719102,0,-1.5782546514131468e-07,0.9999999999999916,1.000000000000003,1.000000000000003,3.217417671124877e-15,2.4335104852429385e-13,True,110537702.23880203,False
B,H4,yoshida4,decision_frozen_grid,1,0.07649687777170747,0.07649687777170747,0,-0.14036487041407814,-0.14036487041407814,0,-1.6113967293840403e-07,0.9999999999999936,0.9999999999999996,0.9999999999999996,2.61761094429538e-15,2.4024860142885183e-13,True,109966840.84226364,False
B,H4,yoshida4,decision_frozen_grid,1,0.07689559021138925,0.07689559021138925,0,-0.14109647203577388,-0.14109647203577388,0,-1.6452340378947383e-07,0.9999999999999878,0.9999999999999967,0.9999999999999967,4.703448331977152e-15,2.4060788877803127e-13,True,109398975.42840022,False
B,H4,yoshida4,decision_frozen_grid,1,0.07729638079614297,0.07729638079614297,0,-0.1418318868744251,-0.1418318868744251,0,-1.679781911345657e-07,0.9999999999999909,0.9999999999999949,0.9999999999999949,2.776476440506765e-15,2.4109605935871953e-13,True,108834091.08224022,False
B,H4,yoshida4,decision_frozen_grid,1,0.07769926035755172,0.07769926035755172,0,-0.14257113480523112,-0.14257113480523112,0,-1.7150550579714263e-07,0.9999999999999882,0.9999999999999958,0.9999999999999958,2.644682545315737e-15,2.417487144128771e-13,True,108272172.9110088,False
B,H4,yoshida4,decision_frozen_grid,1,0.07810423978365436,0.07810423978365436,0,-0.1433142358069905,-0.1433142358069905,0,-1.7510687744248798e-07,0.9999999999999956,1.0000000000000009,1.0000000000000009,2.8286141719047655e-15,2.388595976904185e-13,True,107713206.12721972,False
B,H4,yoshida4,decision_frozen_grid,1,0.07851133001923978,0.07851133001923978,0,-0.14406120996263308,-0.14406120996263308,0,-1.787837919930979e-07,0.9999999999999933,1.0000000000000067,1.0000000000000067,3.2372427728375698e-15,2.393033543298164e-13,True,107157175.97839476,False
B,H4,yoshida4,decision_frozen_grid,1,0.0789205420661426,0.0789205420661426,0,-0.14481207745978256,-0.14481207745978256,0,-1.825379445374864e-07,0.9999999999999911,1.000000000000003,1.000000000000003,3.3694812336925942e-15,2.39542843781292e-13,True,106604067.91700907,False
B,H4,yoshida4,decision_frozen_grid,1,0.07933188698354053,0.07933188698354053,0,-0.14556685859127438,-0.14556685859127438,0,-1.8637088472495122e-07,0.9999999999999889,0.9999999999999996,0.9999999999999996,7.108741801529732e-16,2.412002827949975e-13,True,106053867.36042985,False
B,H4,yoshida4,decision_frozen_grid,1,0.07974537588825327,0.07974537588825327,0,-0.14632557375572283,-0.14632557375572283,0,-1.9028425302103358e-07,0.9999999999999938,1.000000000000003,1.000000000000003,4.3308352193641845e-15,2.407556157594764e-13,True,105506559.84984905,False
B,H4,yoshida4,decision_frozen_grid,1,0.08016101995504299,0.08016101995504299,0,-0.14708824345807578,-0.14708824345807578,0,-1.9427982089759155e-07,0.999999999999984,0.9999999999999993,0.9999999999999993,4.6037345519032235e-15,2.414515569171043e-13,True,104962131.07505468,False
B,H4,yoshida4,decision_frozen_grid,1,0.08057883041691623,0.08057883041691623,0,-0.14785488831014693,-0.14785488831014693,0,-1.9835921660771305e-07,0.9999999999999876,0.9999999999999938,0.9999999999999938,2.674552118418554e-15,2.418445192584849e-13,True,104420566.69213356,False
B,H4,yoshida4,decision_frozen_grid,1,0.08099881856542751,0.08099881856542751,0,-0.14862552903119955,-0.14862552903119955,0,-2.025242575864894e-07,0.9999999999999907,1.0000000000000013,1.0000000000000013,3.1156281769179217e-15,2.3794053330061295e-13,True,103881852.54269329,False
