experiment_id,case_id,formula_id,state_id,resolved_point_count,majority_count_required,fit_dominant_count,state_dominant_count,proxy_dominant_count,dominant_component,maximum_component_over_target_error
B,H4,current_m3,cisd,12,7,0,12,0,E_state_hartree,0.00012714698050338608
B,H4,current_m3,controlled_q0.001_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.00019799916398368487
B,H4,current_m3,controlled_q0.001_phi1.570796326795,12,7,0,11,0,E_state_hartree,1.8229767504413252e-05
B,H4,current_m3,controlled_q0.001_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.00017036025292191975
B,H4,current_m3,controlled_q0.001_phi4.712388980385,12,7,0,10,0,E_state_hartree,1.8229767504413252e-05
B,H4,current_m3,controlled_q0.010_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.0007179924569460195
B,H4,current_m3,controlled_q0.010_phi1.570796326795,12,7,0,12,0,E_state_hartree,0.00015207822812566223
B,H4,current_m3,controlled_q0.010_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.0004416033332432578
B,H4,current_m3,controlled_q0.010_phi4.712388980385,12,7,0,12,0,E_state_hartree,0.00015207822812566223
B,H4,current_m3,controlled_q0.050_phi0.000000000000,10,6,0,10,0,E_state_hartree,0.001960979014325586
B,H4,current_m3,controlled_q0.050_phi1.570796326795,12,7,0,12,0,E_state_hartree,0.0007213839992441648
B,H4,current_m3,controlled_q0.050_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.0005790333899961647
B,H4,current_m3,controlled_q0.050_phi4.712388980385,12,7,0,12,0,E_state_hartree,0.0007213839992441648
B,H4,current_m3,rhf,12,7,0,12,0,E_state_hartree,0.005411530913421105
B,H4,m5_best,cisd,10,6,0,10,0,E_state_hartree,6.158564386208024e-05
B,H4,m5_best,controlled_q0.001_phi0.000000000000,10,6,0,10,0,E_state_hartree,9.30527268309122e-05
B,H4,m5_best,controlled_q0.001_phi1.570796326795,10,6,0,6,0,E_state_hartree,9.352501190258662e-06
B,H4,m5_best,controlled_q0.001_phi3.141592653590,10,6,0,10,0,E_state_hartree,8.29616632067727e-05
B,H4,m5_best,controlled_q0.001_phi4.712388980385,10,6,2,5,0,mixed,9.352501190258662e-06
B,H4,m5_best,controlled_q0.010_phi0.000000000000,10,6,0,10,0,E_state_hartree,0.0003275020516929404
B,H4,m5_best,controlled_q0.010_phi1.570796326795,10,6,0,9,0,E_state_hartree,6.401366281768854e-05
B,H4,m5_best,controlled_q0.010_phi3.141592653590,10,6,0,10,0,E_state_hartree,0.0002265914133663152
B,H4,m5_best,controlled_q0.010_phi4.712388980385,10,6,0,8,0,E_state_hartree,6.401366281768854e-05
B,H4,m5_best,controlled_q0.050_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.0008591278311289502
B,H4,m5_best,controlled_q0.050_phi1.570796326795,9,5,0,9,0,E_state_hartree,0.00028197518725945833
B,H4,m5_best,controlled_q0.050_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.00035457463856905194
B,H4,m5_best,controlled_q0.050_phi4.712388980385,9,5,0,9,0,E_state_hartree,0.00028197518725945833
B,H4,m5_best,rhf,12,7,0,12,0,E_state_hartree,0.0025031637048757217
B,H4,two_term_center,cisd,12,7,0,12,0,E_state_hartree,8.244184396378855e-05
B,H4,two_term_center,controlled_q0.001_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.0001359426098287493
B,H4,two_term_center,controlled_q0.001_phi1.570796326795,12,7,0,6,0,mixed,1.6161754280128933e-05
B,H4,two_term_center,controlled_q0.001_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.00010928132709323112
B,H4,two_term_center,controlled_q0.001_phi4.712388980385,12,7,0,6,0,mixed,1.6161754280128933e-05
B,H4,two_term_center,controlled_q0.010_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.0005192890060235458
B,H4,two_term_center,controlled_q0.010_phi1.570796326795,12,7,0,12,0,E_state_hartree,0.0001422187602675775
B,H4,two_term_center,controlled_q0.010_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.00025267617759286117
B,H4,two_term_center,controlled_q0.010_phi4.712388980385,12,7,0,12,0,E_state_hartree,0.0001422187602675775
B,H4,two_term_center,controlled_q0.050_phi0.000000000000,12,7,0,12,0,E_state_hartree,0.0015119995862375045
B,H4,two_term_center,controlled_q0.050_phi1.570796326795,12,7,0,12,0,E_state_hartree,0.0006860539338078733
B,H4,two_term_center,controlled_q0.050_phi3.141592653590,12,7,0,12,0,E_state_hartree,0.00017893544360607241
B,H4,two_term_center,controlled_q0.050_phi4.712388980385,12,7,0,12,0,E_state_hartree,0.0006860539338078733
B,H4,two_term_center,rhf,12,7,0,12,0,E_state_hartree,0.003818795798956812
