experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,model_status,quality_class,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,E_fit_hartree,E_state_hartree,E_proxy_hartree,E_total_hartree,closure_residual_hartree
B,H4,yoshida4,rhf,-1,0.125,-0.125,fit_ok,resolved,-8.790361728519842e-07,-8.791087697801458e-07,-1.1464816373273915e-06,-1.1464821778606193e-06,7.259692816167723e-11,2.6737286754724566e-07,5.40533227833868e-13,2.6744600500863517e-07,7.259692816167723e-11,2.6737286754724566e-07,5.40533227833868e-13,2.6744600500863517e-07,0.0
B,H4,yoshida4,cisd,-1,0.125,-0.125,fit_ok,resolved,-1.1355372208744197e-06,-1.1355870807588766e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,4.985988445689624e-11,1.0894556568514879e-08,5.40533227833868e-13,1.0944956986199609e-08,4.985988445689624e-11,1.0894556568514879e-08,5.40533227833868e-13,1.0944956986199609e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.125,-0.125,fit_ok,resolved,-1.1587734307960833e-06,-1.1588092891239312e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,3.5858327847968996e-11,-1.2327651796539733e-08,5.40533227833868e-13,-1.229125293546393e-08,3.5858327847968996e-11,1.2327651796539733e-08,5.40533227833868e-13,1.229125293546393e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.125,-0.125,fit_ok,resolved,-1.1434155339852705e-06,-1.146204738913803e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,2.789204928532563e-09,2.768984135884769e-10,5.40533227833868e-13,3.066643875348874e-09,2.789204928532563e-09,2.768984135884769e-10,5.40533227833868e-13,3.066643875348874e-09,0.0
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.125,-0.125,fit_ok,resolved,-1.131108535827008e-06,-1.1311605502178631e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,5.201439085509881e-11,1.532108710952838e-08,5.40533227833868e-13,1.5373642033611314e-08,5.201439085509881e-11,1.532108710952838e-08,5.40533227833868e-13,1.5373642033611314e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.125,-0.125,fit_ok,resolved,-1.146466432637889e-06,-1.1437651004329863e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,-2.701332204902728e-09,2.7165368944052184e-09,5.40533227833868e-13,1.574522273032414e-11,2.701332204902728e-09,2.7165368944052184e-09,5.40533227833868e-13,1.574522273032414e-11,0.0
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.125,-0.125,fit_ok,resolved,-1.175015540358311e-06,-1.1750335888698152e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,1.8048511504174317e-11,-2.855195154242371e-08,5.40533227833868e-13,-2.8533362497691702e-08,1.8048511504174317e-11,2.855195154242371e-08,5.40533227833868e-13,2.8533362497691702e-08,0.0
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.125,-0.125,fit_ok,resolved,-1.126668866781688e-06,-1.1353544529454918e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,8.685586163803714e-09,1.1127184381899756e-08,5.40533227833868e-13,1.9813311078931305e-08,8.685586163803714e-09,1.1127184381899756e-08,5.40533227833868e-13,1.9813311078931305e-08,0.0
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.125,-0.125,fit_ok,resolved,-1.087926425027263e-06,-1.0879953328402808e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,6.890781301777727e-11,5.848630448711068e-08,5.40533227833868e-13,5.855575283335629e-08,6.890781301777727e-11,5.848630448711068e-08,5.40533227833868e-13,5.855575283335629e-08,0.0
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.125,-0.125,fit_ok,resolved,-1.1362730986039238e-06,-1.1276744687413465e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,-8.598629862577286e-09,1.880716858604504e-08,5.40533227833868e-13,1.0209079256695589e-08,8.598629862577286e-09,1.880716858604504e-08,5.40533227833868e-13,1.0209079256695589e-08,0.0
