experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,unitary_cold_repeatability_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
B,H4,yoshida4,rhf,-1,0.1,-0.1,0.9999999999999959,3.604878151541868e-08,0.9999999999999966,3.6048781515418814e-08,3.6048781515418814e-08,0,-3.604878151541868e-07,-3.6048781515418814e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,149516.44427655937,resolved
B,H4,yoshida4,cisd,-1,0.1,-0.1,0.9999999999999976,4.6569755254294985e-08,0.9999999999999987,4.6569755254295064e-08,4.6569755254295064e-08,0,-4.656975525429498e-07,-4.656975525429506e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,193153.38615463694,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.1,-0.1,0.999999999999997,4.752079202956492e-08,0.9999999999999981,4.752079202956503e-08,4.752079202956503e-08,0,-4.7520792029564923e-07,-4.752079202956503e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,197097.9199512588,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.1,-0.1,0.9999999999999973,4.699450723054735e-08,0.9999999999999984,4.699450723054744e-08,4.699450723054744e-08,0,-4.699450723054735e-07,-4.699450723054744e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,194915.09355552463,resolved
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.1,-0.1,0.9999999999999973,4.63884380243509e-08,0.9999999999999984,4.638843802435099e-08,4.638843802435099e-08,0,-4.6388438024350895e-07,-4.638843802435099e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,192401.3522059799,resolved
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.1,-0.1,0.9999999999999974,4.691472282381849e-08,0.9999999999999986,4.691472282381858e-08,4.691472282381858e-08,0,-4.691472282381849e-07,-4.6914722823818576e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,194584.17860358063,resolved
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.1,-0.1,0.9999999999999974,4.81847051274657e-08,0.9999999999999986,4.8184705127465786e-08,4.8184705127465786e-08,0,-4.81847051274657e-07,-4.818470512746578e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,199851.57545732084,resolved
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.1,-0.1,0.9999999999999971,4.65279600863136e-08,0.9999999999999982,4.65279600863137e-08,4.65279600863137e-08,0,-4.65279600863136e-07,-4.65279600863137e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,192980.03591527187,resolved
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.1,-0.1,0.9999999999999976,4.462005365613749e-08,0.9999999999999986,4.462005365613757e-08,4.462005365613757e-08,0,-4.4620053656137484e-07,-4.4620053656137564e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,185066.77578662356,resolved
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.1,-0.1,0.9999999999999973,4.627679869601692e-08,0.9999999999999984,4.627679869601701e-08,4.627679869601701e-08,0,-4.627679869601692e-07,-4.627679869601701e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,191938.31532339402,resolved
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.1,-0.1,0.9999999999999978,4.78520570115922e-08,0.9999999999999989,4.7852057011592273e-08,4.7852057011592273e-08,0,-4.78520570115922e-07,-4.785205701159227e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,198471.8793513809,resolved
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.1,-0.1,0.9999999999999973,4.4223074403826335e-08,0.9999999999999983,4.422307440382642e-08,4.422307440382642e-08,0,-4.4223074403826335e-07,-4.422307440382642e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,183420.25893468104,resolved
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.1,-0.1,0.9999999999999978,4.004394057062138e-08,0.9999999999999986,4.0043940570621445e-08,4.0043940570621445e-08,0,-4.004394057062138e-07,-4.004394057062144e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,166086.82338903262,resolved
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.1,-0.1,0.9999999999999977,4.3672923175433476e-08,0.9999999999999987,4.367292317543355e-08,4.367292317543355e-08,0,-4.3672923175433476e-07,-4.3672923175433545e-07,2.4110245324413643e-13,0.0,0.0,2.411024532441364e-12,181138.44379348136,resolved
B,H4,yoshida4,rhf,-1,0.125,-0.125,0.9999999999999813,1.0988859622251823e-07,0.9999999999999873,1.0988859622251983e-07,1.0988859622251983e-07,0,-8.791087697801458e-07,-8.791087697801587e-07,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,455434.02218664443,resolved
B,H4,yoshida4,cisd,-1,0.125,-0.125,0.9999999999999812,1.4194838509485958e-07,0.9999999999999913,1.419483850948613e-07,1.419483850948613e-07,0,-1.1355870807588766e-06,-1.1355870807588904e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,588306.0316444648,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.125,-0.125,0.999999999999981,1.448511611404914e-07,0.9999999999999915,1.4485116114049315e-07,1.4485116114049315e-07,0,-1.1588092891239312e-06,-1.1588092891239452e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,600336.606384833,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.125,-0.125,0.9999999999999812,1.4327559236422538e-07,0.9999999999999915,1.432755923642271e-07,1.432755923642271e-07,0,-1.146204738913803e-06,-1.1462047389138168e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,593806.6510512196,resolved
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.125,-0.125,0.9999999999999813,1.413950687772329e-07,0.9999999999999913,1.4139506877723459e-07,1.4139506877723459e-07,0,-1.1311605502178631e-06,-1.1311605502178767e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,586012.8084644367,resolved
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.125,-0.125,0.9999999999999812,1.4297063755412329e-07,0.9999999999999915,1.42970637554125e-07,1.42970637554125e-07,0,-1.1437651004329863e-06,-1.143765100433e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,592542.7638006378,resolved
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.125,-0.125,0.9999999999999813,1.468791986087269e-07,0.9999999999999921,1.468791986087286e-07,1.468791986087286e-07,0,-1.1750335888698152e-06,-1.1750335888698288e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,608741.8212392788,resolved
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.125,-0.125,0.999999999999981,1.4191930661818647e-07,0.9999999999999911,1.4191930661818822e-07,1.4191930661818822e-07,0,-1.1353544529454918e-06,-1.1353544529455057e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,588185.5157033614,resolved
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.125,-0.125,0.9999999999999812,1.359994166050351e-07,0.9999999999999905,1.3599941660503682e-07,1.3599941660503682e-07,0,-1.0879953328402808e-06,-1.0879953328402946e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,563650.4919404534,resolved
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.125,-0.125,0.9999999999999811,1.409593085926683e-07,0.999999999999991,1.4095930859267003e-07,1.4095930859267003e-07,0,-1.1276744687413465e-06,-1.1276744687413602e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,584206.797464322,resolved
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.125,-0.125,0.999999999999982,1.4587141512065404e-07,0.9999999999999927,1.4587141512065563e-07,1.4587141512065563e-07,0,-1.1669713209652323e-06,-1.166971320965245e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,604565.0558310021,resolved
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.125,-0.125,0.9999999999999815,1.3500712320313468e-07,0.9999999999999906,1.3500712320313638e-07,1.3500712320313638e-07,0,-1.0800569856250775e-06,-1.080056985625091e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,559537.9252979453,resolved
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.125,-0.125,0.9999999999999816,1.220400236310531e-07,0.999999999999989,1.2204002363105474e-07,1.2204002363105474e-07,0,-9.763201890484248e-07,-9.76320189048438e-07,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,505795.6943730074,resolved
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.125,-0.125,0.9999999999999816,1.3290431555117166e-07,0.9999999999999905,1.3290431555117333e-07,1.3290431555117333e-07,0,-1.0632345244093733e-06,-1.0632345244093866e-06,2.4128323943590683e-13,0.0,0.0,1.9302659154872546e-12,550822.8249168366,resolved
B,H4,yoshida4,rhf,-1,0.15,-0.15,0.9999999999999055,2.7306296229712146e-07,0.9999999999999428,2.7306296229714046e-07,2.7306296229714046e-07,0,-1.8204197486474765e-06,-1.820419748647603e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1142717.619338619,resolved
B,H4,yoshida4,cisd,-1,0.15,-0.15,0.9999999999998943,3.526927433096831e-07,0.9999999999999565,3.5269274330970575e-07,3.5269274330970575e-07,0,-2.3512849553978874e-06,-2.3512849553980386e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1475953.4160268514,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.15,-0.15,0.999999999999894,3.599169823873242e-07,0.9999999999999587,3.599169823873468e-07,3.599169823873468e-07,0,-2.3994465492488282e-06,-2.399446549248979e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1506185.5105258208,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.15,-0.15,0.9999999999998943,3.560728764600424e-07,0.9999999999999577,3.56072876460065e-07,3.56072876460065e-07,0,-2.3738191764002825e-06,-2.3738191764004333e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1490098.6434649953,resolved
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.15,-0.15,0.9999999999998945,3.513159976779869e-07,0.9999999999999563,3.513159976780095e-07,3.513159976780095e-07,0,-2.3421066511865794e-06,-2.34210665118673e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1470191.9920774002,resolved
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.15,-0.15,0.9999999999998942,3.551601036057804e-07,0.9999999999999573,3.5516010360580306e-07,3.5516010360580306e-07,0,-2.367734024038536e-06,-2.3677340240386874e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1486278.859140367,resolved
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.15,-0.15,0.9999999999998945,3.6496909521998305e-07,0.9999999999999611,3.6496909522000534e-07,3.6496909522000534e-07,0,-2.4331273014665537e-06,-2.4331273014667023e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1527327.6614063352,resolved
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.15,-0.15,0.9999999999998945,3.528678461511836e-07,0.9999999999999568,3.5286784615120616e-07,3.5286784615120616e-07,0,-2.3524523076745574e-06,-2.3524523076747077e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1476686.1887928671,resolved
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.15,-0.15,0.9999999999998948,3.37893187281444e-07,0.9999999999999518,3.378931872814667e-07,3.378931872814667e-07,0,-2.2526212485429602e-06,-2.2526212485431114e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1414020.0315444253,resolved
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.15,-0.15,0.9999999999998944,3.499944363494212e-07,0.9999999999999557,3.4999443634944384e-07,3.4999443634944384e-07,0,-2.3332962423294745e-06,-2.3332962423296257e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1464661.5041544524,resolved
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.15,-0.15,0.9999999999998962,3.624835199191219e-07,0.9999999999999619,3.624835199191437e-07,3.624835199191437e-07,0,-2.416556799460813e-06,-2.416556799460958e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1516925.9918917553,resolved
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.15,-0.15,0.9999999999998963,3.359765913830276e-07,0.9999999999999527,3.359765913830498e-07,3.359765913830498e-07,0,-2.2398439425535175e-06,-2.2398439425536653e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1405999.434815201,resolved
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.15,-0.15,0.999999999999897,3.0317566229837506e-07,0.9999999999999429,3.0317566229839703e-07,3.0317566229839703e-07,0,-2.021171081989167e-06,-2.0211710819893136e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1268733.6581591768,resolved
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.15,-0.15,0.9999999999998963,3.296825908348511e-07,0.9999999999999506,3.296825908348733e-07,3.296825908348733e-07,0,-2.1978839388990074e-06,-2.1978839388991557e-06,2.3895926489272524e-13,0.0,0.0,1.5930617659515017e-12,1379660.2152373285,resolved
B,H4,yoshida4,rhf,-1,0.175,-0.175,0.9999999999995718,5.892409283281275e-07,0.9999999999997454,5.892409283283116e-07,5.892409283283116e-07,0,-3.3670910190178716e-06,-3.3670910190189236e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,2449756.2500541704,resolved
B,H4,yoshida4,cisd,-1,0.175,-0.175,0.9999999999995135,7.609805551565686e-07,0.999999999999803,7.609805551567919e-07,7.609805551567919e-07,0,-4.348460315180393e-06,-4.348460315181668e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3163759.986010985,resolved
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.175,-0.175,0.9999999999995128,7.765976246893928e-07,0.9999999999998144,7.76597624689615e-07,7.76597624689615e-07,0,-4.437700712510816e-06,-4.437700712512086e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3228687.6104448764,resolved
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.175,-0.175,0.9999999999995133,7.684554504977948e-07,0.9999999999998085,7.684554504980176e-07,7.684554504980176e-07,0,-4.391174002844542e-06,-4.391174002845815e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3194836.6996273077,resolved
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.175,-0.175,0.9999999999995137,7.580051423278432e-07,0.999999999999801,7.580051423280666e-07,7.580051423280666e-07,0,-4.331457956159104e-06,-4.331457956160381e-06,2.4053043167666084e-13,0.0,0.0,1.3744596095809192e-12,3151389.7723628203,resolved
