experiment_id,case_id,state_id,energy_expectation_hartree,energy_error_hartree,variance_hartree_squared,hamiltonian_residual_2_norm,exact_overlap_probability
B,H4,exact,-1.8349096352179524,3.1086244689504383e-15,2.1397943833792425e-30,3.5895128753214834e-15,1.0
B,H4,rhf,-1.7670681235809087,0.06784151163704677,0.08001674461394703,0.2908938213767123,0.9364638563852806
B,H4,cisd,-1.8335540278267137,0.0013556073912417421,0.0036282414121280677,0.06025013762247568,0.9994668439213916
B,H4,controlled_q0.001_phi0.000000000000,-1.832367026316678,0.0025426089012774433,0.00680219629788507,0.0825146117842769,0.9990000000000001
B,H4,controlled_q0.001_phi1.570796326795,-1.8323670263166782,0.0025426089012772213,0.006802196297885088,0.08251461178427699,0.9990000000000003
B,H4,controlled_q0.001_phi3.141592653590,-1.8323670263166782,0.0025426089012772213,0.006802196297885107,0.08251461178427712,0.9990000000000003
B,H4,controlled_q0.001_phi4.712388980385,-1.8323670263166782,0.0025426089012772213,0.006802196297885088,0.08251461178427699,0.9990000000000003
B,H4,controlled_q0.010_phi0.000000000000,-1.809483546205209,0.025426089012746456,0.06744012557661523,0.2609341134828855,0.9900000000000004
B,H4,controlled_q0.010_phi1.570796326795,-1.8094835462052086,0.0254260890127469,0.06744012557661536,0.26093411348288564,0.9899999999999998
B,H4,controlled_q0.010_phi3.141592653590,-1.8094835462052088,0.025426089012746678,0.06744012557661545,0.26093411348288587,0.9900000000000002
B,H4,controlled_q0.010_phi4.712388980385,-1.8094835462052086,0.0254260890127469,0.06744012557661536,0.26093411348288564,0.9899999999999998
B,H4,controlled_q0.050_phi0.000000000000,-1.7077791901542345,0.12713044506372095,0.3242709078333967,0.5834664153963762,0.9500000000000003
B,H4,controlled_q0.050_phi1.570796326795,-1.7077791901542339,0.12713044506372162,0.3242709078333972,0.5834664153963766,0.9499999999999998
B,H4,controlled_q0.050_phi3.141592653590,-1.7077791901542339,0.12713044506372162,0.32427090783339796,0.5834664153963772,0.9500000000000001
B,H4,controlled_q0.050_phi4.712388980385,-1.7077791901542339,0.12713044506372162,0.3242709078333972,0.5834664153963766,0.9499999999999998
