formula_id,number_of_groups,compact_weight_count,s2_block_count,sequence_expansion_residual,merged_step_residual,raw_group_exponential_count,merged_group_exponential_count,effective_nonzero_merged_exponential_count,raw_rotation_count,merged_rotation_count,effective_nonzero_merged_rotation_count,unmerged_vs_merged_unitary_residual,sequential_vs_explicit_unitary_residual,cached_vs_explicit_unitary_residual,negative_time_vs_adjoint_residual,inverse_sequence_vs_adjoint_residual,explicit_state_vs_matrix_action_residual,unitarity_residual,delta_e_explicit,delta_e_merged,delta_e_sequential,delta_e_cached,maximum_delta_e_path_difference,ground_branch_overlap_probability,passed
second_order,1,1,1,0.0,0.0,1,1,1,2,2,2,0.0,2.3202858683677e-16,2.3202858683677e-16,2.3119705690296115e-16,2.3119705690296115e-16,0.0,3.673192476123165e-16,-7.501506923142953e-17,-7.501506923142953e-17,0.0,0.0,7.501506923142953e-17,1.0,True
second_order,2,1,1,0.0,0.0,3,3,3,6,6,6,0.0,8.236751622131501e-16,8.236751622131501e-16,8.225969136445684e-16,8.225969136445684e-16,2.6705728459094657e-17,1.0548449618717631e-15,0.000463496570096107,0.000463496570096107,0.00046349657009685637,0.00046349657009685637,7.493463315133564e-16,0.9999973762074172,True
second_order,3,1,1,0.0,0.0,5,5,5,9,9,9,0.0,9.953987577822992e-16,9.953987577822992e-16,1.254793692026987e-15,1.254793692026987e-15,1.7037215172659784e-16,1.9233268559086666e-15,0.0007298817407583497,0.0007298817407583497,0.0007298817407590999,0.0007298817407590999,7.502679033599691e-16,0.999995736581069,True
yoshida4,1,2,3,0.0,0.0,3,1,1,6,2,2,1.2958860418800437e-16,2.3868685587481545e-16,5.310039280974348e-16,2.3868685587481545e-16,2.3868685587481545e-16,1.6361670521979892e-16,3.657346759178978e-16,0.0,-2.250452076942885e-16,-7.501506923142948e-17,-3.0006027692571793e-16,3.0006027692571793e-16,1.0,True
yoshida4,2,2,3,0.0,0.0,9,7,7,18,14,14,2.468117871874391e-16,1.108598213800199e-15,1.6058566146106455e-15,1.1085284834518107e-15,1.1085284834518107e-15,1.5080125885237134e-16,2.1434293897137613e-15,-1.892948030336727e-05,-1.8929480302992177e-05,-1.892948030186692e-05,-1.8929480301491848e-05,1.8754224247793244e-15,0.9999999988434978,True
yoshida4,3,2,3,0.0,0.0,15,13,13,27,23,23,2.9714862473481204e-16,2.413758281214816e-15,2.6188138753848495e-15,2.6030819288995912e-15,2.6030819288995912e-15,4.596931804053265e-16,4.943739980852624e-15,-3.0368866280914608e-05,-3.0368866280164435e-05,-3.036886628001438e-05,-3.0368866279714335e-05,1.2002727913136557e-15,0.9999999966634239,True
current_m3,1,4,7,0.0,0.0,7,1,1,14,2,2,2.2312954464879614e-16,2.4129498467903687e-16,1.6045087986745434e-15,2.4129498467903687e-16,2.4129498467903687e-16,1.1188630228279524e-16,3.657346759178978e-16,-4.50090415388577e-16,-2.250452076942885e-16,-7.501506923142948e-17,-7.501506923142944e-17,3.7507534615714754e-16,1.0,True
current_m3,2,4,7,0.0,0.0,21,15,15,42,30,30,4.753753471131543e-16,2.4950641314262802e-15,4.907212484378102e-15,2.4949572961740233e-15,2.4949572961740233e-15,3.6993562801709655e-16,4.6315608990109046e-15,-5.256568326262952e-08,-5.256568348767475e-08,-5.256568236244869e-08,-5.256568296256912e-08,9.001808302406044e-16,0.9999999999998872,True
current_m3,3,4,7,0.0,0.0,35,29,29,63,51,51,7.502008212269824e-16,7.511712731312991e-15,8.858414569728955e-15,7.263674278871063e-15,7.263674278871063e-15,1.8075285875251487e-16,1.2526736152318852e-14,-8.513994899485407e-08,-8.513994914488421e-08,-8.513994891983864e-08,-8.513994959497413e-08,6.001200638028136e-16,0.9999999999997782,True
morales_y8m10b,1,11,21,0.0,0.0,21,1,1,42,2,2,6.763430779420446e-16,6.076238876723901e-16,4.145962342674672e-15,6.082574790726903e-16,6.082574790726903e-16,4.034117999026819e-16,3.673192476123165e-16,-3.750753461571474e-16,-7.501506923142953e-17,0.0,-3.0006027692571694e-16,3.750753461571474e-16,1.0,True
morales_y8m10b,2,11,21,0.0,0.0,63,43,43,126,86,86,1.76402982242491e-15,7.143809062813594e-15,7.646032402472889e-15,7.144466010659397e-15,7.144466010659397e-15,7.695312332296873e-16,1.4491188667887732e-14,-5.251054846200062e-16,1.6503315230914446e-15,5.25105484620004e-16,-7.501506923142905e-17,2.175437007711451e-15,1.0000000000000004,True
morales_y8m10b,3,11,21,0.0,0.0,105,85,85,189,149,149,8.396007861464421e-16,1.502594835647954e-14,1.799752673202275e-14,1.6369803448899804e-14,1.6369803448899804e-14,1.4751307963062515e-15,3.1113180903437153e-14,-7.051416507754359e-15,-5.251054846200057e-15,-6.526311023134317e-15,-5.551115123125707e-15,1.8003616615543017e-15,1.0000000000000004,True
zero_middle_control,1,3,5,0.0,0.0,5,1,1,10,2,2,2.789077162073787e-17,2.2603386982031616e-16,8.153836992658557e-16,2.2603386982031616e-16,2.2603386982031616e-16,1.594436429147036e-16,3.673192476123165e-16,-3.00060276925718e-16,-7.501506923142953e-17,0.0,1.500301384628589e-16,4.500904153885768e-16,1.0,True
zero_middle_control,2,3,5,0.0,0.0,15,11,9,30,22,18,0.0,1.7077983416676322e-15,1.6239677410441787e-15,1.7084756143543066e-15,1.7084756143543066e-15,2.5019289513195173e-16,3.1281145645248437e-15,5.458148578163953e-05,5.458148578163953e-05,5.458148578088934e-05,5.458148578193947e-05,7.501865881970327e-16,0.9999999635785063,True
zero_middle_control,3,3,5,0.0,0.0,25,21,15,45,37,27,0.0,3.2858234849047498e-15,2.249879697438051e-15,4.005859326085728e-15,4.005859326085728e-15,3.1673227300271025e-16,6.299168334492188e-15,8.597404504731247e-05,8.597404504731247e-05,8.597404504776244e-05,8.597404504731244e-05,4.499710066357965e-16,0.9999999407888436,True
