system,sector_kind,sector_population_counts,group_index,charge,commutator_frobenius_norm,relative_commutator_norm,sector_cross_block_frobenius_norm,passed
H2,fixed_interleaved_spin_populations,"[1, 1]",0,particle_number,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",0,spin_projection,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",0,alpha_population,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",0,beta_population,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",1,particle_number,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",1,spin_projection,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",1,alpha_population,0.0,0.0,0.0,True
H2,fixed_interleaved_spin_populations,"[1, 1]",1,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",0,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",0,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",0,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",0,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",1,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",1,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",1,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",1,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",2,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",2,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",2,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",2,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",3,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",3,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",3,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",3,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",4,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",4,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",4,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",4,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",5,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",5,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",5,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",5,beta_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",6,particle_number,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",6,spin_projection,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",6,alpha_population,0.0,0.0,0.0,True
H3,fixed_interleaved_spin_populations,"[2, 0]",6,beta_population,0.0,0.0,0.0,True
