point_index,time_hartree_inverse,maximum_ground_overlap_branch_index,continuous_branch_index,selection_rules_agree,maximum_ground_overlap_probability,continuous_branch_ground_overlap_probability,previous_branch_overlap_probability,ground_overlap_top_two_margin,selected_phase_gap_radians,oracle_effective_energy_hartree,continuous_effective_energy_hartree,effective_energy_difference_hartree,oracle_phase_unwrap_integer,continuous_phase_unwrap_integer,branch_warning
0,0.02,1,1,True,1.0,1.0,1.0,1.0,0.0071055707471478794,-0.7735421407181524,-0.7735421407181524,0.0,0,0,False
1,0.02292183941538839,1,1,True,1.0000000000000004,1.0000000000000004,1.0,1.0000000000000004,0.00814363758370622,-0.7735421408344554,-0.7735421408344554,0.0,0,0,False
2,0.026270536109242643,1,1,True,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,0.009333357652813077,-0.773542141035114,-0.773542141035114,0.0,0,0,False
3,0.030108450502611094,1,1,True,1.0,1.0,1.0000000000000004,1.0,0.010696886276631857,-0.7735421413813127,-0.7735421413813127,0.0,0,0,False
4,0.034507053373351075,1,1,True,1.0,1.0,1.0,1.0,0.012259615494492329,-0.7735421419786086,-0.7735421419786086,0.0,0,0,False
5,0.039548256806109475,1,1,True,1.0,1.0,1.0,1.0,0.014050646923712683,-0.7735421430091122,-0.7735421430091122,0.0,0,0,False
6,0.0453259395834091,1,1,True,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999998,0.0161033337039674,-0.7735421447869975,-0.7735421447869975,0.0,0,0,False
7,0.051947695424124994,1,1,True,1.0000000000000004,1.0000000000000004,1.0,1.0000000000000004,0.01845590162007465,-0.773542147854256,-0.773542147854256,0.0,0,0,False
8,0.059536836625564964,1,1,True,1.0,1.0,1.0000000000000004,1.0,0.021152160975123162,-0.7735421531458593,-0.7735421531458593,0.0,0,0,False
9,0.06823469042157068,1,1,True,1.0000000000000004,1.0000000000000004,1.0,1.0000000000000004,0.024242322480908622,-0.7735421622746111,-0.7735421622746111,0.0,0,0,False
10,0.07820323082009921,1,1,True,0.9999999999999996,0.9999999999999996,1.0,0.9999999999999992,0.027783932379697424,-0.7735421780223645,-0.7735421780223645,0.0,0,0,False
11,0.08962809493114333,1,1,True,0.9999999999999996,0.9999999999999996,1.0000000000000004,0.9999999999999987,0.0318429442514848,-0.7735422051869848,-0.7735422051869848,0.0,0,0,False
12,0.10272203995594266,1,1,True,0.999999999999998,0.999999999999998,1.0000000000000004,0.9999999999999954,0.03649494754536633,-0.7735422520423748,-0.7735422520423748,0.0,0,0,False
13,0.11772890521456138,1,1,True,0.9999999999999929,0.9999999999999929,0.9999999999999993,0.9999999999999855,0.041826575869333145,-0.773542332854624,-0.773542332854624,0.0,0,0,False
14,0.1349281529938828,1,1,True,0.999999999999978,0.999999999999978,0.9999999999999967,0.9999999999999557,0.04793712157248464,-0.7735424722166745,-0.7735424722166745,0.0,0,0,False
15,0.1546400727770369,1,1,True,0.9999999999999336,0.9999999999999336,0.9999999999999887,0.9999999999998672,0.0549403872953448,-0.7735427125122318,-0.7735427125122318,0.0,0,0,False
16,0.1772317457689607,1,1,True,0.9999999999998017,0.9999999999998017,0.9999999999999649,0.9999999999996035,0.06296681016798698,-0.7735431267598593,-0.7735431267598593,0.0,0,0,False
17,0.20312388079125288,1,1,True,0.9999999999994085,0.9999999999994085,0.999999999999895,0.9999999999988168,0.07216590057618412,-0.7735438406970463,-0.7735438406970463,0.0,0,0,False
18,0.2327986488463796,1,1,True,0.9999999999982321,0.9999999999982321,0.999999999999686,0.999999999996464,0.08270904555900033,-0.7735450707097319,-0.7735450707097319,0.0,0,0,False
19,0.26680866224880534,1,1,True,0.9999999999947102,0.9999999999947102,0.9999999999990588,0.99999999998942,0.09479273817183657,-0.7735471888818306,-0.7735471888818306,0.0,0,0,False
20,0.3057872655350857,1,1,True,0.9999999999841462,0.9999999999841462,0.9999999999971723,0.9999999999682923,0.10864231084092807,-0.7735508343408282,-0.7735508343408282,0.0,0,0,False
