case_index,alpha,formal_order,epsilon_e,beta,analytic_time,numerical_minimum_time,time_relative_difference,analytic_cost_per_single_step_unit,numerical_cost_per_single_step_unit,cost_relative_difference,legacy_qpe_iteration_factor,qpe_factor_relative_difference,stationary_equation_relative_residual,numerical_optimizer_success,passed
0,0.061672697217775116,1,3.3398572895005974e-07,1.2,2.707727600843436e-06,2.7077275848792245e-06,5.895796739707748e-09,2653862145787.805,2653862145787.805,0.0,2653862145787.8057,2.220446049250313e-16,0.0,True,True
1,6.762310056967882e-05,1,7.591799196549322e-07,1.2,0.005613317884416387,0.005613317851321409,5.895796184596236e-09,563179570.2435604,563179570.2435604,0.0,563179570.2435604,0.0,0.0,True,True
2,0.0005204586403612844,1,0.008601452129763936,1.2,8.26333877730717,8.263338728588208,5.895796406640841e-09,33.766333602560834,33.76633360256084,2.220446049250313e-16,33.76633360256084,2.220446049250313e-16,0.0,True,True
3,1.7802823335918476,1,5.410957036298322e-06,1.2,1.5196907069737999e-06,1.519690698014013e-06,5.895796295618538e-09,291864953091.68195,291864953091.68195,0.0,291864953091.6819,2.220446049250313e-16,0.0,True,True
4,0.00019293087430421525,2,1.7534876259531426e-07,1.2,0.01740563448522145,0.01740563453066436,2.610816007830863e-09,589766283.2200345,589766283.2200342,4.440892098500626e-16,589766283.2200344,2.220446049250313e-16,0.0,True,True
5,4.85037969730088e-06,2,0.00010299027282896504,1.2,2.660416350474395,2.660416357420366,2.6108586403950085e-09,6569.414855156135,6569.414855156134,1.1102230246251565e-16,6569.414855156135,0.0,1.3159036075742178e-16,True,True
6,5.000617570330915e-06,2,7.467638924059278e-08,1.2,0.07055360458318746,0.07055360476738698,2.610774041400532e-09,341641002.5227175,341641002.52271754,2.220446049250313e-16,341641002.5227176,4.440892098500626e-16,1.77229910758114e-16,True,True
7,0.0020055496013372284,2,3.1748730048330564e-07,1.2,0.007264167470592001,0.007264167489557273,2.610797800173259e-09,780477340.8142245,780477340.8142245,0.0,780477340.8142245,0.0,0.0,True,True
8,0.024022625153320203,4,0.0024980710487054517,1.2,0.3797550687595446,0.37975506677191845,5.2339688139113605e-09,1581.1857567821335,1581.1857567821337,2.220446049250313e-16,1581.1857567821335,0.0,0.0,True,True
9,2.620966232209704e-05,4,0.0022486679944248443,1.2,2.035276776635409,2.035276765981413,5.234666922149245e-09,327.7498060342427,327.7498060342427,0.0,327.7498060342426,2.220446049250313e-16,0.0,True,True
10,0.000388308459372769,4,0.0023083012033007677,1.2,1.0442065316398732,1.0442065261737843,5.234681799137775e-09,622.3180184706622,622.3180184706623,2.220446049250313e-16,622.3180184706623,2.220446049250313e-16,3.757576076935345e-16,True,True
11,0.26071117756266937,4,1.8274360823827529e-06,1.2,0.03440948201857045,0.03440948183841763,5.235557321014994e-09,23854533.52147003,23854533.521470033,2.220446049250313e-16,23854533.52147003,0.0,1.1587723305619984e-16,True,True
12,5.319889246805757,6,0.00029869118957645237,1.2,0.14148279484416482,0.1414827945984894,1.7364332194347298e-09,33128.51683283437,33128.516832834364,2.220446049250313e-16,33128.51683283436,4.440892098500626e-16,1.8149215817562544e-16,True,True
13,6.591774644364086e-08,6,5.123287377307325e-06,1.2,1.4936243584658218,1.4936243558664613,1.7403040120100854e-09,182952.32413283756,182952.32413283753,1.1102230246251565e-16,182952.32413283753,1.1102230246251565e-16,4.959899093340419e-16,True,True
14,2.938555648608182e-05,6,3.9813632102349866e-08,1.2,0.24051009318369368,0.24051009276474863,1.7419021780540334e-09,146205237.3177129,146205237.31771287,2.220446049250313e-16,146205237.31771287,2.220446049250313e-16,1.662105301875648e-16,True,True
15,1.1415007314318143e-09,6,0.0018968172909732384,1.2,7.868800674765453,7.868800661064855,1.7411291297619869e-09,93.79808923904544,93.79808923904542,1.1102230246251565e-16,93.79808923904542,1.1102230246251565e-16,9.145443181228791e-16,True,True
16,7.957754788663904e-05,8,0.0003718992622917447,1.2,0.9213487094481341,0.9213487018351243,8.262897366329014e-09,3939.892930907287,3939.892930907288,2.220446049250313e-16,3939.892930907287,0.0,1.457655718116184e-16,True,True
17,0.5103497492521655,8,1.5747459347393161e-07,1.2,0.11665074319803484,0.11665074396442375,6.569944588363796e-09,73491271.70185305,73491271.70185307,2.220446049250313e-16,73491271.70185304,2.220446049250313e-16,1.680892073938181e-16,True,True
18,2.3206133889238287e-05,8,1.8607905599446338e-08,1.2,0.31169621164050126,0.3116962136882478,6.569687016622083e-09,232758071.62494212,232758071.62494218,2.220446049250313e-16,232758071.62494215,2.220446049250313e-16,5.334381829049948e-16,True,True
19,0.0002730818224655448,8,0.0003291361070416337,1.2,0.777776878187985,0.777776871761401,8.262760475830078e-09,5273.551749978637,5273.551749978639,4.440892098500626e-16,5273.551749978637,0.0,4.941126858872823e-16,True,True
20,2.020282010599975e-07,10,0.0031317416689937466,1.2,2.064895723794953,2.0648957348226893,5.340577979850991e-09,204.12202848026908,204.1220284802691,2.220446049250313e-16,204.12202848026908,0.0,2.769582646537681e-16,True,True
21,5.003692798885327e-06,10,1.2496689844273654e-07,1.2,0.5440153660217834,0.5440153689273761,5.3410122990982245e-09,19416358.103123054,19416358.103123058,2.220446049250313e-16,19416358.10312305,2.220446049250313e-16,4.2362865577281024e-16,True,True
22,0.0033788727295773553,10,0.00032245404352335307,1.2,0.6220572138254608,0.6220572171472336,5.339979569640718e-09,6580.755767554889,6580.75576755489,2.220446049250313e-16,6580.755767554888,1.1102230246251565e-16,1.3449385352886523e-15,True,True
23,0.0017132708146128217,10,2.4336878323377967e-06,1.2,0.4084177579417516,0.40841776012311387,5.341007414116916e-09,1328019.4739951082,1328019.4739951082,0.0,1328019.473995108,2.220446049250313e-16,6.960900539496405e-16,True,True
