system,formula_id,registry_label,formal_order,compact_m,compact_coefficient_count,s2_block_count,hamiltonian_group_count,unmerged_group_exponential_count,merged_group_exponential_count,pauli_rotations_per_pf_unitary,rz_layer_depth_per_pf_unitary,stored_pauli_rotation_count,stored_rz_layer_depth,legacy_recomputed_pauli_rotation_count,coefficient_sha256,pauli_rotation_unit,rz_layer_unit,runtime_interpretation,fixed_table_match
H2,yoshida4,4th,4,1,2,3,2,9,7,52,19,52,19,52,e7bab1d7d91faf42ed573552f1bf7743b023cb9bfa3c6e5588722b90a5e82aac,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,paper_new2,4th(new_2),4,2,3,5,2,15,11,80,29,80,29,80,966d521a962ffbb49c1fa6b46091fc9e04cc4b86abc20354c934aea5c45c0cf9,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,m5_best,4th(m5_best),4,5,6,11,2,33,23,164,59,164,59,164,7b1c2dda29253e6cf3d70e29453c8f1e1101d91faa67f1da5738b52c14d4c310,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,current_m3,,4,3,4,7,2,21,15,108,39,,,,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,two_term_center,,4,3,4,7,2,21,15,108,39,,,,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,joint_refine_r0_s0046,,4,3,4,7,2,21,15,108,39,,,,0726f60f2f28cf2c01ce70db219a6052a3f883e59cf9ee8c6c24bfdf01aa0f9b,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,yoshida6_m3,,6,3,4,7,2,21,15,108,39,,,,f5f3f107b8f7af3ceed0930ac51e12e573fb4ca202f0e86b84712604770b5944,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H2,morales_y8m10b,8th(Morales-Y8m10b),8,10,11,21,2,63,43,304,109,304,109,304,dd2003afddf613572d822a7c59a87daa257be6b6ae2b4e9027dfa45b5e9bc464,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,yoshida4,4th,4,1,2,3,13,75,73,1116,279,1116,279,1116,e7bab1d7d91faf42ed573552f1bf7743b023cb9bfa3c6e5588722b90a5e82aac,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,paper_new2,4th(new_2),4,2,3,5,13,125,121,1836,459,1836,459,1836,966d521a962ffbb49c1fa6b46091fc9e04cc4b86abc20354c934aea5c45c0cf9,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,m5_best,4th(m5_best),4,5,6,11,13,275,265,3996,999,3996,999,3996,7b1c2dda29253e6cf3d70e29453c8f1e1101d91faa67f1da5738b52c14d4c310,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,current_m3,,4,3,4,7,13,175,169,2556,639,,,,da7fb750d1618a4ab25d7ab4f52f2b2d5a3b05b5f329f405a648219352d9fbf4,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,two_term_center,,4,3,4,7,13,175,169,2556,639,,,,23aba4966505bd7d45dc54ac296799d18eb0ac3f11372d3c803bec187442286e,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,joint_refine_r0_s0046,,4,3,4,7,13,175,169,2556,639,,,,0726f60f2f28cf2c01ce70db219a6052a3f883e59cf9ee8c6c24bfdf01aa0f9b,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,yoshida6_m3,,6,3,4,7,13,175,169,2556,639,,,,f5f3f107b8f7af3ceed0930ac51e12e573fb4ca202f0e86b84712604770b5944,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
H4,morales_y8m10b,8th(Morales-Y8m10b),8,10,11,21,13,525,505,7596,1899,7596,1899,7596,dd2003afddf613572d822a7c59a87daa257be6b6ae2b4e9027dfa45b5e9bc464,Pauli rotations / one PF unitary,greedy RZ layers / one PF unitary,"neither count is wall-clock time; control, synthesis, routing, and hardware scheduling are excluded",True
