formula_id,s2_block_count,unmerged_group_exponential_count,merged_group_exponential_count,closed_form_merged_group_exponential_count,pauli_rotations,direct_hand_pauli_rotations,rz_layer_depth,direct_hand_rz_layer_depth,passed,formal_order,alpha,epsilon_e,analytic_optimal_time,qpe_iteration_factor_unitary_applications,pauli_rotations_per_pf_unitary,rz_layer_depth_per_pf_unitary,qpe_total_pauli_rotations,qpe_total_rz_layer_depth,direct_formula_total_pauli_rotations,rotation_total_relative_difference,units_kept_distinct
yoshida4,3,15,13,13,29,29,19,19,True,,,,,,,,,,,,
paper_new2,5,25,21,21,47,47,31,31,True,,,,,,,,,,,,
m5_best,11,55,45,45,101,101,67,67,True,,,,,,,,,,,,
current_m3,7,35,29,29,65,65,43,43,True,,,,,,,,,,,,
two_term_center,7,35,29,29,65,65,43,43,True,,,,,,,,,,,,
joint_refine_r0_s0046,7,35,29,29,65,65,43,43,True,,,,,,,,,,,,
yoshida6_m3,7,35,29,29,65,65,43,43,True,,,,,,,,,,,,
morales_y8m10b,21,105,85,85,191,191,127,127,True,,,,,,,,,,,,
yoshida4,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,52,19,651422.7441191113,238019.8488127522,651422.7441191113,0.0,True
paper_new2,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,80,29,1002188.8371063251,363293.4534510428,1002188.8371063251,0.0,True
m5_best,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,164,59,2054487.1160679664,739114.2673659148,2054487.1160679662,1.1102230246251565e-16,True
current_m3,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,108,39,1352954.930093539,488567.05808933347,1352954.930093539,0.0,True
two_term_center,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,108,39,1352954.930093539,488567.05808933347,1352954.930093539,0.0,True
joint_refine_r0_s0046,,,,,,,,,,4,0.0001,0.00015936001019904,0.751367379199928,12527.360463829064,108,39,1352954.930093539,488567.05808933347,1352954.930093539,0.0,True
yoshida6_m3,,,,,,,,,,6,0.0001,0.00015936001019904,0.7814122551777771,11242.644253130316,108,39,1214205.5793380742,438463.12587208237,1214205.579338074,2.220446049250313e-16,True
morales_y8m10b,,,,,,,,,,8,0.0001,0.00015936001019904,0.8054101621009789,10518.100464366784,304,109,3197502.5411675023,1146472.9506159795,3197502.5411675023,0.0,True
