relative_path,sha256,sentinel,sentinel_present
src/trotterlib/cost_validation.py,a6ae5d78dc8cae7d0ee9b443b3093f9bd50f2d1ec8b81ba1e309351e254b4d3c,epsilon_e / ((order + 1) * alpha),True
src/trotterlib/cost_validation.py,a6ae5d78dc8cae7d0ee9b443b3093f9bd50f2d1ec8b81ba1e309351e254b4d3c,beta * n_exp / (optimum * remaining_error),True
src/trotterlib/cost_extrapolation.py,bf61c635e923fe680ecae96a8e5dbc8be99e2be2570ec2ff24212a246991e411,def _qpe_iteration_factor(,True
src/trotterlib/cost_extrapolation.py,bf61c635e923fe680ecae96a8e5dbc8be99e2be2570ec2ff24212a246991e411,def _t_depth_optimal_time(,True
src/trotterlib/cost_extrapolation.py,bf61c635e923fe680ecae96a8e5dbc8be99e2be2570ec2ff24212a246991e411,"t = _t_depth_optimal_time(coeff, expo, target_error)",True
src/trotterlib/cost_extrapolation.py,bf61c635e923fe680ecae96a8e5dbc8be99e2be2570ec2ff24212a246991e411,tot_dt = M_qpe * D_T,True
src/trotterlib/cost_extrapolation.py,bf61c635e923fe680ecae96a8e5dbc8be99e2be2570ec2ff24212a246991e411,tot_rz_layer = M_qpe * pf_layer_rz,True
src/trotterlib/rz_layers.py,e85e0185785d85443599c522700ba41c66e8c05580cbdc6ce44540feda3ebac4,def calculate_pf_rz_layer_from_group_layers(,True
src/trotterlib/rz_layers.py,e85e0185785d85443599c522700ba41c66e8c05580cbdc6ce44540feda3ebac4,"for group_idx, _ in iter_s2_sequence_steps",True
review_response/refine_joint_full_frozen_m3_local.py,fe901861ba5574926e7b8a748ee4c1c6a31ba14c0310083768f5225332d3e164,seed=int(args.seed) + 1000 * radius_index,True
review_response/refine_joint_full_frozen_m3_local.py,fe901861ba5574926e7b8a748ee4c1c6a31ba14c0310083768f5225332d3e164,"record.update(
                    {
                        ""status"": ""failed""",True
