dataset,condition,target_name,formula,rank_among_covered,covered_formula_count,direct_grid_minimum_cost,cost_ratio_to_best_covered,best_covered_formula,ranking_status
nh3,active_equilibrium,CA,,,0,,,,insufficient_existing_curve
nh3,active_equilibrium,CA_div_10,current_m3,1,3,562268423.2711293,1.0,current_m3,partial_coverage
nh3,active_equilibrium,CA_div_10,yoshida6_m3,2,3,896628623.8038198,1.5946629522381341,current_m3,partial_coverage
nh3,active_equilibrium,CA_div_10,yoshida4,3,3,1065526806.3104452,1.8950500547611966,current_m3,partial_coverage
nh3,active_equilibrium,CA_div_100,,,0,,,,insufficient_existing_curve
nh3,active_stretch150,CA,morales_y8m10b,1,1,24290122.5479853,1.0,morales_y8m10b,partial_coverage
nh3,active_stretch150,CA_div_10,morales_y8m10b,1,4,249006195.39890087,1.0,morales_y8m10b,complete_all_declared_formulas
nh3,active_stretch150,CA_div_10,current_m3,2,4,364171347.6487074,1.4624991441089055,morales_y8m10b,complete_all_declared_formulas
nh3,active_stretch150,CA_div_10,yoshida6_m3,3,4,615835758.6424493,2.4731744431334244,morales_y8m10b,complete_all_declared_formulas
nh3,active_stretch150,CA_div_10,yoshida4,4,4,694325475.1855178,2.788386345461116,morales_y8m10b,complete_all_declared_formulas
nh3,active_stretch150,CA_div_100,morales_y8m10b,1,1,2726391852.2035775,1.0,morales_y8m10b,partial_coverage
nh3,full_equilibrium,CA,current_m3,1,1,185028199.38267952,1.0,current_m3,partial_coverage
nh3,full_equilibrium,CA_div_10,current_m3,1,4,1876615025.2337036,1.0,current_m3,complete_all_declared_formulas
nh3,full_equilibrium,CA_div_10,morales_y8m10b,2,4,3514468490.739682,1.8727700905528075,current_m3,complete_all_declared_formulas
nh3,full_equilibrium,CA_div_10,yoshida4,3,4,4920391551.071749,2.6219504186581846,current_m3,complete_all_declared_formulas
nh3,full_equilibrium,CA_div_10,yoshida6_m3,4,4,6717656401.105524,3.579666746123885,current_m3,complete_all_declared_formulas
nh3,full_equilibrium,CA_div_100,current_m3,1,1,19960885393.797863,1.0,current_m3,partial_coverage
nh3,full_stretch150,CA,,,0,,,,insufficient_existing_curve
nh3,full_stretch150,CA_div_10,yoshida4,1,2,3199463792.3840685,1.0,yoshida4,partial_coverage
nh3,full_stretch150,CA_div_10,yoshida6_m3,2,2,4748349458.856163,1.4841078902530564,yoshida4,partial_coverage
nh3,full_stretch150,CA_div_100,,,0,,,,insufficient_existing_curve
p03,CO_active_eq_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,CO_active_eq_sto3g,CA_div_10,current_m3,1,4,516598986.2848441,1.0,current_m3,complete_all_declared_formulas
p03,CO_active_eq_sto3g,CA_div_10,two_term_center,2,4,593371883.5797225,1.1486121717872422,current_m3,complete_all_declared_formulas
p03,CO_active_eq_sto3g,CA_div_10,yoshida6_m3,3,4,837949129.2059106,1.6220495034883389,current_m3,complete_all_declared_formulas
p03,CO_active_eq_sto3g,CA_div_10,yoshida4,4,4,981310122.3165642,1.899558745505331,current_m3,complete_all_declared_formulas
p03,CO_active_eq_sto3g,CA_div_100,,,0,,,,insufficient_existing_curve
p03,CO_active_stretch150_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,CO_active_stretch150_sto3g,CA_div_10,current_m3,1,4,339228616.38816804,1.0,current_m3,complete_all_declared_formulas
p03,CO_active_stretch150_sto3g,CA_div_10,two_term_center,2,4,391765753.48645544,1.1548723620597234,current_m3,complete_all_declared_formulas
p03,CO_active_stretch150_sto3g,CA_div_10,yoshida6_m3,3,4,600360224.280111,1.7697806000928256,current_m3,complete_all_declared_formulas
p03,CO_active_stretch150_sto3g,CA_div_10,yoshida4,4,4,648130311.8576326,1.9106003460391994,current_m3,complete_all_declared_formulas
p03,CO_active_stretch150_sto3g,CA_div_100,,,0,,,,insufficient_existing_curve
p03,HF_full_eq_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,HF_full_eq_sto3g,CA_div_10,yoshida4,1,1,523616106.8154415,1.0,yoshida4,partial_coverage
p03,HF_full_eq_sto3g,CA_div_100,,,0,,,,insufficient_existing_curve
p03,HF_full_stretch150_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,HF_full_stretch150_sto3g,CA_div_10,current_m3,1,2,213542334.23407668,1.0,current_m3,partial_coverage
p03,HF_full_stretch150_sto3g,CA_div_10,yoshida4,2,2,280409365.9385344,1.3131324378573135,current_m3,partial_coverage
p03,HF_full_stretch150_sto3g,CA_div_100,current_m3,1,1,2198918988.9644127,1.0,current_m3,partial_coverage
p03,N2_active_eq_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,N2_active_eq_sto3g,CA_div_10,current_m3,1,4,273754426.1176161,1.0,current_m3,complete_all_declared_formulas
p03,N2_active_eq_sto3g,CA_div_10,two_term_center,2,4,314215313.9653595,1.1477999403390824,current_m3,complete_all_declared_formulas
p03,N2_active_eq_sto3g,CA_div_10,yoshida6_m3,3,4,434465171.58631617,1.5870617244363827,current_m3,complete_all_declared_formulas
p03,N2_active_eq_sto3g,CA_div_10,yoshida4,4,4,522028975.1309489,1.9069243282541992,current_m3,complete_all_declared_formulas
p03,N2_active_eq_sto3g,CA_div_100,,,0,,,,insufficient_existing_curve
p03,N2_active_stretch150_sto3g,CA,,,0,,,,insufficient_existing_curve
p03,N2_active_stretch150_sto3g,CA_div_10,current_m3,1,4,147957576.27790663,1.0,current_m3,complete_all_declared_formulas
p03,N2_active_stretch150_sto3g,CA_div_10,two_term_center,2,4,171829972.22233734,1.16134622197103,current_m3,complete_all_declared_formulas
p03,N2_active_stretch150_sto3g,CA_div_10,yoshida6_m3,3,4,248068786.68673414,1.6766210485956463,current_m3,complete_all_declared_formulas
p03,N2_active_stretch150_sto3g,CA_div_10,yoshida4,4,4,286380765.18562657,1.9355599921948006,current_m3,complete_all_declared_formulas
p03,N2_active_stretch150_sto3g,CA_div_100,,,0,,,,insufficient_existing_curve
