dataset,condition,formula,status,model_name,saved_direct_point_count,raw_path,fine_path,failure_reason
p03,N2_active_eq_sto3g,current_m3,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_eq_sto3g__current_m3.json,
p03,N2_active_eq_sto3g,yoshida4,complete,two_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_eq_sto3g__yoshida4.json,
p03,N2_active_eq_sto3g,two_term_center,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__two_term_center.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_eq_sto3g__two_term_center.json,
p03,N2_active_eq_sto3g,yoshida6_m3,complete,three_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida6_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_eq_sto3g__yoshida6_m3.json,
p03,N2_active_stretch150_sto3g,current_m3,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_stretch150_sto3g__current_m3.json,
p03,N2_active_stretch150_sto3g,yoshida4,complete,two_term_5point,74,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_stretch150_sto3g__yoshida4.json,
p03,N2_active_stretch150_sto3g,two_term_center,complete,two_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__two_term_center.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_stretch150_sto3g__two_term_center.json,
p03,N2_active_stretch150_sto3g,yoshida6_m3,complete,three_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida6_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/N2_active_stretch150_sto3g__yoshida6_m3.json,
p03,CO_active_eq_sto3g,current_m3,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_eq_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_eq_sto3g__current_m3.json,
p03,CO_active_eq_sto3g,yoshida4,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_eq_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_eq_sto3g__yoshida4.json,
p03,CO_active_eq_sto3g,two_term_center,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_eq_sto3g__two_term_center.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_eq_sto3g__two_term_center.json,
p03,CO_active_eq_sto3g,yoshida6_m3,complete,three_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_eq_sto3g__yoshida6_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_eq_sto3g__yoshida6_m3.json,
p03,CO_active_stretch150_sto3g,current_m3,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_stretch150_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_stretch150_sto3g__current_m3.json,
p03,CO_active_stretch150_sto3g,yoshida4,complete,two_term_5point,74,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_stretch150_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_stretch150_sto3g__yoshida4.json,
p03,CO_active_stretch150_sto3g,two_term_center,complete,two_term_5point,51,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_stretch150_sto3g__two_term_center.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_stretch150_sto3g__two_term_center.json,
p03,CO_active_stretch150_sto3g,yoshida6_m3,complete,three_term_5point,28,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/CO_active_stretch150_sto3g__yoshida6_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/CO_active_stretch150_sto3g__yoshida6_m3.json,
p03,HF_full_eq_sto3g,current_m3,complete,two_term_5point,35,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_eq_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/HF_full_eq_sto3g__current_m3.json,
p03,HF_full_eq_sto3g,yoshida4,complete,two_term_5point,74,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_eq_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/HF_full_eq_sto3g__yoshida4.json,
p03,HF_full_eq_sto3g,two_term_center,complete,two_term_5point,35,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_eq_sto3g__two_term_center.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/HF_full_eq_sto3g__two_term_center.json,
p03,HF_full_eq_sto3g,yoshida6_m3,complete,three_term_5point,12,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_eq_sto3g__yoshida6_m3.json,,
p03,HF_full_stretch150_sto3g,current_m3,complete,two_term_5point,35,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__current_m3.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/HF_full_stretch150_sto3g__current_m3.json,
p03,HF_full_stretch150_sto3g,yoshida4,complete,two_term_5point,35,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__yoshida4.json,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/fine/raw/HF_full_stretch150_sto3g__yoshida4.json,
p03,HF_full_stretch150_sto3g,two_term_center,complete,two_term_5point,19,artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__two_term_center.json,,
