dataset,condition,formula,target_name,target_error_hartree,point_role,relative_to_model_time,requested_time,recommended_stage1,existing_nearest_relative_mismatch,relative_to_target_analytic_time
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,0.85,1.0334266957937879,True,0.2638273329760721,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,0.9,1.0942165014287168,True,0.30472581447740166,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,0.95,1.1550063070636454,True,0.3413191926628014,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,1.0,1.2157961126985741,True,0.3742532330296614,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,1.05,1.2765859183335029,True,0.40405069812348704,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,1.1,1.3373757239684316,True,0.4311393027542376,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,direct_coarse_validation,1.15,1.3981655296033602,True,0.45587237654753154,
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,optional_target_specific_refit_training,,0.1161607139634619,False,0.12468265038069837,0.1
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,optional_target_specific_refit_training,,0.2323214279269238,False,0.12468265038069837,0.2
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,optional_target_specific_refit_training,,0.3484821418903857,False,0.06276445801608477,0.3
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,optional_target_specific_refit_training,,0.4646428558538476,False,0.20997225624566185,0.4
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,optional_target_specific_refit_training,,0.5808035698173095,False,0.024917675878678436,0.5
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.85,0.3134346615221335,True,0.04203487750919144,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.9,0.33187199455284727,True,0.015855949019097038,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.95,0.350309327583561,True,0.06765300433388133,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.0,0.36874666061427475,True,0.11427035411718733,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.05,0.3871839936449885,True,0.1564479563020833,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.1,0.4056213266757023,True,0.194791231015625,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.15,0.42405865970641593,True,0.229800307927989,
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.03673324307558647,False,0.7782794100389228,0.1
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.07346648615117295,False,0.11086029498053862,0.2
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.1101997292267594,False,0.18551960669261547,0.3
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.1469329723023459,False,0.11086029498053862,0.4
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.18366621537793235,False,0.0669676460233537,0.5
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,0.85,0.2273611388548267,True,0.24292474852612944,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,0.9,0.24073532349334592,True,0.2849844847191223,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,0.95,0.2541095081318651,True,0.32261688026022106,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,1.0,0.26748369277038436,True,0.3564860362472101,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,1.05,0.2808578774089036,True,0.3871295583306763,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,1.1,0.2942320620474228,True,0.4149873056792819,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,direct_coarse_validation,1.15,0.307606246685942,True,0.44042264021496524,
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,optional_target_specific_refit_training,,0.026559794734424033,False,0.12468265038069815,0.1
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,optional_target_specific_refit_training,,0.053119589468848066,False,0.12468265038069815,0.2
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,optional_target_specific_refit_training,,0.07967938420327209,False,0.06276445801608477,0.3
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,optional_target_specific_refit_training,,0.10623917893769613,False,0.19754451295895503,0.4
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,optional_target_specific_refit_training,,0.13279897367212015,False,0.01439064627111497,0.5
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.85,0.07143743288389273,True,0.04536722309259145,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.9,0.07563963481823936,True,0.01270873374588577,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.95,0.07984183675258599,True,0.06467143196978653,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.0,0.08404403868693262,True,0.11143786037129721,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.05,0.08824624062127925,True,0.1537503432107592,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.1,0.0924484425556259,True,0.19221623670117938,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.15,0.09665064448997251,True,0.22733726988808456,
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.008398944554732687,False,0.7782794100389228,0.1
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.016797889109465374,False,0.11086029498053862,0.2
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.025196833664198056,False,0.18551960669261547,0.3
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.03359577821893075,False,0.11086029498053862,0.4
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,optional_target_specific_refit_training,,0.04199472277366343,False,0.0669676460233537,0.5
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,0.85,0.8814459170770493,False,0.24933543305990713,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,0.9,0.9332956769051111,False,0.29103902011213456,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,0.95,0.9851454367331728,False,0.32835275589570645,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,1.0,1.0369951965612345,False,0.36193511810092105,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,1.05,1.0888449563892963,False,0.39231916009611534,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,1.1,1.140694716217358,False,0.41994101645538284,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,direct_coarse_validation,1.15,1.1925444760454196,False,0.4451609722616705,
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,optional_target_specific_refit_training,,0.10172603458517114,False,0.12468265038069815,0.1
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,optional_target_specific_refit_training,,0.20345206917034228,False,0.12468265038069815,0.2
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,optional_target_specific_refit_training,,0.3051781037555134,False,0.06276445801608488,0.3
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,optional_target_specific_refit_training,,0.40690413834068456,False,0.20184642409666154,0.4
p03,N2_active_eq_sto3g,two_term_center,CA,0.0015936001019904,optional_target_specific_refit_training,,0.5086301729258557,False,0.018034618058348606,0.5
p03,N2_active_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.85,0.2739252511612103,False,0.044167210808147006,
p03,N2_active_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.9,0.2900385012295168,False,0.01384207868119458,
p03,N2_active_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,direct_coarse_validation,0.95,0.3061517512978233,False,0.06574512717165804,
p03,N2_active_eq_sto3g,two_term_center,CA_div_100,1.5936001019904e-05,direct_coarse_validation,1.0,0.3222650013661298,False,0.11245787081307512,
