system_id,formula_id,time_hartree_inverse,repeat_count,reference_signed_shift_hartree,median_unitary_build_seconds,median_schur_seconds,median_total_seconds,minimum_total_seconds,maximum_total_seconds,signed_direct_shift_hartree,shift_repeat_spread_hartree,minimum_ground_overlap_probability,maximum_eigenpair_residual_2_norm,absolute_shift_difference_hartree
H2,yoshida4,0.3931379077393266,7,-2.3630501441607166e-05,3.3017946407198906e-05,1.1109048500657082e-05,4.3133972212672234e-05,3.780401311814785e-05,6.437115371227264e-05,-2.3630501444049656e-05,0.0,0.9999999998794851,3.5135752366389115e-16,2.4424906541753444e-15
H2,yoshida4,0.44691341667477724,7,-3.931209135843439e-05,2.8856797143816948e-05,7.838942110538483e-06,3.689900040626526e-05,3.6075012758374214e-05,3.888807259500027e-05,-3.931209136109892e-05,0.0,0.9999999996594027,1.2719202621569003e-16,2.6645352591003757e-15
H2,yoshida4,0.5080446277807349,7,-6.532630153832653e-05,2.838997170329094e-05,8.301110938191414e-06,3.683101385831833e-05,3.581796772778034e-05,3.7678051739931107e-05,-6.532630154043595e-05,0.0,0.9999999990338597,3.7192730237993177e-16,2.1094237467877974e-15
H2,yoshida4,0.577537693402241,7,-0.00010839549489327638,2.8405804187059402e-05,7.570954039692879e-06,3.6125071346759796e-05,3.56258824467659e-05,3.876304253935814e-05,-0.00010839549489605194,0.0,0.9999999972467295,1.1443916996305594e-16,2.7755575615628914e-15
H2,yoshida4,0.65653639279173,7,-0.00017951574309715834,2.823607064783573e-05,7.95489177107811e-06,3.640702925622463e-05,3.541097976267338e-05,3.7730904296040535e-05,-0.0001795157430993788,0.0,0.9999999921083778,1.3383253895372864e-16,2.220446049250313e-15
H2,current_m3,0.3931379077393266,7,-6.528128260185895e-08,5.555478855967522e-05,8.157920092344284e-06,6.387918256223202e-05,6.337207742035389e-05,6.834394298493862e-05,-6.52812851553719e-08,0.0,0.999999999999799,1.0838898772828417e-16,2.55351295663786e-15
H2,current_m3,0.44691341667477724,7,-1.0895367585916915e-07,5.547190085053444e-05,8.110888302326202e-06,6.441702134907246e-05,6.335508078336716e-05,8.346396498382092e-05,-1.089536783016598e-07,0.0,0.9999999999994378,2.607399605677454e-16,2.4424906541753444e-15
H2,current_m3,0.5080446277807349,7,-1.8181029537434057e-07,5.542696453630924e-05,7.92904756963253e-06,6.353994831442833e-05,6.285589188337326e-05,6.427895277738571e-05,-1.8181029803887583e-07,0.0,0.999999999998425,4.339518890631823e-16,2.6645352591003757e-15
H2,current_m3,0.577537693402241,7,-3.0331630573865453e-07,5.5524054914712906e-05,7.884111255407333e-06,6.345007568597794e-05,6.329594179987907e-05,8.548912592232227e-05,-3.033163079591006e-07,0.0,0.9999999999955824,2.3055512673781017e-16,2.220446049250313e-15
H2,current_m3,0.65653639279173,7,-5.058761773923948e-07,5.539692938327789e-05,7.6161231845617294e-06,6.403890438377857e-05,6.279000081121922e-05,7.107295095920563e-05,-5.058761798348854e-07,0.0,0.9999999999875884,2.622130794118103e-16,2.4424906541753444e-15
H2,two_term_center,0.3931379077393266,7,-1.1104009567386441e-07,5.653407424688339e-05,8.600996807217598e-06,6.531202234327793e-05,6.338115781545639e-05,6.988202221691608e-05,-1.1104009767226586e-07,0.0,0.9999999999998948,1.8619006149354548e-16,1.9984014443252818e-15
H2,two_term_center,0.44691341667477724,7,-1.8534629009359094e-07,5.585118196904659e-05,8.259899914264679e-06,6.45399559289217e-05,6.299489177763462e-05,6.609992124140263e-05,-1.853462924250593e-07,0.0,0.9999999999997053,2.651347637902923e-16,2.3314683517128287e-15
H2,two_term_center,0.5080446277807349,7,-3.0933317296533147e-07,5.581905134022236e-05,8.040806278586388e-06,6.401794962584972e-05,6.34749885648489e-05,6.438302807509899e-05,-3.093331751857775e-07,0.0,0.9999999999991749,5.715222817774257e-16,2.220446049250313e-15
H2,two_term_center,0.577537693402241,7,-5.161662017805213e-07,5.550496280193329e-05,7.671071216464043e-06,6.337207742035389e-05,6.243889220058918e-05,6.46000262349844e-05,-5.161662041119897e-07,0.0,0.9999999999976874,4.809409384954737e-16,2.3314683517128287e-15
H2,two_term_center,0.65653639279173,7,-8.610922725971193e-07,5.522114224731922e-05,7.93510116636753e-06,6.350595504045486e-05,6.296718493103981e-05,6.378302350640297e-05,-8.610922749285876e-07,0.0,0.999999999993507,4.2841699744536696e-16,2.3314683517128287e-15
H2,m5_best,0.3931379077393266,7,-5.727432084157158e-09,8.347793482244015e-05,8.966075256466866e-06,9.246100671589375e-05,9.133690036833286e-05,9.416788816452026e-05,-5.7274348597147196e-09,0.0,0.9999999999999585,1.942890293094024e-16,2.7755575615628914e-15
H2,m5_best,0.44691341667477724,7,-9.556187285930662e-09,8.281506597995758e-05,7.977010682225227e-06,9.076297283172607e-05,8.957297541201115e-05,9.183608926832676e-05,-9.556189839443618e-09,0.0,0.9999999999998832,3.554447978966673e-16,2.55351295663786e-15
H2,m5_best,0.5080446277807349,7,-1.594022303041953e-08,8.293194696307182e-05,7.983995601534843e-06,9.116786532104015e-05,8.977903053164482e-05,9.171711280941963e-05,-1.5940225028820976e-08,0.0,0.9999999999996727,2.0253964504621835e-16,1.9984014443252818e-15
H2,m5_best,0.577537693402241,7,-2.6579987433272834e-08,8.421111851930618e-05,8.095987141132355e-06,9.255507029592991e-05,9.170710109174252e-05,9.433692321181297e-05,-2.657998998678579e-08,0.0,0.9999999999990823,2.5172027167143304e-16,2.55351295663786e-15
H2,m5_best,0.65653639279173,7,-4.430174405101184e-08,8.40439461171627e-05,8.109025657176971e-06,9.238184429705143e-05,9.108614176511765e-05,9.518186561763287e-05,-4.430174627145789e-08,0.0,0.9999999999974212,1.6883057536160649e-16,2.220446049250313e-15
H4,yoshida4,0.3931379077393266,7,-0.00010890562667209558,0.002572332974523306,0.0006351540796458721,0.003204544074833393,0.0031145920511335135,0.003619760973379016,-0.00010890562668142145,0.0,0.9999999962982009,2.1723554217341984e-15,9.325873406851315e-15
