order,operator_frobenius_norm,operator_spectral_norm,diagonal_frobenius_norm_in_h_basis,off_diagonal_frobenius_norm_in_h_basis,ground_expectation_real,ground_expectation_imaginary,ground_to_excited_coupling_norm,centered_action_norm,selected_ground_index,selected_reference_overlap_probability,minimum_excitation_gap_hartree,system_id,formula_id
4,0.0015914997133510047,0.001125360239566942,0.0014172925488843426,0.0007239842321993296,-0.001002177172241285,0.0,0.000511934160060282,0.0005119341600602818,0,1.0,0.355278537197052,H2,yoshida4
6,0.00016261107796654918,0.00011498339592620132,0.00011882166206154227,0.00011101250065815012,8.401960299557286e-05,0.0,7.849769201185402e-05,7.849769201185405e-05,0,1.0,0.355278537197052,H2,yoshida4
8,3.6689320686837796e-06,2.594326745479089e-06,1.3777435338929089e-06,3.4004242793264073e-06,-9.742117955515938e-07,0.0,2.4044630668230815e-06,2.404463066823082e-06,0,1.0,0.355278537197052,H2,yoshida4
4,3.03331893441687e-05,2.1448803880277214e-05,3.872698910601065e-06,3.008495602351811e-05,-2.7384116611797677e-06,0.0,2.1273276415928725e-05,2.127327641592873e-05,0,1.0,0.355278537197052,H2,current_m3
6,1.121940202254392e-06,7.933315250998874e-07,5.123736863449377e-08,1.120769623736314e-06,3.623029081160546e-08,0.0,7.92503801091843e-07,7.925038010918431e-07,0,1.0,0.355278537197052,H2,current_m3
8,3.834070672411511e-08,2.7110973720106455e-08,8.387390607630119e-10,3.83315315229193e-08,5.930780775115615e-10,0.0,2.7104485873122146e-08,2.710448587312215e-08,0,1.0,0.355278537197052,H2,current_m3
4,2.2760809083728098e-05,1.6094322448396507e-05,6.5846436816533495e-06,2.1787539965117263e-05,-4.656046198994238e-06,0.0,1.540611725470733e-05,1.5406117254707335e-05,0,1.0,0.355278537197052,H2,two_term_center
6,7.518436401959054e-07,5.316337363745034e-07,7.029391726542162e-08,7.485503486730282e-07,4.9705305574545765e-08,0.0,5.293050276062528e-07,5.293050276062528e-07,0,1.0,0.355278537197052,H2,two_term_center
8,2.5238427176991592e-08,1.7846263003333605e-08,2.743118238212152e-10,2.523693641057922e-08,1.939677507836308e-10,0.0,1.7845208872294254e-08,1.784520887229426e-08,0,1.0,0.355278537197052,H2,two_term_center
4,1.3714185060377314e-05,9.697393254640043e-06,3.4011147587195567e-07,1.3709967033303052e-05,-2.404951309484247e-07,0.0,9.694410659092602e-06,9.694410659092603e-06,0,1.0,0.355278537197052,H2,m5_best
6,5.220018770497761e-07,3.6911106705400307e-07,6.694984528479574e-09,5.219589417048557e-07,4.734068960026927e-09,0.0,3.690807071804573e-07,3.6908070718045734e-07,0,1.0,0.355278537197052,H2,m5_best
8,1.7848661436671098e-08,1.262090953697296e-08,1.989068346788476e-10,1.784755308584423e-08,1.4064837162576466e-10,0.0,1.2620125814587347e-08,1.262012581458735e-08,0,1.0,0.355278537197052,H2,m5_best
4,0.029269196238374234,0.012716348247951441,0.013755760452657088,0.025835342126814893,-0.00471157874817936,0.0,0.0037714531094734625,0.0037714531094734647,0,0.9999999999999993,0.23263021512018422,H4,yoshida4
6,0.0070692611444696,0.003344247419738493,0.004311583583280409,0.005602204934942538,0.0009987935751143567,0.0,0.000823840552800429,0.000823840552800428,0,0.9999999999999993,0.23263021512018422,H4,yoshida4
8,0.0011568840346057282,0.0005825503636348137,0.0006588270218799854,0.0009509614212818404,-6.623299670178003e-05,0.0,0.0001146291185427139,0.00011462911854271387,0,0.9999999999999993,0.23263021512018422,H4,yoshida4
4,0.000501650569506032,0.00021310985921438064,3.7587101238475087e-05,0.0005002404458919878,-1.2874212807516034e-05,0.0,0.00017176215533263526,0.00017176215533263534,0,0.9999999999999993,0.23263021512018422,H4,current_m3
6,6.255330377649687e-05,2.9625157591986876e-05,1.3693141795833982e-06,6.253831459219452e-05,4.346739433332887e-07,0.0,2.5916851101547753e-05,2.5916851101547763e-05,0,0.9999999999999993,0.23263021512018422,H4,current_m3
8,8.611474313156918e-06,4.650273316267513e-06,4.7770803378372494e-08,8.611341811617165e-06,2.2401912302006887e-08,0.0,4.3620337150206036e-06,4.362033715020604e-06,0,0.9999999999999993,0.23263021512018422,H4,current_m3
4,0.000381814871643235,0.0001580265467301699,6.390831675708531e-05,0.0003764283773272361,-2.1889670739577425e-05,0.0,0.00013000131016168014,0.00013000131016168017,0,0.9999999999999993,0.23263021512018422,H4,two_term_center
6,4.632831436266484e-05,2.2428554597351106e-05,2.215898582864338e-06,4.6275290438379286e-05,5.934314751720298e-07,0.0,1.9851701554942795e-05,1.98517015549428e-05,0,0.9999999999999993,0.23263021512018422,H4,two_term_center
8,6.573940678997761e-06,3.629857825450937e-06,3.1362375532026566e-08,6.573865868146575e-06,8.287922473901735e-09,0.0,3.4384136365097414e-06,3.4384136365097426e-06,0,0.9999999999999993,0.23263021512018422,H4,two_term_center
4,0.00022571837849465608,9.643771173528438e-05,3.3010065513267734e-06,0.0002256942395055862,-1.1306501269234562e-06,0.0,7.631173213026827e-05,7.63117321302683e-05,0,0.9999999999999993,0.23263021512018422,H4,m5_best
6,2.7727735685828823e-05,1.2947431594873789e-05,1.5330536280137546e-07,2.7727311873474525e-05,5.708360868608101e-08,0.0,1.118228160864269e-05,1.1182281608642691e-05,0,0.9999999999999993,0.23263021512018422,H4,m5_best
8,3.7193152825159437e-06,1.975124914371391e-06,1.1591082221852473e-08,3.719297220923542e-06,4.927307851764583e-09,0.0,1.8352605846498564e-06,1.835260584649857e-06,0,0.9999999999999993,0.23263021512018422,H4,m5_best
