system_id,formula_id,window_id,minimum_time,maximum_time,training_point_count,holdout_point_count,scaled_design_condition_number,training_residual_frobenius_max,relative_error_d4,relative_error_d6,relative_error_d8,relative_error_d10,relative_error_d12
H2,yoshida4,lower,0.08,0.6,16,15,7252.431274717003,3.2653878496295726e-15,6.489980601953451e-10,1.4527672322709352e-07,5.906017948243945e-05,0.0032663826079948888,0.06219427973550924
H2,yoshida4,middle,0.09,0.7,17,16,6783.65511316599,2.673632383589859e-15,1.0872470905195095e-09,2.6614394339631267e-07,0.00010525001004405948,0.005160326789788055,0.08039775431930929
H2,yoshida4,upper,0.1,0.8,18,17,6379.081352337146,1.0783175564619366e-14,4.151672115030192e-09,7.806485609656733e-07,0.00023559612167579,0.008800180520500864,0.10459624441075664
H2,current_m3,lower,0.08,0.6,16,15,7252.431274717003,3.672409151511035e-15,3.623710514579217e-08,2.133345164664775e-05,0.004643329211726014,0.4279443800275193,13.991482419656872
H2,current_m3,middle,0.09,0.7,17,16,6783.65511316599,3.4136830787428663e-15,1.1577620145923237e-08,4.622095497982159e-06,0.0007220828113617714,0.04875637991607594,1.1792614220346387
H2,current_m3,upper,0.1,0.8,18,17,6379.081352337146,3.333779574997359e-15,3.5972390738410385e-09,1.1002263732612156e-06,0.00012813860071464328,0.006531934111509275,0.12889315240791008
H2,two_term_center,lower,0.08,0.6,16,15,7252.431274717003,2.7679599257577665e-15,4.880265800260921e-08,3.199864535935213e-05,0.0070735897193483456,0.6526425725297472,21.258477430840554
H2,two_term_center,middle,0.09,0.7,17,16,6783.65511316599,2.689136616163009e-15,2.9986801260259696e-08,1.4117608430470904e-05,0.002266442524093756,0.15231913636761485,3.620725155532955
H2,two_term_center,upper,0.1,0.8,18,17,6379.081352337146,3.4579754411329895e-15,8.37774895201737e-09,2.8058008621174448e-06,0.00033075706402142796,0.01677752296868299,0.31366426401854125
H2,m5_best,lower,0.08,0.6,16,15,7252.431274717003,4.630698403985122e-15,6.942915859217121e-08,3.849356469924985e-05,0.0084534211365534,0.7948534767470034,26.56690569746903
H2,m5_best,middle,0.09,0.7,17,16,6783.65511316599,4.015538762831316e-15,2.987625501051587e-08,1.06285924795775e-05,0.0015241880344286024,0.09638015817888275,2.2253491987562786
H2,m5_best,upper,0.1,0.8,18,17,6379.081352337146,4.1513653398152364e-15,1.5524267652930477e-08,4.294718941833699e-06,0.00047789565989377785,0.02338172572322375,0.42087013472714846
H4,yoshida4,lower,0.08,0.6,16,15,7252.431274717003,3.350388524095169e-13,2.509644620358377e-08,3.6856073304713307e-06,0.0002821046566059686,0.010446626817778791,0.18024623821899713
H4,yoshida4,middle,0.09,0.7,17,16,6783.65511316599,3.082198771005881e-12,1.1884361564955444e-07,1.264211574958071e-05,0.0007023148770712724,0.018940308341508033,0.2396728101156511
H4,yoshida4,upper,0.1,0.8,18,17,6379.081352337146,2.0731713683023895e-11,4.5395215606020466e-07,3.64958250724747e-05,0.0015352129132555404,0.031451325946399544,0.3045260297621164
H4,current_m3,lower,0.08,0.6,16,15,7252.431274717003,1.163253140872869e-13,7.100391590723163e-08,1.2256389538717884e-05,0.0007505890017652634,0.020185431005258176,0.24291741545578036
H4,current_m3,middle,0.09,0.7,17,16,6783.65511316599,1.0650617683822848e-13,1.1336421262911076e-07,2.2032159666213148e-05,0.001392641849377909,0.03458799371558043,0.33908308815837684
H4,current_m3,upper,0.1,0.8,18,17,6379.081352337146,3.994667390811269e-13,4.7453070933985946e-07,7.220572333757643e-05,0.003484098629662553,0.06529564470430335,0.477081483063753
H4,two_term_center,lower,0.08,0.6,16,15,7252.431274717003,1.2224723240571647e-13,1.0010712148213344e-07,1.7251511732464076e-05,0.0009676492902058834,0.02320166718049427,0.2533597319973501
H4,two_term_center,middle,0.09,0.7,17,16,6783.65511316599,9.761590895787179e-14,1.191641433922411e-07,2.383468436022882e-05,0.001466841099330202,0.0354802519720234,0.3419259167396432
H4,two_term_center,upper,0.1,0.8,18,17,6379.081352337146,3.2463889875125367e-13,5.042533258162649e-07,7.889561986408707e-05,0.003694317928299565,0.06724099169252085,0.48195482919576077
H4,m5_best,lower,0.08,0.6,16,15,7252.431274717003,1.446306538289099e-13,2.256575742768539e-07,3.662950827565689e-05,0.0019705641332667064,0.04051547624522257,0.3207661747303267
H4,m5_best,middle,0.09,0.7,17,16,6783.65511316599,1.28586054488363e-13,1.37153344303714e-07,2.280568442699496e-05,0.0013750442665481932,0.034013336701674585,0.33612645836329746
H4,m5_best,upper,0.1,0.8,18,17,6379.081352337146,1.6498304460833316e-13,4.3531227092614167e-07,6.703692187603403e-05,0.003317459908332098,0.0636523630871973,0.4727460949377722
