parameter_lambda,parameter_root,parameter_offset_from_root,ground_excitation_gap_hartree,a4_hartree,absolute_a4_hartree,d4_expectation_hartree,absolute_d4_expectation_hartree,d4_spectral_norm_hartree,d4_frobenius_norm_hartree,centered_d4_action_norm_hartree,expectation_over_spectral_norm,centered_action_over_expectation,d4_state_variance_hartree_squared,one_term_analytic_time_hartree_inverse,signed_a4_contribution_over_epsilon,signed_a6_contribution_over_epsilon,signed_a8_contribution_over_epsilon,signed_a10_contribution_over_epsilon,signed_a12_contribution_over_epsilon,series_through_a12_shift_over_epsilon,tracking_point_index,tracking_time_hartree_inverse,signed_direct_pf_shift_hartree,direct_pf_absolute_error_hartree,selected_ground_overlap_probability,previous_branch_overlap_probability,selection_rules_agree,phase_unwrap_integer,selected_phase_gap_radians,eigenpair_residual_2_norm,branch_warning,tracking_point_count,tracking_warning_count,tracking_minimum_previous_overlap_probability,tracking_minimum_ground_overlap_probability,tracking_minimum_phase_gap_radians,tracking_maximum_eigenpair_residual_2_norm,tracking_elapsed_seconds,direct_pf_absolute_error_over_epsilon,series_through_a12_direct_residual_over_epsilon
-2.8773502691896353,-2.5773502691896355,-0.3,4.254148108952672,-0.027141054001493622,0.027141054001493622,-0.027141054001493622,0.027141054001493622,0.14455434227002367,0.20443071133818982,0.14198352389205995,0.1877567534484357,5.231319457389029,0.02015932105680716,0.18511672521879702,-0.2,0.037067882668653455,-0.0013980729355424586,2.8706951414339645e-05,-3.037400198551264e-07,-0.16430178705549453,256,0.18511672521879702,-2.6183135011681458e-05,2.6183135011681458e-05,0.9999999984763175,0.9999999999926852,True,0,0.7875236603974753,1.8619006149354548e-16,False,257,0,0.9999999999926852,0.9999999984763175,0.007875139665251468,5.134781488891349e-16,0.0269390270113945,0.16430179051180296,3.4563084503293543e-09
-2.6773502691896356,-2.5773502691896355,-0.1,3.9056389620908605,-0.00849948184386818,0.00849948184386818,-0.008499481843868208,0.008499481843868208,0.15633234387442643,0.2210873209447883,0.15610112283278962,0.0543680318047006,18.365957560743055,0.024367560549657673,0.24745955266152045,-0.20000000000000004,0.203866939459433,-0.014343435457776641,0.000528063098723575,-1.0559897721098662e-05,-0.009958992797341231,256,0.24745955266152045,-1.5870883196544838e-06,1.5870883196544838e-06,0.9999999782176808,0.9999999998871991,True,0,0.9664884558967406,1.2719202621569003e-16,False,257,0,0.9999999998871991,0.9999999782176808,0.007811277924182374,5.694967977388552e-16,0.026869375025853515,0.009959137914663891,1.4511732266010764e-07
-2.6073502691896353,-2.5773502691896355,-0.03,3.786066501193022,-0.0024836252317897087,0.0024836252317897087,-0.002483625231789695,0.002483625231789695,0.16104692203232213,0.22775474131655235,0.16102776997087445,0.015421749142720226,64.83577631188672,0.025929942701792857,0.33657419853755105,-0.20000000000000004,1.2825442326944136,-0.16885116833535238,0.011487279096477447,-0.0004306550066765922,0.924749688448862,256,0.33657419853755105,0.00014736678401972014,0.00014736678401972014,0.9999997217997241,0.9999999984088412,True,0,1.2741930985344663,2.3551386880256624e-16,False,257,0,0.9999999984088412,0.9999997217997241,0.007572133002386095,7.021666937153402e-16,0.022610685089603066,0.9247413064021496,8.382046712344632e-06
-2.5873502691896353,-2.5773502691896355,-0.01,3.7521625109242844,-0.0008212532419672805,0.0008212532419672805,-0.0008212532419672805,0.0008212532419672805,0.16244391813898132,0.2297303921571722,0.1624418421572983,0.0050556108925213505,197.7975049062517,0.026387352083456612,0.44384676810483603,-0.19999999999999996,6.737541887636283,-1.5469795256536734,0.18292758202512885,-0.011964560740293879,5.161525383267444,256,0.44384676810483603,0.0008224957090561258,0.0008224957090561258,0.9999975209241722,0.9999999848367315,True,0,1.664655079753381,1.1443916996305594e-16,False,257,0,0.9999999848367315,0.9999975209241722,0.0075043250218485855,5.718598227479678e-16,0.014613976003602147,5.161242823898116,0.0002825593693279304
-2.5803502691896356,-2.5773502691896355,-0.003,3.7403245705835495,-0.0002456703024528578,0.0002456703024528578,-0.000245670302452837,0.000245670302452837,0.16293791230091068,0.23042900540070582,0.16293772709560467,0.0015077540824209022,663.2373773662974,0.02654870291108174,0.6001560258905182,-0.2,41.16712652299277,-17.298688961636888,3.739236710049086,-0.4476374803097643,26.9600367910952,256,0.6001560258905182,0.004295184178640943,0.004295184178640943,0.9999753647322522,0.9999998449135783,True,0,2.2396227684878403,3.815760786470701e-16,False,257,0,0.9999998449135783,0.9999753647322522,0.007480649141167043,5.855456244815921e-16,0.014425941044464707,26.95271023938989,0.007326551705309013
-2.5783502691896354,-2.5773502691896355,-0.001,3.7369450476296784,-8.182256029096863e-05,8.182256029096863e-05,-8.182256029096863e-05,8.182256029096863e-05,0.16307952848981433,0.23062928093570498,0.16307950796322876,0.0005017340989925607,1993.0873268118582,0.02659492591752879,0.7900126945576791,-0.19999999999999996,214.15770390332852,-155.97447491084802,58.41674625472923,-12.12133893522171,104.27863631198802,256,0.7900126945576791,0.01665761388883369,0.01665761388883369,0.9998233140173116,0.9999989450438049,True,0,2.925914573625459,2.533409074679899e-16,False,257,0,0.9999989450438049,0.9998233140173116,0.007473890095259363,5.882992883859615e-16,0.014187420019879937,104.5281929138207,0.24955660183268155
-2.5763502691896356,-2.5773502691896355,0.001,3.733566751070208,8.175487063822456e-05,8.175487063822456e-05,8.175487063823844e-05,8.175487063823844e-05,0.16322135486927172,0.23082985372503587,0.16322133439444078,0.0005008834211903098,1996.4722972492698,0.026641204001501856,0.7901761682724072,0.19999999999999993,214.4065083124406,-156.26225383661483,58.54522979290258,-12.15663234774378,104.73285192098456,256,0.7901761682724072,0.016730504018951375,0.016730504018951375,0.9998227020411388,0.9999989425619897,True,0,2.9237353782319953,1.3544180565943598e-16,False,257,0,0.9999989425619897,0.9998227020411388,0.007467133502140381,6.010860650248393e-16,0.014054320054128766,104.9855857693222,0.25273384833764334
-2.5743502691896354,-2.5773502691896355,0.003,3.7301896842372386,0.0002450610943494913,0.0002450610943494913,0.0002450610943494913,0.0002450610943494913,0.16336339093974978,0.23103072306225209,0.16336320713181887,0.001500097989762422,666.6223684565782,0.026687537444393557,0.6005286672181757,0.2,41.31077571270391,-17.39461634226827,3.7639636850187204,-0.45155901636909346,27.428564039085266,256,0.6005286672181757,0.004369864819467439,0.004369864819467439,0.9999750457862013,0.9999998431151861,True,0,2.23483738135406,2.0206364052201326e-16,False,257,0,0.9999998431151861,0.9999750457862013,0.007460379368474567,5.980344393700999e-16,0.013891272014006972,27.42133872864024,0.007225310445026788
-2.5673502691896357,-2.5773502691896355,0.01,3.718379682780565,0.0008144841070935674,0.0008144841070935674,0.0008144841070935674,0.0008144841070935674,0.16386216132765424,0.2317360909093367,0.16386013710054523,0.004970544148169433,201.1827310974419,0.02685014453060948,0.4447661046629166,0.19999999999999996,6.816233618383567,-1.5757614011637977,0.1869912119297021,-0.012317545886445206,5.615145883263026,256,0.4447661046629166,0.0008947846360429779,0.0008947846360429779,0.9999974009538336,0.9999999841301043,True,0,1.6530133074138735,1.1775693440128312e-16,False,257,0,0.9999999841301043,0.9999974009538336,0.00743675936556115,5.661719939213465e-16,0.013815259095281363,5.614863069633313,0.0002828136297132486
-2.5473502691896357,-2.5773502691896355,0.03,3.6847213493349735,0.0024226906755830183,0.0024226906755830183,0.0024226906755829697,0.0024226906755829697,0.1653011520141845,0.23377113105435637,0.16528339731233438,0.01465622378345602,68.22307072798817,0.027318601427106983,0.3386708706070537,0.2,1.3280370183640529,-0.17845586677030761,0.012270296072097822,-0.00046992143938185803,1.3613815262264612,256,0.3386708706070537,0.00021694839841823743,0.00021694839841823743,0.9999996774113433,0.9999999981580241,True,0,1.2477608391177348,2.387624894196368e-16,False,257,0,0.9999999981580241,0.9999996774113433,0.007369442698669741,5.589606376962133e-16,0.013721713097766042,1.3613728949142871,8.63131217394748e-06
