system_id,state_id,formula_id,d4_expectation_hartree,d6_expectation_hartree,d8_expectation_hartree,d4_absolute_error_vs_exact,d4_relative_error_vs_exact,d4_sign_matches_exact,rotations_per_pf_step,one_term_analytic_time,one_term_analytic_cost
H2,exact,yoshida4,-0.0010021771722412854,8.401960299557285e-05,-9.742117955515936e-07,0.0,0.0,True,52,0.4222952627657648,965868.0453307428
H2,exact,current_m3,-2.7384116611797643e-06,3.6230290811605576e-08,5.930780775115656e-10,0.0,0.0,True,108,1.847045747947877,458645.1098686644
H2,exact,two_term_center,-4.656046198994236e-06,4.970530557454585e-08,1.9396775078363427e-10,0.0,0.0,True,108,1.617513879417094,523728.73629083665
H2,exact,m5_best,-2.4049513094842266e-07,4.734068960026991e-09,1.4064837162576652e-10,0.0,0.0,True,164,3.3929367528401007,379139.2512469357
H2,hf,yoshida4,-0.0007638645294723265,0.00010595161641016595,-1.744319594009915e-06,0.0002383126427689589,0.23779492226508472,True,52,0.4519581790531253,902476.2000203946
H2,hf,current_m3,-9.913344556450818e-06,-2.3955840732124895e-07,-8.799483956701785e-09,7.174932895271054e-06,2.620107486753816,True,108,1.3390515170340602,632640.7081606372
H2,hf,two_term_center,-9.687844562412773e-06,-1.360589323017241e-07,-5.9778833504043845e-09,5.031798363418537e-06,1.0807019836928309,True,108,1.3467765491849175,629011.9177622302
H2,hf,m5_best,-3.572094450506762e-06,-1.2295866494240807e-07,-4.224296246562139e-09,3.3315993195583393e-06,13.85308428665379,True,164,1.728309840591915,744308.3813949921
H2,cisd,yoshida4,-0.0010021771722412854,8.401960299557289e-05,-9.742117955515942e-07,0.0,0.0,True,52,0.4222952627657648,965868.0453307428
H2,cisd,current_m3,-2.7384116611797706e-06,3.623029081160543e-08,5.930780775115615e-10,6.3527471044072525e-21,2.3198656339603657e-15,True,108,1.847045747947876,458645.10986866464
H2,cisd,two_term_center,-4.656046198994241e-06,4.9705305574545765e-08,1.9396775078362998e-10,5.082197683525802e-21,1.0915264725301953e-15,True,108,1.6175138794170938,523728.73629083676
H2,cisd,m5_best,-2.404951309484251e-07,4.734068960026927e-09,1.4064837162576508e-10,2.4352197233561135e-21,1.0125858738813212e-14,True,164,3.3929367528400918,379139.25124693674
H4,exact,yoshida4,-0.004711578748179359,0.0009987935751143578,-6.623299670178005e-05,0.0,0.0,True,1116,0.286787833118411,30523486.316749424
H4,exact,current_m3,-1.2874212807516118e-05,4.3467394333328753e-07,2.2401912302007416e-08,0.0,0.0,True,2556,1.2543599098376925,15983406.630553354
H4,exact,two_term_center,-2.188967073957748e-05,5.934314751720294e-07,8.287922473902417e-09,0.0,0.0,True,2556,1.0984809478364816,18251517.734092314
H4,exact,m5_best,-1.1306501269234905e-06,5.708360868607979e-08,4.9273078517648045e-09,0.0,0.0,True,3996,2.3042005565052444,13603036.59831565
H4,hf,yoshida4,-0.0036120932903673797,0.0010696361409809896,-7.96803867864071e-05,0.0010994854578119792,0.23335818344049555,True,1116,0.3064873799479515,28561582.21420609
H4,hf,current_m3,-4.949721511948724e-05,-3.553711170667384e-06,-4.569384088881634e-07,3.662300231197112e-05,2.844678960921803,True,2556,0.8957919285331076,22381251.56232538
H4,hf,two_term_center,-4.786610277607295e-05,-2.283706296068999e-06,-3.465634428323483e-07,2.597643203649547e-05,1.1866981621395039,True,2556,0.9033276814372815,22194542.370383553
H4,hf,m5_best,-1.8025835901713805e-05,-1.733892647237667e-06,-2.06236080657618e-07,1.6895185774790313e-05,14.942894687291346,True,3996,1.1531305626147472,27181765.46194967
H4,cisd,yoshida4,-0.004666962108827896,0.0010140394959472676,-6.523139353468514e-05,4.461663935146319e-05,0.009469573095579456,True,1116,0.28747081975809585,30450967.18813496
H4,cisd,current_m3,-1.3583990899692943e-05,5.619753212623043e-07,7.60064312239179e-08,7.09778092176825e-07,0.055131766329235145,True,2556,1.237643287257238,16199291.594293606
H4,cisd,two_term_center,-2.233478267881745e-05,7.045199122445259e-07,5.1432981610487084e-08,4.451119392399716e-07,0.02033433689046724,True,2556,1.092966632296203,18343601.63208226
H4,cisd,m5_best,-1.4800743109027512e-06,1.0720061225286364e-07,2.7236806455879543e-08,3.4942418397926066e-07,0.3090471363851938,True,3996,2.1541773535955806,14550391.79930242
