system_id,state_id,candidate_set_id,candidate_formula_ids_json,selected_formula_id,exact_reference_formula_id,exact_leading_model_selection_regret,predicted_analytic_time,predicted_analytic_cost,direct_reference_formula_id,direct_formula_choice_regret,direct_nearest_sampled_time,direct_nearest_time_absolute_difference,direct_joint_sampled_regret
H2,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",m5_best,m5_best,0.0,3.3929367528401007,379139.2512469357,,,,,
H2,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",two_term_center,m5_best,0.3813624797969781,1.3467765491849175,629011.9177622302,,,,,
H2,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",m5_best,m5_best,0.0,3.3929367528400918,379139.25124693674,,,,,
H2,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",current_m3,current_m3,0.0,1.847045747947877,458645.1098686644,current_m3,0.0,1.847850952160708,0.0008052042128310344,0.0006731218993158983
H2,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",two_term_center,current_m3,0.1419041106549883,1.3467765491849175,629011.9177622302,current_m3,0.14758852386005872,1.3625299743921369,0.01575342520721934,0.21797691099707595
H2,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",current_m3,current_m3,0.0,1.847045747947876,458645.10986866464,current_m3,0.0,1.847850952160708,0.0008052042128321446,0.0006731218993158983
H4,exact,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",m5_best,m5_best,0.0,2.3042005565052444,13603036.59831565,,,,,
H4,hf,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",two_term_center,m5_best,0.3417237836699083,0.9033276814372815,22194542.370383553,,,,,
H4,cisd,all_f01_four,"[""yoshida4"", ""current_m3"", ""two_term_center"", ""m5_best""]",m5_best,m5_best,0.0,2.1541773535955806,14550391.79930242,,,,,
H4,exact,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",current_m3,current_m3,0.0,1.2543599098376925,15983406.630553354,current_m3,0.0,1.255220182795853,0.0008602729581603796,0.0009845100754461988
H4,hf,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",two_term_center,current_m3,0.14190411067959152,0.9033276814372815,22194542.370383553,current_m3,0.1490473931546763,0.8998081359677946,0.003519545469486851,0.2410826275943767
H4,cisd,operational_x02_three,"[""yoshida4"", ""current_m3"", ""two_term_center""]",current_m3,current_m3,0.0,1.237643287257238,16199291.594293606,current_m3,0.0,1.2400839117030527,0.00244062444581461,0.002429247085018904
