system_id,formula_id,state_id,evaluation_mode,dimension,action_absolute_error_2_norm,action_relative_error_2_norm,expectation_real_hartree,expectation_imaginary_hartree,expectation_absolute_error_hartree,matrix_free_action_min_seconds,matrix_free_action_median_seconds,dense_stored_d4_action_min_seconds,dense_stored_d4_action_median_seconds,effective_hamiltonian_order,unique_operator_word_count,maximum_operator_word_length,naive_group_action_count,actual_group_action_count,reused_group_action_count,group_action_reuse_fraction,cached_prefix_count,logical_peak_statevector_count,logical_peak_statevector_bytes,dense_coefficient_matrix_bytes_avoided,input_group_matrix_bytes,coefficient_l1_norm,coefficient_tolerance,cache_prefixes
H2,yoshida4,exact,streaming,4,2.4365921192562814e-18,2.1651663472613214e-15,-0.001002177172241285,-1.0842021724855044e-19,4.6317137111987765e-19,0.00013013998977839947,0.00013456703163683414,5.690380930900574e-07,6.300397217273712e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.6481905087046713,1e-16,False
H2,yoshida4,exact,cached_prefix,4,2.4365921192562814e-18,2.1651663472613214e-15,-0.001002177172241285,-1.0842021724855044e-19,4.6317137111987765e-19,0.00011165090836584568,0.00011269515380263329,5.690380930900574e-07,6.300397217273712e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.6481905087046713,1e-16,True
H2,yoshida4,hf,streaming,4,2.4747374745180785e-18,2.199062475737014e-15,-0.0007638645294723253,0.0,1.1926223897340549e-18,0.00013028900139033794,0.00013173185288906097,5.648471415042877e-07,6.081536412239075e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.6481905087046713,1e-16,False
H2,yoshida4,hf,cached_prefix,4,2.4747374745180785e-18,2.199062475737014e-15,-0.0007638645294723253,0.0,1.1926223897340549e-18,0.00011112494394183159,0.00011221296153962612,5.648471415042877e-07,6.081536412239075e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.6481905087046713,1e-16,True
H2,yoshida4,cisd,streaming,4,2.779028226719266e-18,2.4694565606731263e-15,-0.0010021771722412847,0.0,6.505213034913027e-19,0.0001288249623030424,0.0001307651400566101,5.648471415042877e-07,5.85801899433136e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.6481905087046713,1e-16,False
H2,yoshida4,cisd,cached_prefix,4,2.779028226719266e-18,2.4694565606731263e-15,-0.0010021771722412847,0.0,6.505213034913027e-19,0.00011068303138017654,0.00011227908544242382,5.648471415042877e-07,5.85801899433136e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.6481905087046713,1e-16,True
H2,current_m3,exact,streaming,4,4.98689523712554e-20,2.3250225350380176e-15,-2.738411661179758e-06,1.0587911840678754e-21,6.408967201218075e-21,0.0001296750269830227,0.00013098004274070263,5.711335688829422e-07,5.920883268117905e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.010550491590600224,1e-16,False
H2,current_m3,exact,cached_prefix,4,4.98689523712554e-20,2.3250225350380176e-15,-2.738411661179758e-06,1.0587911840678754e-21,6.408967201218075e-21,0.00011006183922290802,0.00011145696043968201,5.711335688829422e-07,5.920883268117905e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.010550491590600224,1e-16,True
H2,current_m3,hf,streaming,4,4.889368833870798e-20,2.2795531448570485e-15,-9.91334455645083e-06,0.0,1.1858461261560205e-20,0.00012875208631157875,0.00012929411605000496,5.459878593683243e-07,5.771871656179428e-07,4,30,5,150,150,0,0.0,0,3,192,256,512,0.010550491590600224,1e-16,False
H2,current_m3,hf,cached_prefix,4,4.889368833870798e-20,2.2795531448570485e-15,-9.91334455645083e-06,0.0,1.1858461261560205e-20,0.00010947603732347488,0.00011044484563171864,5.459878593683243e-07,5.771871656179428e-07,4,30,5,150,60,90,0.6,60,62,3968,256,512,0.010550491590600224,1e-16,True
