system_id,formula_id,state_id,requested_grouped_term_count,selected_grouped_term_count,selected_fraction,approximate_expectation_real_hartree,full_expectation_real_hartree,expectation_relative_error,action_relative_error,expectation_sign_matches_full,selected_importance_score_fraction,selected_actual_absolute_contribution_fraction,dropped_signed_expectation_real_hartree,selected_linear_combination_action_count,selected_equivalent_fragment_action_count,analytic_time_from_truncated_expectation,analytic_cost_from_truncated_expectation,accuracy_worsened_from_previous_count
H2,yoshida4,exact,1,1,0.2,-0.00171850494818858,-0.001002177172241285,0.714771595071646,2.664899097298309,True,0.38746542283768814,0.6579395954652255,0.000716327775947295,46,48,0.3690325204359832,1105272.509637149,False
H2,yoshida4,exact,2,2,0.4,-0.0017185049481885802,-0.001002177172241285,0.7147715950716462,1.2862013148998253,True,0.6689365926096393,0.6579395954652256,0.0007163277759472952,92,100,0.3690325204359832,1105272.509637149,False
H2,yoshida4,exact,3,3,0.6,-0.00171850494818858,-0.001002177172241285,0.714771595071646,0.9609666628922946,True,0.8189456413799735,0.6579395954652256,0.000716327775947295,138,152,0.3690325204359832,1105272.509637149,False
H2,yoshida4,exact,4,4,0.8,-0.0009136188217116062,-0.001002177172241285,0.08836596260881238,0.08384707617498798,True,0.9350628501107708,0.9660949214117882,-8.855835052967872e-05,166,184,0.4321764289573922,943784.6968748362,False
H2,yoshida4,exact,5,5,1.0,-0.001002177172241285,-0.001002177172241285,5.409234028254592e-17,9.930775762972857e-17,True,1.0,0.9999999999999999,0.0,212,238,0.42229526276576485,965868.0453307427,False
H2,yoshida4,hf,1,1,0.2,-0.002441403116195057,-0.0007638645294723295,2.196120544936882,2.6648990972983073,True,0.38746542283768814,0.566758804136657,0.0016775385867227274,46,48,0.3380200506505058,1206678.4180851118,False
H2,yoshida4,hf,2,2,0.4,-0.0018703240465140713,-0.0007638645294723295,1.4485022858779337,1.2862013148998244,True,0.6689365926096393,0.6993317858179054,0.0011064595170417416,92,100,0.36130429289945215,1128914.0705380756,False
H2,yoshida4,hf,3,3,0.6,-0.0017158219849675107,-0.0007638645294723295,1.2462385917471315,0.9609666628922939,True,0.8189456413799735,0.7351986211872515,0.0009519574554951812,138,152,0.36917669632505196,1104840.8636304361,False
H2,yoshida4,hf,4,4,0.8,-0.0006695063637410577,-0.0007638645294723295,0.12352735608296088,0.08384707617498795,True,0.9350628501107708,0.9780952515315331,-9.435816573127181e-05,166,184,0.4671040779173428,873213.314297331,False
H2,yoshida4,hf,5,5,1.0,-0.0007638645294723294,-0.0007638645294723295,1.4193644692920369e-16,9.63426762707315e-17,True,1.0,1.0,-1.0842021724855044e-19,212,238,0.45195817905312485,902476.2000203956,False
H2,yoshida4,cisd,1,1,0.2,-0.001718504948188581,-0.0010021771722412858,0.7147715950716457,2.6648990972983078,True,0.38746542283768814,0.6579395954652257,0.0007163277759472952,46,48,0.36903252043598317,1105272.5096371493,False
