system_id,formula_id,state_id,dimension,group_count,grouped_term_count,full_action_relative_error,reference_expectation_real_hartree,compact_expectation_real_hartree,compact_expectation_imaginary_hartree,expectation_absolute_error_hartree,component_cancellation_ratio,norm_importance_actual_rank_correlation,expectation_evaluation_count,unique_partial_sum_operator_count,partial_sum_operator_addition_count,partial_sum_operator_bytes,component_action_vector_bytes,linear_combination_action_count,equivalent_fragment_action_count,partial_sum_construction_seconds,component_evaluation_seconds
H2,yoshida4,exact,4,2,5,6.331920382878672e-15,-0.0010021771722412854,-0.001002177172241285,4.87890977618477e-19,6.133173666733497e-19,2.606275115360918,0.19999999999999998,5,6,4,1536,320,212,238,3.2744137570261955e-05,0.000220560934394598
H2,yoshida4,hf,4,2,5,6.642057231844355e-15,-0.0007638645294723265,-0.0007638645294723295,0.0,3.0357660829594124e-18,5.639295802039685,0.7,5,6,4,1536,320,212,238,2.054707147181034e-05,0.00021761609241366386
H2,yoshida4,cisd,4,2,5,6.4729087338943104e-15,-0.0010021771722412854,-0.0010021771722412858,0.0,4.336808689942018e-19,2.606275115360916,0.09999999999999999,5,6,4,1536,320,212,238,2.008490264415741e-05,0.00021214713342487812
H2,current_m3,exact,4,2,5,3.2627242233479138e-15,-2.7384116611797643e-06,-2.7384116611797605e-06,1.2705494208814505e-21,3.955970329714261e-21,2.6062751153609236,-0.49999999999999994,5,6,4,1536,320,212,238,2.0639970898628235e-05,0.00021302001550793648
H2,current_m3,hf,4,2,5,3.3219350537594553e-15,-9.913344556450818e-06,-9.91334455645084e-06,0.0,2.202285662861181e-20,1.5768019676568672,0.49999999999999994,5,6,4,1536,320,212,238,2.0514940842986107e-05,0.00021233106963336468
H2,current_m3,cisd,4,2,5,3.497566799801164e-15,-2.7384116611797706e-06,-2.738411661179766e-06,0.0,4.658681209898652e-21,2.6062751153609187,-0.6,5,6,4,1536,320,212,238,1.96241308003664e-05,0.00021595717407763004
H2,two_term_center,exact,4,2,5,5.153642212384383e-15,-4.656046198994236e-06,-4.656046198994233e-06,1.6940658945086007e-21,3.698198617139189e-21,2.6062751153609196,0.19999999999999998,5,6,4,1536,320,212,238,2.1456042304635048e-05,0.00021280581131577492
H2,two_term_center,hf,4,2,5,5.126428959141865e-15,-9.687844562412773e-06,-9.6878445624128e-06,0.0,2.710505431213761e-20,2.0035483879257994,0.7,5,6,4,1536,320,212,238,1.9726809114217758e-05,0.00021363398991525173
H2,two_term_center,cisd,4,2,5,5.19619410229651e-15,-4.656046198994241e-06,-4.656046198994236e-06,0.0,5.082197683525802e-21,2.6062751153609187,0.19999999999999998,5,6,4,1536,320,212,238,1.9873026758432388e-05,0.00021280511282384396
H2,m5_best,exact,4,2,5,8.93435142928241e-16,-2.4049513094842266e-07,-2.404951309484236e-07,-1.0587911840678754e-22,9.761572392503554e-22,2.6062751153609476,-0.49999999999999994,5,6,4,1536,320,212,238,2.185208722949028e-05,0.0002168209757655859
