system_id,formula_id,method_id,point_count,indices_json,times_json,orders_json,fixed_a4,scaled_design_condition_number,maximum_training_residual_hartree,estimated_a4_hartree,estimated_a6_hartree,estimated_a8_hartree
H2,yoshida4,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,5.421010862427522e-20,-0.0010021839175937118,8.408240221164005e-05,-1.3972758031108583e-06
H2,yoshida4,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,7.647214214949113e-12,-0.0010021819474971593,8.407129123938537e-05,-1.382077207521341e-06
H2,yoshida4,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-0.001002177172241285,8.403233670936164e-05,-1.3174305835735126e-06
H2,yoshida4,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,1.7535530167002043e-11,-0.001002177172241285,8.403973788836612e-05,-1.3345870743505075e-06
H2,yoshida4,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,3.183865667042308e-11,-0.001002177172241285,8.404239374870468e-05,-1.3405299524729865e-06
H2,yoshida4,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,2.356025557389405e-15,-0.001002177170865418,8.40195868183748e-05,-1.2040123683851489e-06
H2,current_m3,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,2.117582368135751e-22,-2.7384111077960573e-06,3.6226238092323944e-08,2.0645087857433693e-10
H2,current_m3,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,4.96473883063666e-16,-2.738411224069454e-06,3.6226887061878825e-08,2.0557000793905493e-10
H2,current_m3,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-2.738411661179765e-06,3.6230701412847024e-08,1.9907456408790313e-10
H2,current_m3,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,2.192257255986833e-15,-2.738411661179765e-06,3.6229776132104544e-08,2.012194345896154e-10
H2,current_m3,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,2.780318641115179e-15,-2.738411661179765e-06,3.6229532237660085e-08,2.0176691671621952e-10
H2,current_m3,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,2.091638232396721e-15,-2.7384097483853527e-06,3.620162578318612e-08,3.565861213030569e-10
H2,two_term_center,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,2.117582368135751e-22,-4.656045965254312e-06,4.9703866317800154e-08,-1.0968863576032738e-11
H2,two_term_center,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,3.3214775752576784e-16,-4.656045949529862e-06,4.9703772384781227e-08,-1.0835078276506552e-11
H2,two_term_center,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-4.656046198994239e-06,4.970610556350211e-08,-1.4905797319127066e-11
H2,two_term_center,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,1.6754585658908938e-15,-4.656046198994239e-06,4.970539840673738e-08,-1.3266554638409191e-11
H2,two_term_center,direct_fixed_a4_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[6, 8]",True,15.991232488996264,1.956227620941931e-15,-4.656046198994239e-06,4.970528202003012e-08,-1.3005550513341894e-11
H2,two_term_center,direct_order12_16,16,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[0.09595812310131174, 0.10908378919628715, 0.12400485420975636, 0.14096690242317253, 0.16024911045152293, 0.1821688421826532, 0.20708687223700614, 0.23541332392016362, 0.26761441940034525, 0.3042201532113438, 0.3458330153782965, 0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8, 10, 12]",False,6784.797330107626,2.3346149232917306e-15,-4.656043998777117e-06,4.967270151594926e-08,1.6495279858537582e-10
H2,m5_best,direct_free_3_tail,3,"[13, 14, 15]","[0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,238.70602739061877,9.926167350636332e-24,-2.4049497054868585e-07,4.733104423356759e-09,6.054428453618983e-11
H2,m5_best,direct_free_5_tail,5,"[11, 12, 13, 14, 15]","[0.3931379077393266, 0.44691341667477724, 0.5080446277807349, 0.577537693402241, 0.65653639279173]","[4, 6, 8]",False,115.5597404166589,3.3167241984112547e-16,-2.404948854327167e-07,4.732624578294091e-09,6.120046555857396e-11
H2,m5_best,direct_fixed_a4_2_tail,2,"[11, 15]","[0.3931379077393266, 0.65653639279173]","[6, 8]",True,67.7000299710837,0.0,-2.404951309484247e-07,4.734908889738451e-09,5.7221289768904606e-11
H2,m5_best,direct_fixed_a4_3_tail,3,"[11, 13, 15]","[0.3931379077393266, 0.5080446277807349, 0.65653639279173]","[6, 8]",True,22.621806544636392,1.7167666628723273e-15,-2.404951309484247e-07,4.734184298166093e-09,5.890094764782965e-11
