method_id,condition_count,direct_point_count,a6_sign_match_count,a8_sign_match_count,higher_order_residual_pass_count,maximum_a6_relative_error,maximum_a8_relative_error,maximum_higher_order_residual_over_epsilon,median_higher_order_residual_over_epsilon,maximum_full_residual_over_epsilon,maximum_scaled_design_condition_number,median_online_evaluation_seconds
bch_cisd_response,8,0,8,8,7,0.8779578712757461,216.19313315402215,5.181118427372689,2.7741920892067288e-05,4.7909857056991765,,0.03489937155973166
bch_exact_d8_diagonal,8,0,8,7,6,1.4502277906001145e-13,40.488523951265705,0.8117104489200632,0.0002530345950813262,0.8117104489200715,,0.01740570506080985
bch_exact_response,8,0,8,8,8,1.4502277906001145e-13,8.761072288991268e-11,2.4589776568114607e-12,7.195915706347433e-16,1.1414028963248246e-09,,0.01740570506080985
bch_hf_response,8,0,2,3,4,31.374615185466308,1777.7180756169948,78.44967600768285,0.06233111568591644,104.63948771239887,,0.03425070398952812
direct_fixed_a4_2_tail,8,2,8,8,8,0.0002676983501822732,1.95463172257444,0.028294840995209642,4.079435566157234e-06,0.028294840995209642,67.7000299710837,
direct_fixed_a4_3_tail,8,3,8,8,8,0.0004753582477932472,2.3107882102438255,0.03357700819286204,5.338003113037933e-06,0.03357700819286204,22.621806544636392,
direct_fixed_a4_5_tail,8,5,8,8,8,0.0005453205544124191,2.4325090400961917,0.03529156968062462,5.685318096789006e-06,0.03529156968062462,15.991232488996264,
direct_free_3_tail,8,3,8,8,7,0.0016033441612616872,3.5851621939828573,0.05142719197646407,8.241365593603608e-06,0.05143854346398013,238.70602739061877,
direct_free_5_tail,8,5,8,8,8,0.0013300319407113352,3.2784215143858084,0.04741832040161132,7.717752438925913e-06,0.04742658491535858,115.5597404166589,
direct_order12_16,8,16,8,7,7,0.00571051738035832,12.619262155819612,1.456337601510794,2.786526200193648e-05,1.4563520082029289,6784.797330107626,
