system_id,formula_id,state_id,compact_d4_grouped_term_count,compact_d4_action_seconds,d6_d8_expectation_seconds,d8_expectation_hartree,a8_response_hartree,f02_exact_mixing_reference_hartree,mixing_difference_from_f02_hartree,state_energy_hartree,mixing_hartree,projected_response_residual_2_norm,response_state_overlap_absolute,augmented_response_condition_number,response_solve_seconds,compact_linear_combination_action_count
H2,yoshida4,exact,5,0.00029960600659251213,3.4759286791086197e-06,-9.742117955515936e-07,-1.2040636222198178e-06,-2.2985182666823058e-07,6.538035561619131e-21,-0.7735421405578095,-2.2985182666822404e-07,5.661348294003301e-20,4.7191215091702045e-20,3.209307183578359,2.773292362689972e-05,212
H2,yoshida4,hf,5,0.0002529390621930361,3.0999071896076202e-06,-1.744319594009915e-06,-2.38251913783449e-06,-2.2985182666823058e-07,-4.0834771715634455e-07,-0.738500459643127,-6.381995438245752e-07,0.0,0.0,3.341634726843462,6.214948371052742e-06,212
H2,yoshida4,cisd,5,0.000240726163610816,2.9208604246377945e-06,-9.742117955515942e-07,-1.2040636222198182e-06,-2.2985182666823058e-07,6.723324018831009e-21,-0.7735421405578096,-2.2985182666822386e-07,2.439454888092385e-19,2.574980159653073e-19,3.2093071835783595,5.676876753568649e-06,212
H2,current_m3,exact,5,0.00025175907649099827,3.411201760172844e-06,5.930780775115656e-10,1.961713080639417e-10,-3.96906769447621e-10,-2.895132143935597e-24,-0.7735421405578095,-3.969067694476239e-10,2.0117830998393677e-21,7.200558532504144e-22,3.209307183578359,8.037080988287926e-06,212
H2,current_m3,hf,5,0.00024377205409109592,2.993037924170494e-06,-8.799483956701785e-09,-9.13755689550479e-09,-3.96906769447621e-10,5.883383064461714e-11,-0.738500459643127,-3.3807293880300386e-10,0.0,0.0,3.341634726843462,5.7639554142951965e-06,212
H2,current_m3,cisd,5,0.00023949192836880684,2.8370413929224014e-06,5.930780775115615e-10,1.9617130806393745e-10,-3.96906769447621e-10,-2.9985297205047253e-24,-0.7735421405578096,-3.96906769447624e-10,4.8750407131580855e-21,0.0,3.2093071835783595,5.261972546577454e-06,212
H2,two_term_center,exact,5,0.00025065895169973373,3.0118972063064575e-06,1.9396775078363427e-10,-1.4196495127845687e-11,-2.081642459114776e-10,-2.3522948669476725e-24,-0.7735421405578095,-2.0816424591147996e-10,3.2224408810275636e-22,6.46209673688653e-22,3.209307183578359,7.64802098274231e-06,212
H2,two_term_center,hf,5,0.00024185702204704285,3.0999071896076202e-06,-5.9778833504043845e-09,-6.132233999244469e-09,-2.081642459114776e-10,5.381359707139328e-11,-0.738500459643127,-1.5435064884008432e-10,0.0,0.0,3.341634726843462,6.729969754815102e-06,212
H2,two_term_center,cisd,5,0.00024105492047965527,2.72202305495739e-06,1.9396775078362998e-10,-1.419649512785003e-11,-2.081642459114776e-10,-2.4039936552322367e-24,-0.7735421405578096,-2.0816424591148e-10,1.4068880839849359e-21,8.470329472543003e-22,3.2093071835783595,5.500856786966324e-06,212
H2,m5_best,exact,5,0.00024889386259019375,3.0458904802799225e-06,1.4064837162576652e-10,5.822268661977347e-11,-8.242568500599317e-11,1.1632227364026952e-25,-0.7735421405578095,-8.242568500599306e-11,6.99567350349105e-22,1.9087629520829778e-22,3.209307183578359,6.912974640727043e-06,212
H2,m5_best,hf,5,0.00023741903714835644,2.9760412871837616e-06,-4.224296246562139e-09,-4.300250333338819e-09,-8.242568500599317e-11,6.4715982293133064e-12,-0.738500459643127,-7.595408677667987e-11,0.0,0.0,3.341634726843462,4.980945959687233e-06,212
H2,m5_best,cisd,5,0.0002369740977883339,2.7508940547704697e-06,1.4064837162576508e-10,5.822268661977198e-11,-8.242568500599317e-11,7.754818242684634e-26,-0.7735421405578096,-8.24256850059931e-11,1.3085997290588898e-21,2.117582368135751e-22,3.2093071835783595,4.733214154839516e-06,212
H4,yoshida4,exact,456,0.03433528100140393,4.688045009970665e-06,-6.623299670178005e-05,-7.528377935094808e-05,-9.05078264916623e-06,-1.799097979968134e-18,-1.8349096352179524,-9.050782649168028e-06,2.428715103739297e-18,3.7947076036992655e-19,12.540722774988003,0.00014062621630728245,18384
H4,yoshida4,hf,456,0.06816789112053812,7.948838174343109e-06,-7.96803867864071e-05,-9.211256632702097e-05,-9.05078264916623e-06,-3.381396891447642e-06,-1.7670681235809087,-1.2432179540613871e-05,1.1681342900812014e-18,0.0,17.282209923396003,6.331410259008408e-05,18384
H4,yoshida4,cisd,456,0.0696272780187428,8.631031960248947e-06,-6.523139353468514e-05,-7.449847229590641e-05,-9.05078264916623e-06,-2.1629611205503112e-07,-1.8335540278267137,-9.26707876122126e-06,1.9572583695172962e-18,1.2739375526704677e-18,12.6049384001058,6.488105282187462e-05,18384
H4,current_m3,exact,456,0.06981096905656159,8.329981938004494e-06,2.2401912302007416e-08,8.091750802942308e-09,-1.4310161499064878e-08,-2.299562102897417e-22,-1.8349096352179524,-1.4310161499065108e-08,9.937298115223402e-20,1.6940658945086007e-21,12.540722774988003,6.640609353780746e-05,18384
H4,current_m3,hf,456,0.06934742699377239,8.677132427692413e-06,-4.569384088881634e-07,-4.7220340388948895e-07,-1.4310161499064878e-08,-9.548335022606689e-10,-1.7670681235809087,-1.5264995001325547e-08,2.26504612261782e-20,0.0,17.282209923396003,6.477907299995422e-05,18384
H4,current_m3,cisd,456,0.0696298039983958,8.22381116449833e-06,7.60064312239179e-08,6.17713560295956e-08,-1.4310161499064878e-08,7.508630474257062e-11,-1.8335540278267137,-1.4235075194322307e-08,8.044944387745099e-20,5.929230630780102e-21,12.6049384001058,6.529921665787697e-05,18384
H4,two_term_center,exact,456,0.0696189939044416,8.251052349805832e-06,8.287922473902417e-09,1.99764216349656e-10,-8.088158257566115e-09,1.3354003809056079e-20,-1.8349096352179524,-8.08815825755276e-09,4.258314224447655e-20,5.293955920339377e-21,12.540722774988003,6.56680203974247e-05,18384
H4,two_term_center,hf,456,0.06938921683467925,8.511124178767204e-06,-3.465634428323483e-07,-3.5492469401880263e-07,-8.088158257566115e-09,-2.730929288882258e-10,-1.7670681235809087,-8.36125118645434e-09,2.2698434078686273e-20,0.0,17.282209923396003,6.551318801939487e-05,18384
H4,two_term_center,cisd,456,0.06947662914171815,8.041970431804657e-06,5.1432981610487084e-08,4.338741603723852e-08,-8.088158257566115e-09,4.2592684317552237e-11,-1.8335540278267137,-8.045565573248562e-09,7.306333351100799e-20,6.988021814847978e-21,12.6049384001058,6.474810652434826e-05,18384
H4,m5_best,exact,456,0.06955584092065692,8.065951988101006e-06,4.9273078517648045e-09,2.0751281150261464e-09,-2.8521797367281045e-09,-1.0553583845257804e-20,-1.8349096352179524,-2.852179736738658e-09,3.861555366155538e-20,6.352747104407253e-22,12.540722774988003,6.464309990406036e-05,18384
H4,m5_best,hf,456,0.0695344409905374,8.282018825411797e-06,-2.06236080657618e-07,-2.0934012361413445e-07,-2.8521797367281045e-09,-2.5186321978835123e-10,-1.7670681235809087,-3.1040429565164557e-09,7.648438121061306e-21,0.0,17.282209923396003,6.480584852397442e-05,18384
H4,m5_best,cisd,456,0.06951009901240468,8.048024028539658e-06,2.7236806455879543e-08,2.4398981939024146e-08,-2.8521797367281045e-09,1.4355219872707395e-11,-1.8335540278267137,-2.837824516855397e-09,2.0108721850045998e-20,8.470329472543003e-22,12.6049384001058,6.31711445748806e-05,18384
