condition,target_name,formula_a,formula_b,relation_total_pauli_rotations,relation_total_rz_layer_depth,relation_total_t_count,relation_total_t_depth,pairwise_order_inversion
N2_active_eq_sto3g,CA_div_10,current_m3,yoshida4,-1,-1,-1,-1,False
N2_active_eq_sto3g,CA_div_10,current_m3,yoshida6_m3,-1,-1,-1,-1,False
N2_active_eq_sto3g,CA_div_10,yoshida4,yoshida6_m3,1,1,1,1,False
N2_active_eq_sto3g,CA_div_100,current_m3,yoshida4,-1,-1,-1,-1,False
N2_active_eq_sto3g,CA_div_100,current_m3,yoshida6_m3,-1,-1,-1,-1,False
N2_active_eq_sto3g,CA_div_100,yoshida4,yoshida6_m3,1,1,1,1,False
N2_active_stretch150_sto3g,CA_div_10,current_m3,yoshida4,-1,-1,-1,-1,False
N2_active_stretch150_sto3g,CA_div_10,current_m3,yoshida6_m3,-1,-1,-1,-1,False
N2_active_stretch150_sto3g,CA_div_10,yoshida4,yoshida6_m3,1,1,1,1,False
N2_active_stretch150_sto3g,CA_div_100,current_m3,yoshida4,-1,-1,-1,-1,False
N2_active_stretch150_sto3g,CA_div_100,current_m3,yoshida6_m3,-1,-1,-1,-1,False
N2_active_stretch150_sto3g,CA_div_100,yoshida4,yoshida6_m3,1,1,1,1,False
