condition,target_name,metric,formula,rank,value,ratio_to_best,best_formulae
HF_full_stretch150_sto3g,CA_div_100,total_pauli_rotations,current_m3,1,4877176021.993676,1.0,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_pauli_rotations,yoshida4,2,6867205939.761384,1.4080291358756885,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_pauli_rotations,yoshida6_m3,3,9796619452.383152,2.0086663692688544,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_rz_layer_depth,current_m3,1,1424919345.0291142,1.0,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_rz_layer_depth,yoshida4,2,1998586531.1007676,1.402596250849505,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_rz_layer_depth,yoshida6_m3,3,2862187567.2805853,2.0086663692688544,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_count,current_m3,1,833997099760.9186,1.0,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_count,yoshida4,2,1229229863217.2878,1.473901843986832,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_count,yoshida6_m3,3,1753594881976.5842,2.1026390649071636,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_depth,current_m3,1,243661207999.97855,1.0,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_depth,yoshida4,2,357746989067.0374,1.4682147889009436,current_m3
HF_full_stretch150_sto3g,CA_div_100,total_t_depth,yoshida6_m3,3,512331574543.2248,2.1026390649071636,current_m3
N2_active_eq_sto3g,CA_div_10,total_pauli_rotations,current_m3,1,273754426.11761606,1.0,current_m3
N2_active_eq_sto3g,CA_div_10,total_pauli_rotations,yoshida6_m3,2,434465171.58631617,1.5870617244363832,current_m3
N2_active_eq_sto3g,CA_div_10,total_pauli_rotations,yoshida4,3,522028975.1309489,1.9069243282541994,current_m3
N2_active_eq_sto3g,CA_div_10,total_rz_layer_depth,current_m3,1,64555565.02418961,1.0,current_m3
N2_active_eq_sto3g,CA_div_10,total_rz_layer_depth,yoshida6_m3,2,102453666.34925541,1.5870617244363832,current_m3
N2_active_eq_sto3g,CA_div_10,total_rz_layer_depth,yoshida4,3,122704496.32417434,1.9007578398267564,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_count,current_m3,1,38845033561.340225,1.0,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_count,yoshida6_m3,2,63361951114.91784,1.6311467723373936,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_count,yoshida4,3,78715123168.10603,2.026388342381193,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_depth,current_m3,1,9296001363.483303,1.0,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_depth,yoshida6_m3,2,15163142619.6898,1.6311467723373936,current_m3
N2_active_eq_sto3g,CA_div_10,total_t_depth,yoshida4,3,18773787937.598675,2.0195552048159287,current_m3
N2_active_eq_sto3g,CA_div_100,total_pauli_rotations,current_m3,1,4900223727.880903,1.0,current_m3
N2_active_eq_sto3g,CA_div_100,total_pauli_rotations,yoshida6_m3,2,6406979978.106584,1.3074872360730507,current_m3
N2_active_eq_sto3g,CA_div_100,total_pauli_rotations,yoshida4,3,9293163194.350027,1.8964773264278785,current_m3
N2_active_eq_sto3g,CA_div_100,total_rz_layer_depth,current_m3,1,1155549212.4258158,1.0,current_m3
N2_active_eq_sto3g,CA_div_100,total_rz_layer_depth,yoshida6_m3,2,1510865845.9010205,1.3074872360730507,current_m3
N2_active_eq_sto3g,CA_div_100,total_rz_layer_depth,yoshida4,3,2184386237.823355,1.8903446208385424,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_count,current_m3,1,816045685126.4259,1.0,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_count,yoshida6_m3,2,1085909601095.3246,1.3306970686660637,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_count,yoshida4,3,1630255617804.6094,1.9977504293182335,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_depth,current_m3,1,195287816899.96286,1.0,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_depth,yoshida6_m3,2,259868925494.97552,1.3306970686660635,current_m3
N2_active_eq_sto3g,CA_div_100,total_t_depth,yoshida4,3,388820750332.55725,1.991013861001542,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_pauli_rotations,current_m3,1,149229943.0899332,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_pauli_rotations,yoshida6_m3,2,248068786.68673414,1.6623258144462059,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_pauli_rotations,yoshida4,3,286380774.2974634,1.9190570495954455,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_rz_layer_depth,current_m3,1,34945255.77422559,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_rz_layer_depth,yoshida6_m3,2,58090400.76592054,1.662325814446206,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_rz_layer_depth,yoshida4,3,66845463.65918841,1.9128623379111538,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_count,current_m3,1,20436502117.726746,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_count,yoshida6_m3,2,35194143913.15517,1.7221217070521846,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_count,yoshida4,3,41764095748.277885,2.0436029369258577,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_depth,current_m3,1,4857390552.617357,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_depth,yoshida6_m3,2,8365017710.292558,1.7221217070521846,current_m3
N2_active_stretch150_sto3g,CA_div_10,total_t_depth,yoshida4,3,9893128621.559885,2.0367167338910126,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_pauli_rotations,current_m3,1,2693348519.0610466,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_pauli_rotations,yoshida6_m3,2,3664920187.5758147,1.360730021250082,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_pauli_rotations,yoshida4,3,5116249424.030485,1.8995868480526645,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_rz_layer_depth,current_m3,1,630702866.5889049,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_rz_layer_depth,yoshida6_m3,2,858216325.0560081,1.360730021250082,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_rz_layer_depth,yoshida4,3,1194207487.5115058,1.893454986133583,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_count,current_m3,1,435183272575.8173,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_count,yoshida6_m3,2,602999265881.3533,1.3856214240778273,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_count,yoshida4,3,872158304254.4845,2.0041172517781867,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_depth,current_m3,1,103435270120.5804,1.0,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_depth,yoshida6_m3,2,143322126284.35336,1.3856214240778275,current_m3
N2_active_stretch150_sto3g,CA_div_100,total_t_depth,yoshida4,3,206597895339.4905,1.9973641012262795,current_m3
