scope_role,condition,target_name,target_error_hartree,formula,formula_display,formal_order,d03_analysis_status,d03_fixed_model_passed,selected_time,signed_model_shift_hartree,absolute_direct_error_hartree,remaining_qpe_error_budget_hartree,continuous_qpe_use_factor,ceiling_qpe_use_count,d03_direct_cost_at_selected_time,qpe_rotation_total_relative_difference_from_d03,formula_source_path,formula_source_sha256,merged_group_exponential_count,pauli_rotations_per_pf_unitary,compiled_rz_candidates_per_pf_unitary,zero_angle_rz_per_pf_unitary,all_nonzero_rz_per_pf_unitary,clifford_rz_per_pf_unitary,nonclifford_rz_per_pf_unitary,rz_layer_depth_per_pf_unitary,nonclifford_rz_layer_depth_per_pf_unitary,maximum_transformed_coefficient_imaginary_part,synthesis_error_per_nonclifford_rz,t_count_per_nonclifford_rz,total_pauli_rotations,total_compiled_nonzero_rz,total_rz_layer_depth,total_t_count,total_t_depth
primary,N2_active_eq_sto3g,CA_div_10,0.00015936001019904,current_m3,current_m3,4,validated_existing_curve,True,0.6615482494054246,-3.234730751900248e-05,3.229774516888311e-05,0.0001270622650301569,14275.887886817693,14276,273754426.1176161,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__current_m3.json,30d10ca4962bb4febadafa56d10b0fb629489244681a86c0fba9fb7cd6d270dd,1121,19176,29256,10360,18896,0,18896,4522,4522,0.0,3.908119767036344e-15,144,273754426.11761606,269757177.50930715,64555565.02418961,38845033561.340225,9296001363.483303
primary,N2_active_eq_sto3g,CA_div_10,0.00015936001019904,yoshida4,Yoshida 4th,4,validated_existing_curve,True,0.14967781858600307,-3.195191703594562e-05,3.195164735254551e-05,0.0001274083628464945,62925.38273034582,62926,522028975.1309489,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida4.json,5764821cd12aff3cdf2dd9b90fe8d14d079d62cd88a98df7ab195256976d0734,481,8296,12616,4440,8176,0,8176,1950,1950,0.0,4.636284151853209e-16,153,522028975.1309489,514477929.2033074,122704496.32417434,78715123168.10603,18773787937.598675
primary,N2_active_eq_sto3g,CA_div_10,0.00015936001019904,yoshida6_m3,Yoshida 6th m=3,6,validated_existing_curve,True,0.38870568713629866,2.3106914741790786e-05,2.3101572603999946e-05,0.00013625843759504006,22656.71524751336,22657,434465171.58631617,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida6_m3.json,b1ac1797fb2181d28ec7a463d5fa2a77f27df26f5ca20844ab72023cfccd41e5,1121,19176,29256,10360,18896,0,18896,4522,4522,0.0,1.446883010090648e-15,148,434465171.58631617,428121291.3170124,102453666.34925541,63361951114.91784,15163142619.6898
primary,N2_active_eq_sto3g,CA_div_100,1.5936001019904e-05,current_m3,current_m3,4,validated_existing_curve,True,0.36874666061427475,-3.2011850644583863e-06,3.2011091396006005e-06,1.27348918803034e-05,255539.41008974254,255540,4900223727.880903,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__current_m3.json,30d10ca4962bb4febadafa56d10b0fb629489244681a86c0fba9fb7cd6d270dd,1121,19176,29256,10360,18896,0,18896,4522,4522,0.0,1.2169694516851777e-17,169,4900223727.880903,4828672693.055775,1155549212.4258158,816045685126.4259,195287816899.96286
primary,N2_active_eq_sto3g,CA_div_100,1.5936001019904e-05,yoshida4,Yoshida 4th,4,validated_existing_curve,True,0.08404403868693262,-3.1898373445240113e-06,3.1898367375838735e-06,1.2746164282320128e-05,1120198.0706786436,1120199,9293163194.350027,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida4.json,5764821cd12aff3cdf2dd9b90fe8d14d079d62cd88a98df7ab195256976d0734,481,8296,12616,4440,8176,0,8176,1950,1950,0.0,1.462347408256777e-18,178,9293163194.350027,9158739425.868591,2184386237.823355,1630255617804.6094,388820750332.55725
primary,N2_active_eq_sto3g,CA_div_100,1.5936001019904e-05,yoshida6_m3,Yoshida 6th m=3,6,validated_existing_curve,True,0.26323743865575777,2.2921611041755745e-06,2.2921099363230474e-06,1.3643891083580954e-05,334114.51700597536,334115,6406979978.106584,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_eq_sto3g__yoshida6_m3.json,b1ac1797fb2181d28ec7a463d5fa2a77f27df26f5ca20844ab72023cfccd41e5,1121,19176,29256,10360,18896,0,18896,4522,4522,0.0,6.644491943953392e-18,172,6406979978.106584,6313427913.344911,1510865845.9010205,1085909601095.3246,259868925494.97552
primary,N2_active_stretch150_sto3g,CA_div_10,0.00015936001019904,current_m3,current_m3,4,validated_existing_curve,True,1.2046761903235192,-3.296981413833239e-05,3.28543394852154e-05,0.0001265056707138246,7874.099994192337,7875,149229943.08993316,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__current_m3.json,8beb967a0fd77e6378951531106b404d1a31a1653f40110324b4764af82315a0,1149,18952,29816,11144,18672,0,18672,4438,4438,0.0,1.3057436166430093e-14,139,149229943.0899332,147025195.09155932,34945255.77422559,20436502117.726746,4857390552.617357
primary,N2_active_stretch150_sto3g,CA_div_10,0.00015936001019904,yoshida4,Yoshida 4th,4,validated_existing_curve,True,0.2702818707339026,-3.222557588434064e-05,3.223402744909618e-05,0.00012712598274994383,34924.48467042237,34925,286380774.2974635,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida4.json,5b83bd24ec2f3d647f4c9f430dc7752eb2b3dc01947cf4016f340669d103dcc1,493,8200,12856,4776,8080,0,8080,1914,1914,0.0,1.5263526945689624e-15,148,286380774.2974634,282189836.1370127,66845463.65918841,41764095748.277885,9893128621.559885
primary,N2_active_stretch150_sto3g,CA_div_10,0.00015936001019904,yoshida6_m3,Yoshida 6th m=3,6,validated_existing_curve,True,0.6734459187595405,2.323298342404263e-05,2.3227627510658222e-05,0.0001361323826883818,13089.319685876642,13090,248068786.68673414,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida6_m3.json,59ec7b851fca77898ba21ff84efde71efd17974970ecf2d7b2f40945e6c82ced,1149,18952,29816,11144,18672,0,18672,4438,4438,0.0,4.391108424045123e-15,144,248068786.68673414,244403777.17468867,58090400.76592054,35194143913.15517,8365017710.292558
primary,N2_active_stretch150_sto3g,CA_div_100,1.5936001019904e-05,current_m3,current_m3,4,validated_existing_curve,True,0.663941121306289,-3.21822291206032e-06,3.2181371671478415e-06,1.271786385275616e-05,142114.21058785598,142115,2693348519.0610466,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__current_m3.json,8beb967a0fd77e6378951531106b404d1a31a1653f40110324b4764af82315a0,1149,18952,29816,11144,18672,0,18672,4438,4438,0.0,3.987315222576212e-17,164,2693348519.0610466,2653556540.096447,630702866.5889049,435183272575.8173,103435270120.5804
primary,N2_active_stretch150_sto3g,CA_div_100,1.5936001019904e-05,yoshida4,Yoshida 4th,4,validated_existing_curve,True,0.15098948867612635,-3.198119984770689e-06,3.1981350373070815e-06,1.273786598259692e-05,623932.8565890836,623933,5116249424.030485,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida4.json,5b83bd24ec2f3d647f4c9f430dc7752eb2b3dc01947cf4016f340669d103dcc1,493,8200,12856,4776,8080,0,8080,1914,1914,0.0,4.7728396742586295e-18,173,5116249424.030485,5041377481.239795,1194207487.5115058,872158304254.4845,206597895339.4905
primary,N2_active_stretch150_sto3g,CA_div_100,1.5936001019904e-05,yoshida6_m3,Yoshida 6th m=3,6,validated_existing_curve,True,0.4550183436941243,2.298266414619875e-06,2.29824655070264e-06,1.3637754469201361e-05,193379.0727931519,193380,3664920187.5758142,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/N2_active_stretch150_sto3g__yoshida6_m3.json,59ec7b851fca77898ba21ff84efde71efd17974970ecf2d7b2f40945e6c82ced,1149,18952,29816,11144,18672,0,18672,4438,4438,0.0,2.0082045274530965e-17,167,3664920187.5758147,3610774047.1937323,858216325.0560081,602999265881.3533,143322126284.35336
diagnostic,HF_full_stretch150_sto3g,CA_div_100,1.5936001019904e-05,current_m3,current_m3,4,validated_existing_curve,False,0.23037066756558489,5.29551622138899e-07,6.20833487325094e-06,9.72766614665306e-06,535482.655027852,535483,4877176021.993676,0.0,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__current_m3.json,65423cae2a1a53ae64fe0833f9c8a5bd5ac9c54c82b290618aa002139700c2bd,673,9108,12860,3752,9108,0,9108,2661,2661,0.0,7.527280493313896e-18,171,4877176021.993676,4877176021.993676,1424919345.0291142,833997099760.9186,243661207999.97855
diagnostic,HF_full_stretch150_sto3g,CA_div_100,1.5936001019904e-05,yoshida4,Yoshida 4th,4,insufficient_existing_curve,False,0.05472234425779868,-3.327717641801435e-06,3.3289466864840346e-06,1.2607054333419967e-05,1739413.8651877872,1739414,6867205939.761383,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__yoshida4.json,a3e70aac55d2ae65adabc72213659115188965f9eb3f849c0ed68b8d86196ef4,289,3948,5556,1608,3948,0,3948,1149,1149,0.0,1.2698837657606625e-18,179,6867205939.761384,6867205939.761384,1998586531.1007676,1229229863217.2878,357746989067.0374
diagnostic,HF_full_stretch150_sto3g,CA_div_100,1.5936001019904e-05,yoshida6_m3,Yoshida 6th m=3,6,validated_existing_curve,True,0.08358996167099338,2.6046497938262367e-06,2.5893008704701506e-06,1.334670014943385e-05,1075606.000481242,1075607,9796619452.383154,2.220446049250313e-16,/tmp/resource-metric-sensitivity-20260925/artifacts/server_unused_molecule_frozen_holdout_20260921_d288797/raw/HF_full_stretch150_sto3g__yoshida6_m3.json,ab24529d3d70e137dfc185fccc8de63e32085149662ce41e695bc1209eadf554,673,9108,12860,3752,9108,0,9108,2661,2661,0.0,1.3597442678235695e-18,179,9796619452.383152,9796619452.383152,2862187567.2805853,1753594881976.5842,512331574543.2248
