dataset_id,pf,model,passed,total,worst_eta_star,worst_eta_star_condition,worst_eta_min,worst_eta_min_condition,worst_eta_t,worst_eta_t_condition,worst_maximum_unseen_residual_over_epsilon,worst_maximum_unseen_residual_over_epsilon_condition
five_condition_holdout,current_m3,original_one_term,1,5,0.017102990479524852,H7,0.0017184581548965738,H7,0.024960998439937487,H7,0.04010786117985829,NH3_ccpvdz
five_condition_holdout,current_m3,refit_one_term,1,5,0.016506204666623194,H7,0.001638669427684647,H7,0.024310842373531316,H7,0.039438056211636964,NH3_ccpvdz
five_condition_holdout,current_m3,two_term,5,5,0.0034606662979446484,NH3_ccpvdz,0.0,H6,0.0,H6,0.020607519614708802,NH3_ccpvdz
five_condition_holdout,two_term_center,original_one_term,4,5,0.010052442358920048,H7,0.0005329581781496895,H7,0.014846266759927729,H7,0.015646488628329337,H7
five_condition_holdout,two_term_center,refit_one_term,5,5,0.00968568431585752,H7,0.0005059881833409108,H7,0.014461853898057542,H7,0.015161741702325674,H7
five_condition_holdout,two_term_center,two_term,5,5,0.0004991348746208787,NH3_ccpvdz,0.0,H6,0.0,H6,0.000862127034312337,NH3_ccpvdz
twelve_condition_holdout,current_m3,original_one_term,2,12,0.053124979772316436,LiH_CAS2e4o,0.45794629355764216,LiH_CAS2e4o,0.22349155469414883,LiH_CAS2e4o,0.5039052241482085,LiH_CAS2e4o
twelve_condition_holdout,current_m3,refit_one_term,2,12,0.0520194750466745,LiH_CAS2e4o,0.4568601214270307,LiH_CAS2e4o,0.22209602852943466,LiH_CAS2e4o,0.4999683782520283,LiH_CAS2e4o
twelve_condition_holdout,current_m3,two_term,11,12,0.032886307398168085,LiH_CAS2e4o,0.4182216687814375,LiH_CAS2e4o,0.16666666666666663,LiH_CAS2e4o,0.3646668325968947,LiH_CAS2e4o
twelve_condition_holdout,two_term_center,original_one_term,7,12,0.019362624232966166,LiH_CAS2e4o,0.0023186199376570293,LiH_CAS2e4o,0.026256980520270812,LiH_CAS2e4o,0.03442829631096122,LiH_CAS2e4o
twelve_condition_holdout,two_term_center,refit_one_term,7,12,0.01854211700729928,LiH_CAS2e4o,0.0021885603139422116,LiH_CAS2e4o,0.025346092229803663,LiH_CAS2e4o,0.03321242077638989,LiH_CAS2e4o
twelve_condition_holdout,two_term_center,two_term,12,12,0.002884450633119834,LiH_CAS2e4o,0.0,BeH2_stretch125,0.0,BeH2_stretch125,0.005961833205839757,LiH_CAS2e4o
