rank,candidate,conditions_present,expected_conditions,passed_conditions,all_passed,boundary_optimum_count,worst_eta_star,worst_eta_min,worst_eta_t,worst_maximum_unseen_residual_over_epsilon,worst_normalized_metric,robust_worst_normalized_metric,median_predicted_cost,stored_passed_conditions,stored_worst_normalized_metric,stored_robust_worst_normalized_metric,summary_reproduction_pass
1,joint_refine_r0_s0046,7,7,6,False,0,0.013153023909507636,0.0010421773465969508,0.025641025641025772,0.018551874154541372,1.3153023909507635,1.879003415643948,204022413.68308467,6,1.3153023909507635,1.879003415643948,True
2,joint_refine_r3_s0016,7,7,6,False,0,0.013242158296272281,0.0010932764381330617,0.02564102564102555,0.01873499034199271,1.3242158296272282,1.8917368994674688,201446386.34924418,6,1.3242158296272282,1.8917368994674688,True
3,joint_refine_r0_s0021,7,7,6,False,0,0.013299531185602849,0.0010707298199101878,0.02564102564102555,0.01875573857083258,1.3299531185602849,1.8999330265146928,203843640.77084923,6,1.3299531185602849,1.8999330265146928,True
4,joint_refine_r2_s0063,7,7,6,False,0,0.013368953205627412,0.0011284907228534813,0.025641025641025772,0.01891874267624853,1.3368953205627412,1.9098504579467732,201005162.5610023,6,1.3368953205627412,1.9098504579467732,True
5,joint_refine_r1_s0025,7,7,6,False,0,0.01340217327494186,0.0010880426747323924,0.025641025641025772,0.01889261042619782,1.340217327494186,1.9145961821345514,204073697.43555,6,1.340217327494186,1.9145961821345514,True
6,joint_refine_r1_s0089,7,7,6,False,0,0.013416292841798187,0.0010814264880487645,0.02564102564102555,0.018902767364483198,1.3416292841798185,1.9166132631140267,204416438.86966136,6,1.3416292841798185,1.9166132631140267,True
7,joint_refine_r1_s0016,7,7,6,False,0,0.01341969215073889,0.001092053605371568,0.02564102564102555,0.018921089531245206,1.341969215073889,1.9170988786769843,203765162.86530268,6,1.341969215073889,1.9170988786769843,True
8,joint_refine_r2_s0069,7,7,6,False,0,0.013421594400863796,0.001064702133740214,0.02564102564102555,0.01887566959489815,1.3421594400863794,1.917370628694828,205380892.830718,6,1.3421594400863794,1.917370628694828,True
9,joint_refine_r1_s0073,7,7,6,False,0,0.013427049221099007,0.0010884553014018916,0.025641025641025772,0.01892761612229863,1.3427049221099008,1.9181498887284296,204089243.14202517,6,1.3427049221099008,1.9181498887284296,True
10,joint_refine_r3_s0086,7,7,6,False,0,0.013428068393848608,0.0011130758297916987,0.02564102564102555,0.018966730017392183,1.3428068393848607,1.9182954848355154,202587445.99924782,6,1.3428068393848607,1.9182954848355154,True
11,joint_refine_r2_s0025,7,7,6,False,0,0.013451721200249896,0.0010694984212922254,0.025641025641025772,0.01891808533598043,1.3451721200249895,1.9216744571785567,205519347.3517146,6,1.3451721200249895,1.9216744571785567,True
12,joint_refine_r2_s0094,7,7,6,False,0,0.013467009913072814,0.0010876548867906344,0.02564102564102555,0.01896422710411165,1.3467009913072814,1.923858559010402,204500275.0112258,6,1.3467009913072814,1.923858559010402,True
13,joint_refine_r0_s0000,7,7,6,False,0,0.01347360953777278,0.0010960861307001135,0.025641025641025772,0.01898621431920566,1.347360953777278,1.9248013625389686,204219077.5180934,6,1.347360953777278,1.9248013625389686,True
14,joint_refine_r2_s0067,7,7,6,False,0,0.013479919070801618,0.0011044107867035358,0.02564102564102555,0.019011940020978845,1.3479919070801618,1.9257027244002312,203700556.61932784,6,1.3479919070801618,1.9257027244002312,True
15,joint_refine_r1_s0045,7,7,6,False,0,0.013501047508664031,0.0010933239535453332,0.02564102564102555,0.01900713074651282,1.350104750866403,1.9287210726662902,204747651.3189953,6,1.350104750866403,1.9287210726662902,True
16,joint_refine_r0_s0006,7,7,6,False,0,0.013501118787304698,0.0011040050144059954,0.025641025641025772,0.019033953098847346,1.3501118787304698,1.9287312553292426,203909636.37025267,6,1.3501118787304698,1.9287312553292426,True
17,joint_refine_r2_s0000,7,7,6,False,0,0.013507778110331603,0.0011381378748638316,0.02564102564102555,0.019087380543927522,1.3507778110331603,1.929682587190229,202020819.18509313,6,1.3507778110331603,1.929682587190229,True
18,joint_refine_r2_s0057,7,7,6,False,0,0.013511160249415097,0.0010906642150529944,0.02564102564102555,0.019017124525567627,1.3511160249415097,1.9301657499164424,204940009.482705,6,1.3511160249415097,1.9301657499164424,True
