analysis_cluster,pf,model,condition_count,four_metric_passed,strict_frozen_budget_passed,maximum_target_excess_over_epsilon,conditions
BeH2,current_m3,original_one_term,6,0,6,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,current_m3,refit_one_term,6,0,6,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,current_m3,two_term,6,6,6,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,original_one_term,6,2,6,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,refit_one_term,6,2,6,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,two_term,6,6,2,9.810658808595449e-05,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
H2O,current_m3,original_one_term,5,2,5,0.0,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,current_m3,refit_one_term,5,2,5,0.0,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,current_m3,two_term,5,5,5,0.0,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,original_one_term,5,5,5,0.0,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,refit_one_term,5,5,5,0.0,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,two_term,5,5,1,4.215430115784324e-05,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H_chain,current_m3,original_one_term,2,0,2,0.0,H6;H7
H_chain,current_m3,refit_one_term,2,0,2,0.0,H6;H7
H_chain,current_m3,two_term,2,2,2,0.0,H6;H7
H_chain,two_term_center,original_one_term,2,1,2,0.0,H6;H7
H_chain,two_term_center,refit_one_term,2,2,2,0.0,H6;H7
H_chain,two_term_center,two_term,2,2,2,0.0,H6;H7
LiH,current_m3,original_one_term,1,0,1,0.0,LiH_CAS2e4o
LiH,current_m3,refit_one_term,1,0,1,0.0,LiH_CAS2e4o
LiH,current_m3,two_term,1,0,1,0.0,LiH_CAS2e4o
LiH,two_term_center,original_one_term,1,0,1,0.0,LiH_CAS2e4o
LiH,two_term_center,refit_one_term,1,0,1,0.0,LiH_CAS2e4o
LiH,two_term_center,two_term,1,1,1,0.0,LiH_CAS2e4o
NH3,current_m3,original_one_term,3,1,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,current_m3,refit_one_term,3,1,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,current_m3,two_term,3,3,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,original_one_term,3,3,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,refit_one_term,3,3,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,two_term,3,3,3,0.0,NH3_631g;NH3_ccpvdz;NH3_sto3g
