criterion,pf,model,criterion_pass_and_frozen_pass,criterion_pass_but_frozen_fail,criterion_fail_but_frozen_pass,criterion_fail_and_frozen_fail,total
four_metric,current_m3,original_one_term,3,0,14,0,17
four_metric,current_m3,refit_one_term,3,0,14,0,17
four_metric,current_m3,two_term,16,0,1,0,17
four_metric,two_term_center,original_one_term,11,0,6,0,17
four_metric,two_term_center,refit_one_term,12,0,5,0,17
four_metric,two_term_center,two_term,9,8,0,0,17
eta_star_1pct,current_m3,original_one_term,3,0,14,0,17
eta_star_1pct,current_m3,refit_one_term,3,0,14,0,17
eta_star_1pct,current_m3,two_term,16,0,1,0,17
eta_star_1pct,two_term_center,original_one_term,11,0,6,0,17
eta_star_1pct,two_term_center,refit_one_term,12,0,5,0,17
eta_star_1pct,two_term_center,two_term,9,8,0,0,17
