dataset_id,condition,analysis_cluster,predicted_current_m3_cost,predicted_two_term_center_cost,predicted_cost_ratio_new_over_current,calibrated_selector_pf,oracle_direct_current_m3_cost,oracle_direct_two_term_center_cost,oracle_candidate_schedule_pf,selector_agrees_with_oracle_candidate_schedule,selected_strict_frozen_budget_pass,selected_direct_cost_regret_vs_oracle_candidate_schedule,calibrating_both_pf_short_time_points,calibrating_both_pf_direct_fit_points,calibrating_both_pf_total_points,calibrating_both_pf_seconds,information_warning
twelve_condition_holdout,BeH2_CAS4e4o,BeH2,1323677.49517396,1542600.0467475902,1.1653896454172616,current_m3,1310886.4756340676,1540995.8465718187,current_m3,True,True,0.0,10,6,16,0.027123923879116774,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,7913670.568957933,9151371.925434822,1.1564004144084392,current_m3,7891546.154293515,9148483.534291936,current_m3,True,True,0.0,10,6,16,0.09701599803520367,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,BeH2_stretch125,BeH2,22534203.26790593,25861039.45516026,1.147634959519183,current_m3,22525557.55596923,25862454.445364404,current_m3,True,True,0.0,10,6,16,0.25652316788909957,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,BeH2_stretch150,BeH2,19866640.441013165,22770838.801970188,1.1461846742321629,current_m3,19863570.495365683,22772412.396083396,current_m3,True,True,0.0,10,6,16,0.24377197999274358,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,BeH2_stretch150_631g,BeH2,13237322.769297058,15212322.129192133,1.1491993052005902,current_m3,13229914.544060506,15214199.452564178,current_m3,True,True,0.0,10,6,16,0.24674579204292968,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,BeH2_stretch150_ccpvdz,BeH2,11648366.242832422,13411759.429706698,1.1513854518404538,current_m3,11634520.000496285,13412822.208823863,current_m3,True,True,0.0,10,6,16,0.2535008538980037,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,H2O_CAS8e5o,H2O,26691462.97844972,30971957.96011067,1.1603694404130998,current_m3,26529530.99375269,30944908.59624474,current_m3,True,True,0.0,10,6,16,0.16552261996548623,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,H2O_stretch125,H2O,69456692.42035468,79663942.31758614,1.1469584793277625,current_m3,69429039.11938041,79666154.1010706,current_m3,True,True,0.0,10,6,16,0.38073785207234323,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,H2O_stretch150,H2O,56070173.04634799,64357162.80430982,1.147796757308235,current_m3,56029054.52016739,64360565.14569092,current_m3,True,True,0.0,10,6,16,0.37675127398688346,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,H2O_stretch150_631g,H2O,52636627.22943518,60230018.989898026,1.1442606063523861,current_m3,52623217.40403519,60232080.82398117,current_m3,True,True,0.0,10,6,16,0.37735996796982363,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,H2O_stretch150_ccpvdz,H2O,51939310.94763292,59423996.58279163,1.144104446104513,current_m3,51926625.39780147,59426290.3746963,current_m3,True,True,0.0,10,6,16,0.4035961639601737,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
five_condition_holdout,H6,H_chain,117375558.99761124,134997313.12292412,1.1501313755248783,current_m3,117255958.43906496,134993821.0208364,current_m3,True,True,0.0,10,6,16,1.8886769637465477,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
five_condition_holdout,H7,H_chain,216068208.85193098,248488590.49039522,1.1500469773444624,current_m3,215839655.43243942,248487125.2020047,current_m3,True,True,0.0,10,6,16,6.464269960299134,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
twelve_condition_holdout,LiH_CAS2e4o,LiH,1812447.6501925222,2129553.54736901,1.1749600310623063,current_m3,1754740.7078694485,2123428.622334931,current_m3,True,True,0.0,11,6,17,0.05196370399789885,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
five_condition_holdout,NH3_631g,NH3,313683714.02719384,361374241.744596,1.1520338021541907,current_m3,312837453.56989527,361237503.20200473,current_m3,True,True,0.0,10,6,16,139.81585458479822,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
five_condition_holdout,NH3_ccpvdz,NH3,268905030.8878178,309993176.8993709,1.1527979817852285,current_m3,267977649.66701275,309838525.68570006,current_m3,True,True,0.0,10,6,16,129.75680206902325,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
five_condition_holdout,NH3_sto3g,NH3,562528774.0322038,645555219.0266299,1.1475950188277355,current_m3,562269607.0463763,645513431.1775969,current_m3,True,True,0.0,10,6,16,143.33862632140517,"selector uses predicted costs only, but both predictions depend on exact-state-assisted target calibration"
