analysis_cluster,pf,model,passed,condition_count,conditions
BeH2,current_m3,original_one_term,0,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,current_m3,refit_one_term,0,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,current_m3,two_term,6,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,original_one_term,2,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,refit_one_term,2,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
BeH2,two_term_center,two_term,6,6,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz
H2O,current_m3,original_one_term,2,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,current_m3,refit_one_term,2,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,current_m3,two_term,5,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,original_one_term,5,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,refit_one_term,5,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H2O,two_term_center,two_term,5,5,H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz
H_chain,current_m3,original_one_term,0,2,H6;H7
H_chain,current_m3,refit_one_term,0,2,H6;H7
H_chain,current_m3,two_term,2,2,H6;H7
H_chain,two_term_center,original_one_term,1,2,H6;H7
H_chain,two_term_center,refit_one_term,2,2,H6;H7
H_chain,two_term_center,two_term,2,2,H6;H7
LiH,current_m3,original_one_term,0,1,LiH_CAS2e4o
LiH,current_m3,refit_one_term,0,1,LiH_CAS2e4o
LiH,current_m3,two_term,0,1,LiH_CAS2e4o
LiH,two_term_center,original_one_term,0,1,LiH_CAS2e4o
LiH,two_term_center,refit_one_term,0,1,LiH_CAS2e4o
LiH,two_term_center,two_term,1,1,LiH_CAS2e4o
NH3,current_m3,original_one_term,1,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,current_m3,refit_one_term,1,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,current_m3,two_term,3,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,original_one_term,3,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,refit_one_term,3,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
NH3,two_term_center,two_term,3,3,NH3_631g;NH3_ccpvdz;NH3_sto3g
