effect_type,contrast,held_constant,metric,condition_count,mean_benefit_from_reduction,median_benefit_from_reduction,minimum_benefit_from_reduction,maximum_benefit_from_reduction,conditions_improved,conditions_tied,conditions_worsened,median_ratio_to_over_from
model_effect,original_to_refit,current_m3,direct_cost_at_predicted_time,17,5568.616454824819,1766.9357626531273,532.9556111034472,19010.840224981308,17,0,0,0.9999362844778668
model_effect,original_to_refit,current_m3,eta_min,17,0.00015311066633978278,6.381285257450742e-05,1.3287998537281354e-05,0.0010861721306114624,17,0,0,0.9507282672504195
model_effect,original_to_refit,current_m3,eta_star,17,0.000608724241450453,0.0005704208295970025,0.0002690332189124907,0.0011121095791560565,17,0,0,0.9648855210985195
model_effect,original_to_refit,current_m3,eta_t,17,0.0006836511583663274,0.0006113039613977467,0.0002780107757193173,0.001395526164714167,17,0,0,0.9723835993645297
model_effect,original_to_refit,current_m3,maximum_unseen_residual_over_epsilon,17,0.0010503133078667807,0.0007961505603431701,0.0003413389842804003,0.003936845896180208,17,0,0,0.9696940416405609
model_effect,original_to_refit,two_term_center,direct_cost_at_predicted_time,17,1402.6703399633577,794.0743896663189,136.50581801705994,6701.696476757526,17,0,0,0.9999742744070518
model_effect,original_to_refit,two_term_center,eta_min,17,3.240122858253415e-05,2.5738885107928766e-05,4.389244457225772e-06,0.00013005962371481772,17,0,0,0.9455355500457964
model_effect,original_to_refit,two_term_center,eta_star,17,0.00036710232330772555,0.00035552049574532826,0.0001449008898582408,0.000820507225666886,17,0,0,0.9607051302574395
model_effect,original_to_refit,two_term_center,eta_t,17,0.0003887169354872152,0.0003723794546595105,0.00014798815908567686,0.0009108882904671489,17,0,0,0.9711077856767617
model_effect,original_to_refit,two_term_center,maximum_unseen_residual_over_epsilon,17,0.0004956317446072532,0.0004689860799151468,0.00017769948507292618,0.0012158755345713299,17,0,0,0.9663897703078885
model_effect,original_to_two_term,current_m3,direct_cost_at_predicted_time,17,122504.46689722878,42744.1746019274,12512.165621861815,409356.81054264307,17,0,0,0.9984747517552536
model_effect,original_to_two_term,current_m3,eta_min,17,0.004348066205003759,0.001527578180685163,0.00024095857425754375,0.03972462477620464,17,0,0,0.0
model_effect,original_to_two_term,current_m3,eta_star,17,0.014985095636053224,0.014037198003519418,0.00648695927328444,0.027822950630812093,17,0,0,0.05744068437043406
model_effect,original_to_two_term,current_m3,eta_t,17,0.025420757571293043,0.021301375560916713,0.009454754369542573,0.0568248880274822,17,0,0,0.0
model_effect,original_to_two_term,current_m3,maximum_unseen_residual_over_epsilon,17,0.03239331063507459,0.022762978806450337,0.009773597455962207,0.1392383915513138,17,0,0,0.0667041637985662
model_effect,original_to_two_term,two_term_center,direct_cost_at_predicted_time,17,27859.605977998744,14229.224375961348,2575.048614772968,132433.24554133415,17,0,0,0.9995381054083053
model_effect,original_to_two_term,two_term_center,eta_min,17,0.0005891758125716805,0.0004621080368976127,9.078465817147219e-05,0.0023186199376570293,17,0,0,0.0
