dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,canonical_pass,failed_metric_count,failed_metrics,worst_normalized_metric,worst_normalized_value,normalized_eta_star,normalized_eta_min,normalized_eta_t,normalized_maximum_unseen_residual_over_epsilon
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,original_one_term,True,0,,eta_star,0.9900683633604244,0.9900683633604244,0.051669012036081874,0.29187729722805367,0.30778785628298616
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,refit_one_term,True,0,,eta_star,0.9545163137858915,0.9545163137858915,0.049095123525289,0.28442970813486346,0.29840813468468325
five_condition_holdout,H6,H6,H_chain,chain_length,two_term_center,two_term,True,0,,eta_star,0.002586860688362409,0.002586860688362409,0.0,0.0,0.0014027850487393664
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,original_one_term,False,1,eta_star,eta_star,1.6984218080191609,1.6984218080191609,0.16783885921289876,0.4955115295907464,0.5646526490790329
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,refit_one_term,False,1,eta_star,eta_star,1.6402073065011857,1.6402073065011857,0.16011862611431393,0.48283607401216067,0.5478492860048154
five_condition_holdout,H6,H6,H_chain,chain_length,current_m3,two_term,True,0,,eta_star,0.10199955732605977,0.10199955732605977,0.0,0.0,0.03031311242353469
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,original_one_term,False,1,eta_star,eta_star,1.0052442358920048,1.0052442358920048,0.05329581781496895,0.2969253351985546,0.3129297725665867
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,refit_one_term,True,0,,eta_star,0.968568431585752,0.968568431585752,0.05059881833409108,0.28923707796115083,0.30323483404651347
five_condition_holdout,H7,H7,H_chain,chain_length,two_term_center,two_term,True,0,,maximum_unseen_residual_over_epsilon,0.0008296092151727065,0.000589683827412002,0.0,0.0,0.0008296092151727065
five_condition_holdout,H7,H7,H_chain,chain_length,current_m3,original_one_term,False,1,eta_star,eta_star,1.710299047952485,1.710299047952485,0.17184581548965738,0.49921996879874975,0.5802043331601252
five_condition_holdout,H7,H7,H_chain,chain_length,current_m3,refit_one_term,False,1,eta_star,eta_star,1.6506204666623194,1.6506204666623194,0.1638669427684647,0.4862168474706263,0.5629509289812653
five_condition_holdout,H7,H7,H_chain,chain_length,current_m3,two_term,True,0,,eta_star,0.10589037451604874,0.10589037451604874,0.0,0.0,0.04200459921181126
five_condition_holdout,NH3_sto3g,NH3,NH3,basis,two_term_center,original_one_term,True,0,,eta_star,0.49109517399110675,0.49109517399110675,0.012410810505714132,0.13922403948322115,0.14615600189529657
five_condition_holdout,NH3_sto3g,NH3,NH3,basis,two_term_center,refit_one_term,True,0,,eta_star,0.4757724171383055,0.4757724171383055,0.011871580231748169,0.13608813237304673,0.1423539203917613
