condition,molecule,analysis_cluster,variation_axis,effect_type,contrast,held_constant,metric,from_label,to_label,from_value,to_value,difference_to_minus_from,benefit_from_reduction,ratio_to_over_from,from_pass,to_pass,pass_change,design_note
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,original_one_term,eta_star,current_m3,two_term_center,0.03758048477098659,0.017042876730592196,-0.020537608040394395,0.020537608040394395,0.45350337640534844,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,original_one_term,eta_min,current_m3,two_term_center,0.012296734279966914,0.0016710289132197964,-0.010625705366747118,0.010625705366747118,0.13589208932831331,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,original_one_term,eta_t,current_m3,two_term_center,0.0775073695630012,0.02477557647953721,-0.052731793083463985,0.052731793083463985,0.31965446149476917,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,original_one_term,maximum_unseen_residual_over_epsilon,current_m3,two_term_center,0.08316949606803982,0.028742136592810094,-0.054427359475229725,0.054427359475229725,0.345585075678426,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,original_one_term,direct_cost_at_predicted_time,current_m3,two_term_center,1324984.8071102058,1543570.8951865917,218586.0880763859,-218586.0880763859,1.1649725241401994,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,refit_one_term,eta_star,current_m3,two_term_center,0.036468375191830535,0.01637317910942506,-0.020095196082405474,0.020095196082405474,0.4489692513938186,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,refit_one_term,eta_min,current_m3,two_term_center,0.011889552837778927,0.0015824460540765362,-0.010307106783702391,0.010307106783702391,0.1330955062538879,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,refit_one_term,eta_t,current_m3,two_term_center,0.07614594697295718,0.024046683640164712,-0.05209926333279247,0.05209926333279247,0.3157972892333293,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,refit_one_term,maximum_unseen_residual_over_epsilon,current_m3,two_term_center,0.08101501280620982,0.027776106780083704,-0.05323890602612612,0.05323890602612612,0.34285135332293204,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,refit_one_term,direct_cost_at_predicted_time,current_m3,two_term_center,1324451.8514991023,1543434.3893685746,218982.5378694723,-218982.5378694723,1.165338239832285,False,False,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,two_term,eta_star,current_m3,two_term_center,0.009757534140174499,0.0010410152495480625,-0.008716518890626437,0.008716518890626437,0.10668835328609422,True,True,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,two_term,eta_min,current_m3,two_term_center,0.0015255202739603568,0.0,-0.0015255202739603568,0.0015255202739603568,0.0,True,True,0,paired condition with the same model definition
BeH2_CAS4e4o,BeH2,BeH2,active_space,pf_effect,current_m3_to_two_term_center,two_term,eta_t,current_m3,two_term_center,0.024390243902438935,0.0,-0.024390243902438935,0.024390243902438935,0.0,True,True,0,paired condition with the same model definition
