varied_metric,threshold_multiplier,varied_threshold,other_thresholds,model,current_m3_passed,two_term_center_passed,coverage_advantage_new_minus_current,both_passed,new_only,current_only,neither,median_new_over_current_direct_cost_on_common_passes
eta_star,0.25,0.0025,canonical,original_one_term,0,0,0,0,0,0,17,
eta_star,0.25,0.0025,canonical,refit_one_term,0,0,0,0,0,0,17,
eta_star,0.25,0.0025,canonical,two_term,11,16,5,11,5,0,1,1.148138259446142
eta_star,0.5,0.005,canonical,original_one_term,0,5,5,0,5,0,12,
eta_star,0.5,0.005,canonical,refit_one_term,0,5,5,0,5,0,12,
eta_star,0.5,0.005,canonical,two_term,14,17,3,14,3,0,0,1.1493422681737495
eta_star,0.75,0.0075,canonical,original_one_term,2,8,6,2,6,0,9,1.1443534652159348
eta_star,0.75,0.0075,canonical,refit_one_term,2,8,6,2,6,0,9,1.1443617086463922
eta_star,0.75,0.0075,canonical,two_term,15,17,2,15,2,0,0,1.1499847109288024
eta_star,1.0,0.01,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_star,1.0,0.01,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_star,1.0,0.01,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,1.25,0.0125,canonical,original_one_term,4,13,9,4,9,0,4,1.1456992659223069
eta_star,1.25,0.0125,canonical,refit_one_term,6,13,7,6,7,0,4,1.146473908719338
eta_star,1.25,0.0125,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,1.5,0.015,canonical,original_one_term,8,15,7,8,7,0,2,1.1471709826592926
eta_star,1.5,0.015,canonical,refit_one_term,9,15,6,9,6,0,2,1.1474132467742149
eta_star,1.5,0.015,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,2.0,0.02,canonical,original_one_term,12,17,5,12,5,0,0,1.1477799105955548
eta_star,2.0,0.02,canonical,refit_one_term,12,17,5,12,5,0,0,1.1478076242777788
eta_star,2.0,0.02,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,3.0,0.03,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,3.0,0.03,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,3.0,0.03,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,5.0,0.05,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,5.0,0.05,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,5.0,0.05,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,7.5,0.075,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,7.5,0.075,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,7.5,0.075,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,10.0,0.1,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,10.0,0.1,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,10.0,0.1,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,20.0,0.2,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,20.0,0.2,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,20.0,0.2,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_star,50.0,0.5,canonical,original_one_term,14,17,3,14,3,0,0,1.1482941742397617
eta_star,50.0,0.5,canonical,refit_one_term,14,17,3,14,3,0,0,1.1483452623494452
eta_star,50.0,0.5,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,0.25,0.0025,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,0.25,0.0025,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,0.25,0.0025,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,0.5,0.005,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,0.5,0.005,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,0.5,0.005,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,0.75,0.0075,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,0.75,0.0075,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,0.75,0.0075,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,1.0,0.01,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,1.0,0.01,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,1.0,0.01,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,1.25,0.0125,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,1.25,0.0125,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,1.25,0.0125,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,1.5,0.015,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,1.5,0.015,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,1.5,0.015,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,2.0,0.02,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,2.0,0.02,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,2.0,0.02,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,3.0,0.03,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,3.0,0.03,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,3.0,0.03,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,5.0,0.05,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,5.0,0.05,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,5.0,0.05,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,7.5,0.075,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,7.5,0.075,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,7.5,0.075,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,10.0,0.1,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,10.0,0.1,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,10.0,0.1,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
eta_min,20.0,0.2,canonical,original_one_term,3,11,8,3,8,0,6,1.1444302358169536
eta_min,20.0,0.2,canonical,refit_one_term,3,12,9,3,9,0,5,1.1444385800571963
eta_min,20.0,0.2,canonical,two_term,16,17,1,16,1,0,0,1.1506213442712898
