varied_metric,threshold_multiplier,varied_threshold,other_thresholds,pf,model,passed,total,coverage,failed_conditions,median_direct_cost_ratio_to_current_over_covered
eta_star,0.25,0.0025,canonical,current_m3,original_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.25,0.0025,canonical,current_m3,refit_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.25,0.0025,canonical,current_m3,two_term,11,17,0.6470588235294118,BeH2_CAS4e4o;BeH2_CAS4e5o;H2O_CAS8e5o;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz,1.0
eta_star,0.25,0.0025,canonical,two_term_center,original_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.25,0.0025,canonical,two_term_center,refit_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.25,0.0025,canonical,two_term_center,two_term,16,17,0.9411764705882353,LiH_CAS2e4o,1.1506213442712898
eta_star,0.5,0.005,canonical,current_m3,original_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.5,0.005,canonical,current_m3,refit_one_term,0,17,0.0,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H2O_stretch150_631g;H2O_stretch150_ccpvdz;H6;H7;LiH_CAS2e4o;NH3_631g;NH3_ccpvdz;NH3_sto3g,
eta_star,0.5,0.005,canonical,current_m3,two_term,14,17,0.8235294117647058,BeH2_CAS4e4o;H2O_CAS8e5o;LiH_CAS2e4o,1.0
eta_star,0.5,0.005,canonical,two_term_center,original_one_term,5,17,0.29411764705882354,BeH2_CAS4e4o;BeH2_CAS4e5o;BeH2_stretch125;BeH2_stretch150;BeH2_stretch150_631g;BeH2_stretch150_ccpvdz;H2O_CAS8e5o;H2O_stretch125;H2O_stretch150;H6;H7;LiH_CAS2e4o,1.1475847187934167
