system,formula,formal_order,estimator,shared_fit_t_start,shared_fit_t_stop,a_p,a_p_plus_2,a_p_relative_difference_from_direct,analytic_time_from_leading,nearest_direct_time,nearest_time_absolute_difference,direct_cost_at_selected_time,selected_time_within_branch_reliable_prefix,direct_sampled_selection_regret
H2,yoshida4,4,direct_eigenvalue_shift,0.02,0.034507053373351075,-0.0010021637013926134,7.281924535175283e-05,0.0,0.4222966818570014,0.4222966818570014,0.0,22206.47711012817,True,1.5979072571781217e-05
H2,yoshida4,4,imaginary_proxy,0.02,0.034507053373351075,-0.0010021674428979698,7.46385482888614e-05,3.733427334481269e-06,0.4222962877044273,0.4222962877044273,0.0,22206.477648290358,True,1.6003307428347213e-05
H2,yoshida4,4,overlap_phase,0.02,0.034507053373351075,-0.0010021674428979687,7.463854828804699e-05,3.7334273333994074e-06,0.4222962877044274,0.4222962877044274,0.0,22206.47764817475,True,1.6003302222289406e-05
H2,current_m3,4,direct_eigenvalue_shift,0.02292183941538839,0.039548256806109475,-2.7297138245612233e-06,-5.4963992840513784e-06,0.0,1.848515328883739,1.848515328883739,0.0,5037.66282045487,True,2.4335376141260596
H2,current_m3,4,imaginary_proxy,0.02292183941538839,0.039548256806109475,-2.7336417098241084e-06,-2.675427388482856e-06,0.0014389366487955655,1.847850952160708,1.847850952160708,0.0,5037.803419563079,True,2.433633442756072
H2,current_m3,4,overlap_phase,0.02292183941538839,0.039548256806109475,-2.733641709824103e-06,-2.6754273884862465e-06,0.0014389366487935487,1.847850952160709,1.847850952160709,0.0,5037.8034195500595,True,2.4336334427471984
H2,two_term_center,4,direct_eigenvalue_shift,0.02,0.034507053373351075,-4.638836858668553e-06,-1.4614472553315532e-05,0.0,1.61901197611832,1.61901197611832,0.0,5778.622397143295,True,0.00020526861803049634
H2,two_term_center,4,imaginary_proxy,0.02,0.034507053373351075,-4.627054004642758e-06,-2.5675577070469125e-05,0.00254004492608454,1.6200417021457971,1.6200417021457971,0.0,5778.465338849245,True,0.000178083845883803
H2,two_term_center,4,overlap_phase,0.02,0.034507053373351075,-4.6270540046427554e-06,-2.5675577070467536e-05,0.002540044926085088,1.6200417021457973,1.6200417021457973,0.0,5778.465338854248,True,0.00017808384674977695
H2,morales_y8m10b,8,direct_eigenvalue_shift,0.6930047561509587,1.1956776054243634,9.962953141688104e-12,-3.6548723006498977e-13,0.0,6.042526920818836,6.042526920818836,0.0,,False,
H2,morales_y8m10b,8,imaginary_proxy,0.6930047561509587,1.1956776054243634,9.959730606374032e-12,-3.6278502900121466e-13,0.0003234518187772305,6.042771273569194,6.042771273569194,0.0,,False,
H2,morales_y8m10b,8,overlap_phase,0.6930047561509587,1.1956776054243634,9.959730606374e-12,-3.627850290012111e-13,0.0003234518187804737,6.042771273569197,6.042771273569197,0.0,,False,
H4,yoshida4,4,direct_eigenvalue_shift,0.02,0.034507053373351075,-0.00471149792520569,0.000886710001083204,0.0,0.2867890630296168,0.2867890630296168,0.0,32679.389022389147,True,5.8955987906950114e-05
H4,yoshida4,4,imaginary_proxy,0.02,0.034507053373351075,-0.004711542207939191,0.0009669500359164145,9.398865117615436e-06,0.28678838916064514,0.28678838916064514,0.0,32679.391335502467,True,5.9026774104520285e-05
H4,yoshida4,4,overlap_phase,0.02,0.034507053373351075,-0.004711542207939108,0.0009669500359144599,9.398865099942346e-06,0.2867883891606464,0.2867883891606464,0.0,32679.39133431221,True,5.902673768010125e-05
H4,current_m3,4,direct_eigenvalue_shift,0.02,0.034507053373351075,-1.2946304877258404e-05,1.604849838288179e-05,0.0,1.2526100118212653,1.2526100118212653,0.0,7402.9361888791855,True,0.001188684663760764
H4,current_m3,4,imaginary_proxy,0.02,0.034507053373351075,-1.283895538682732e-05,-2.942293692471498e-05,0.008291901932547203,1.255220182795853,1.255220182795853,0.0,7401.426491984048,True,0.0009845100754461988
H4,current_m3,4,overlap_phase,0.02,0.034507053373351075,-1.2838955386826827e-05,-2.942293692470162e-05,0.008291901932585282,1.255220182795865,1.255220182795865,0.0,7401.426491983978,True,0.000984510075436651
H4,two_term_center,4,direct_eigenvalue_shift,0.02,0.034507053373351075,-2.1871335322346395e-05,-4.10755351318872e-05,0.0,1.0987110981388586,1.0987110981388586,0.0,8499.020671972059,True,0.00032902553506652943
H4,two_term_center,4,imaginary_proxy,0.02,0.034507053373351075,-2.1851261693718607e-05,-3.176413989616386e-05,0.0009178053526196294,1.0989633435823165,1.0989633435823165,0.0,8498.91238196091,True,0.00031627987347704334
H4,two_term_center,4,overlap_phase,0.02,0.034507053373351075,-2.1851261693717716e-05,-3.1764139896158774e-05,0.0009178053526603712,1.0989633435823276,1.0989633435823276,0.0,8498.912382063643,True,0.00031627988556870434
H4,morales_y8m10b,8,direct_eigenvalue_shift,0.5275908746355139,0.9102803235170321,9.621962766839059e-11,-8.808364962593433e-12,0.0,4.5510242111061885,4.5510242111061885,0.0,,False,
H4,morales_y8m10b,8,imaginary_proxy,0.5275908746355139,0.9102803235170321,9.634244984124277e-11,-8.992147196450754e-12,0.0012764773241014018,4.550298572130601,4.550298572130601,0.0,,False,
H4,morales_y8m10b,8,overlap_phase,0.5275908746355139,0.9102803235170321,9.634244984123158e-11,-8.992147196449999e-12,0.0012764773239850764,4.550298572130668,4.550298572130668,0.0,,False,
