system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H2,yoshida4,4,0.1,0.995,True,26,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,4,0.1,0.999,True,26,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,4,0.2,0.995,True,28,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,4,0.2,0.999,True,28,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,4,0.3,0.995,True,29,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,4,0.3,0.999,True,29,0,0.02,0.030108450502611094,3.9999184592348804,0.0010021208681626073,0.4223011942969571
H2,yoshida4,5,0.1,0.995,True,25,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,5,0.1,0.999,True,25,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,5,0.2,0.995,True,27,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,5,0.2,0.999,True,27,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,5,0.3,0.995,True,29,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,5,0.3,0.999,True,29,0,0.02,0.034507053373351075,3.9998944697197856,0.001002112018951678,0.4223021265829437
H2,yoshida4,6,0.1,0.995,True,24,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
H2,yoshida4,6,0.1,0.999,True,24,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
H2,yoshida4,6,0.2,0.995,True,27,0,0.02,0.039548256806109475,3.999869600544611,0.001002100844227969,0.4223033038820847
