system,formula,model_terms,powers,raw_design_condition_number,scaled_design_condition_number,condition_number_improvement_factor,coefficient_sensitivity
H2,yoshida4,1,[4],1.0,1.0,1.0,9.490905270801266e-07
H2,yoshida4,2,"[4, 6]",155.48833945850393,3.511390273190387,44.281132930641164,7.163683594129798e-05
H2,yoshida4,3,"[4, 6, 8]",24982.514468286645,18.140427253987294,1377.1734324942897,0.005909767179088656
H2,current_m3,1,[4],1.0,1.0,1.0,9.506291421437771e-07
H2,current_m3,2,"[4, 6]",13.369271742281164,3.511390273190387,3.807401257660283,4.423226446939184e-06
H2,current_m3,3,"[4, 6, 8]",169.1828480866351,18.140427253987294,9.32628794889318,2.456690407201332e-05
H2,two_term_center,1,[4],1.0,1.0,1.0,9.445502046282364e-07
H2,two_term_center,2,"[4, 6]",14.580739783297398,3.511390273190387,4.152412192578524,5.3872329007612295e-06
H2,two_term_center,3,"[4, 6, 8]",207.23828095859568,18.140427253987294,11.424112456504815,3.609803314068502e-05
H2,morales_y8m10b,1,[8],1.0,1.0,1.0,0.020519829633662057
H2,morales_y8m10b,2,"[8, 10]",152.33732679275295,3.511390273190387,43.383763962626105,0.04485197722657788
H2,morales_y8m10b,3,"[8, 10, 12]",18591.112418811794,18.140427253987294,1024.8442420078854,0.0808289044840733
H4,yoshida4,1,[4],1.0,1.0,1.0,9.493517031776467e-07
H4,yoshida4,2,"[4, 6]",336.6742834891778,3.511390273190387,95.88062200311374,0.0001524342315779075
H4,yoshida4,3,"[4, 6, 8]",117147.37804904592,18.140427253987294,6457.80699698221,0.02724090791385447
H4,current_m3,1,[4],1.0,1.0,1.0,9.505369008743258e-07
H4,current_m3,2,"[4, 6]",19.981195412020398,3.511390273190387,5.690394361622992,8.438887458788636e-06
H4,current_m3,3,"[4, 6, 8]",404.09728566820706,18.140427253987273,22.276062190287515,8.522572434758633e-05
H4,two_term_center,1,[4],1.0,1.0,1.0,9.492969922120457e-07
H4,two_term_center,2,"[4, 6]",24.76695880233865,3.511390273190387,7.0533198748756085,1.0845090550731376e-05
H4,two_term_center,3,"[4, 6, 8]",626.6696295385351,18.140427253987294,34.54547242820822,0.00013864941895976997
H4,morales_y8m10b,1,[8],1.0,1.0,1.0,0.02138973666706788
H4,morales_y8m10b,2,"[8, 10]",88.56960784167099,3.511390273190387,25.22351574471903,0.04547711186657209
H4,morales_y8m10b,3,"[8, 10, 12]",6517.880524972668,18.140427253987294,359.301378832741,0.08964159491345769
