system,formula,model_terms,signed_fit_max_abs_error_residual_over_epsilon,absolute_fit_max_abs_error_residual_over_epsilon,signed_fit_better,signed_fit_predicted_root_brackets,absolute_fit_negative_prediction_count
H2,yoshida4,1,0.007513732802397096,0.007513732802397096,False,0,0
H2,yoshida4,2,2.4303340544642383e-05,2.4303340544642383e-05,False,0,0
H2,yoshida4,3,1.4781529611148212e-05,1.4781529611148212e-05,False,0,0
H2,current_m3,1,0.023613458114903427,0.023613458114903427,False,0,0
H2,current_m3,2,0.0006827314599962602,0.0006827314599962602,False,0,0
H2,current_m3,3,0.00011077462352056226,0.00011077462352056226,False,0,0
H2,two_term_center,1,0.015394990834938664,0.015394990834938664,False,0,0
H2,two_term_center,2,7.929476552077987e-07,7.929476552077987e-07,False,0,0
H2,two_term_center,3,8.053590489859899e-06,8.053590489859899e-06,False,0,0
H2,morales_y8m10b,1,0.6241289788887118,0.6241289788887118,False,0,0
H2,morales_y8m10b,2,0.6672970104272393,0.6672970104272393,False,0,0
H2,morales_y8m10b,3,0.6415088446325362,0.6415088446325362,False,0,0
H4,yoshida4,1,0.007313069269355076,0.007313069269355076,False,0,0
H4,yoshida4,2,4.84551868819078e-05,4.84551868819078e-05,False,0,0
H4,yoshida4,3,8.613242907765318e-05,8.613242907765318e-05,False,0,0
H4,current_m3,1,0.03002740065282292,0.03002740065282292,False,0,0
H4,current_m3,2,0.0016391013392429892,0.0016391013392429892,False,0,0
H4,current_m3,3,0.0005367192928631649,0.0005367192928631649,False,0,0
H4,two_term_center,1,0.01812090938515967,0.01812090938515967,False,0,0
H4,two_term_center,2,9.726692366420443e-05,9.726692366420443e-05,False,0,0
H4,two_term_center,3,3.0603473157346865e-05,3.0603473157346865e-05,False,0,0
H4,morales_y8m10b,1,0.3810322599558952,0.3810322599558952,False,0,0
H4,morales_y8m10b,2,0.40436848533529235,0.4107930886292598,True,1,20
H4,morales_y8m10b,3,0.3730611557520806,0.3730611557520806,False,0,0
