system,formula,model_terms,powers,coefficients,training_point_count,holdout_scope,holdout_end_time,holdout_point_count,training_residual_linf_over_epsilon,holdout_signed_residual_linf_over_epsilon,holdout_signed_residual_rmse_over_epsilon,holdout_passes_0p05_epsilon,overfit_warning
H2,yoshida4,1,[4],[-0.00100052960110199],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.5067555452453127,85,2.6142208852135894e-05,0.007513732802397096,0.003020112557384821,True,False
H2,yoshida4,2,"[4, 6]","[-0.0010021764972520679, 8.39535377581533e-05]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.5067555452453127,85,1.746187619771707e-09,2.4303340544642383e-05,7.704411261096612e-06,True,False
H2,yoshida4,3,"[4, 6, 8]","[-0.0010021766355159912, 8.39757769131971e-05, -4.785517958709652e-07]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.5067555452453127,85,6.155487574468183e-10,1.4781529611148212e-05,4.6455600089941175e-06,True,False
H2,current_m3,1,[4],[-2.7247568904833478e-06],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",2.2174211425928494,160,7.966158299611067e-05,0.023613458114903427,0.007763882172235682,True,False
H2,current_m3,2,"[4, 6]","[-2.7384324845606045e-06, 3.6409912914551934e-08]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",2.2174211425928494,160,7.314657847104663e-08,0.0006827314599962602,0.00016933228328669064,True,False
H2,current_m3,3,"[4, 6, 8]","[-2.7384098073348148e-06, 3.6219410720737734e-08, 2.1409735422180486e-10]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",2.2174211425928494,160,3.5141530287354347e-10,0.00011077462352056226,2.231975871814965e-05,True,False
H2,two_term_center,1,[4],[-4.641697273984221e-06],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.9440500425749565,143,4.932678570260541e-05,0.015394990834938664,0.007761185689967681,True,False
H2,two_term_center,2,"[4, 6]","[-4.656043537748206e-06, 4.969283087247497e-08]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.9440500425749565,143,3.645719903765738e-10,7.929476552077987e-07,5.808847311671853e-07,True,False
H2,two_term_center,3,"[4, 6, 8]","[-4.656043017047338e-06, 4.968713998697735e-08, 8.32094506930649e-12]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.9440500425749565,143,7.436806931157034e-10,8.053590489859899e-06,4.135664156192393e-06,True,False
H2,morales_y8m10b,1,[8],[8.703771343694013e-12],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",5.506313961920389,93,6.656861438217228e-05,0.6241289788887118,0.1223390611477946,False,True
H2,morales_y8m10b,2,"[8, 10]","[9.946900579270346e-12, -3.094933223531374e-13]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",5.506313961920389,93,2.379368368163728e-06,0.6672970104272393,0.13605358969338513,False,True
H2,morales_y8m10b,3,"[8, 10, 12]","[1.0038530189184823e-11, -3.8147259586859764e-13, 7.564502003330505e-15]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",5.506313961920389,93,4.50212189280694e-07,0.6415088446325362,0.1275860658088583,False,True
H4,yoshida4,1,[4],[-0.004702548062800205],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.34414606699277417,85,3.044272181602801e-05,0.007313069269355076,0.0033293731215121936,True,False
H4,yoshida4,2,"[4, 6]","[-0.004711563321893029, 0.0009964658010249681]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.34414606699277417,85,2.4608089030592662e-09,4.84551868819078e-05,1.7716915100173173e-05,True,False
H4,yoshida4,3,"[4, 6, 8]","[-0.0047115600503065055, 0.0009953248179176922, 5.323549302203106e-05]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",0.34414606699277417,85,5.203873196838818e-09,8.613242907765318e-05,3.176944328990255e-05,True,False
H4,current_m3,1,[4],[-1.2798468368541977e-05],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.5062642193550235,170,9.424843795429977e-05,0.03002740065282292,0.009226498101060791,True,False
H4,current_m3,2,"[4, 6]","[-1.287441960811984e-05, 4.3823025113012987e-07]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.5062642193550235,170,1.35238032892926e-07,0.0016391013392429892,0.00036599585787379884,True,False
H4,current_m3,3,"[4, 6, 8]","[-1.287422679806593e-05, 4.347200356111803e-07, 8.54946915336994e-09]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.5062642193550235,170,2.7087235765918206e-09,0.0005367192928631649,0.0001019008917092124,True,False
H4,two_term_center,1,[4],[-2.1810805474813326e-05],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.3187560122987798,151,5.740289242730407e-05,0.01812090938515967,0.008803361376914622,True,False
H4,two_term_center,2,"[4, 6]","[-2.188963317068536e-05, 5.933620057248282e-07]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.3187560122987798,151,1.1378959529713467e-08,9.726692366420443e-05,3.6845848910558e-05,True,False
H4,two_term_center,3,"[4, 6, 8]","[-2.188959714549257e-05, 5.925063799990484e-07, 2.7187083177037317e-09]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",1.3187560122987798,151,3.756770431984606e-09,3.0603473157346865e-05,1.6873379852124296e-05,True,False
H4,morales_y8m10b,1,[8],[8.07692183282024e-11],5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",3.8895265239324304,67,8.423237142776967e-05,0.3810322599558952,0.0559911142936257,False,True
H4,morales_y8m10b,2,"[8, 10]","[9.68161253086496e-11, -7.045614246710194e-12]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",3.8895265239324304,67,7.77582663662547e-06,0.4107930886292598,0.06542290041797369,False,True
H4,morales_y8m10b,3,"[8, 10, 12]","[9.977421969060815e-11, -1.1143654041946208e-11, 7.595241338683346e-13]",5,"independent points through min(1.2*t_ana, branch-reliable-prefix)",3.8895265239324304,67,1.667568405229309e-06,0.3730611557520806,0.053902717176491366,False,True
