dataset,condition,formula,target_name,target_error_hartree,source_status,analysis_status,model_name,formal_order,rotations,alpha,source_analytic_time_ca_div_10,target_analytic_time,saved_direct_point_count,model_time,model_relative_to_target_t_ana,model_signed_shift_hartree,model_absolute_error_hartree,model_cost,model_optimum_at_search_boundary,model_status,nearest_direct_time,nearest_direct_time_relative_mismatch,model_time_direct_point_covered,nearest_direct_error_hartree,nearest_direct_cost,direct_grid_status,direct_grid_minimum_time,direct_grid_minimum_cost,direct_grid_minimum_error_hartree,direct_grid_minimum_bracketed,direct_grid_minimum_lower_gap_fraction,direct_grid_minimum_upper_gap_fraction,feasible_saved_point_count,local_unseen_point_count,local_unseen_coverage,full_existing_curve_coverage,check_eta_star,check_eta_min,check_eta_t,check_maximum_local_unseen_residual_over_target_error,fixed_model_passed,maximum_local_unseen_residual_over_target_error,eta_star,eta_min,eta_t
nh3,active_equilibrium,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term,4,53256,5.2585718930575064e-05,0.8823388098688723,1.5690449382680633,97,1.6537733649345387,1.054,-0.00034009448690527363,0.00034009448690527363,30828153.531267904,False,complete,1.0298592413378738,0.3772670045519577,False,5.588583962066152e-05,40354900.14895633,complete,1.0298592413378738,40354900.14895633,5.588583962066152e-05,False,0.0006404256367311677,,97,0,False,False,False,False,False,False,False,,,,
nh3,active_equilibrium,current_m3,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term,4,53256,5.2585718930575064e-05,0.8823388098688723,0.8823388098688723,97,0.8949562548499971,1.0143,-3.2408035972924996e-05,3.2408035972924996e-05,562481862.9976848,False,complete,0.8949562548499971,0.0,True,3.236003995448085e-05,562269289.0118884,complete,0.895529775076412,562268423.2711293,3.244117857103845e-05,True,0.0006404256367310006,0.00497561456229361,97,89,True,True,True,True,True,True,True,0.0011139719353311407,0.0003780643722690623,1.5397285768603552e-06,0.0006404256367309458
nh3,active_equilibrium,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term,4,53256,5.2585718930575064e-05,0.8823388098688723,0.4961755756085371,97,0.4982843218048734,1.00425,-3.203234398908623e-06,3.203234398908623e-06,10072790201.114641,False,complete,0.4411694049344361,0.11462314660745698,False,1.9736536475313988e-06,10374948861.934633,complete,0.4411694049344361,10374948861.934633,1.9736536475313988e-06,False,0.2,,5,0,False,False,False,False,False,False,False,,,,
nh3,active_equilibrium,morales_y8m10b,CA,0.0015936001019904,short_time_fit_failed,short_time_fit_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh3,active_equilibrium,morales_y8m10b,CA_div_10,0.00015936001019904,short_time_fit_failed,short_time_fit_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh3,active_equilibrium,morales_y8m10b,CA_div_100,1.5936001019904e-05,short_time_fit_failed,short_time_fit_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nh3,active_equilibrium,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term,4,22884,0.01924936184239475,0.2017196714172808,0.35871393828116743,74,0.3623010776639791,1.01,-0.000322435195235139,0.000322435195235139,59626822.233556814,False,complete,0.23268515387736902,0.35775748894355786,False,5.5787437150199916e-05,76743407.27260794,complete,0.23268515387736902,76743407.27260794,5.5787437150199916e-05,False,0.0025920941129554025,,74,0,False,False,False,False,False,False,False,,,,
nh3,active_equilibrium,yoshida4,CA_div_10,0.00015936001019904,complete,validated_existing_curve,two_term,4,22884,0.01924936184239475,0.2017196714172808,0.2017196714172808,74,0.2023349164151035,1.00305,-3.198621903804046e-05,3.198621903804046e-05,1065521642.6923996,False,complete,0.2023349164151035,0.0,True,3.198683630041497e-05,1065526806.3104452,complete,0.2023349164151035,1065526806.3104452,3.198683630041497e-05,True,0.0025920941129553726,0.0069288669557848615,74,67,True,True,True,True,True,True,True,1.3338261193954427e-05,4.846070521161555e-06,0.0,0.0
nh3,active_equilibrium,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term,4,22884,0.01924936184239475,0.2017196714172808,0.11343530734175547,74,0.11353739911836304,1.0009,-3.1904074250023697e-06,3.1904074250023697e-06,18976415343.634815,False,complete,0.1008598357086404,0.11165980115949492,False,1.9879963147581633e-06,19520136197.5085,complete,0.1008598357086404,19520136197.5085,1.9879963147581633e-06,False,0.19999999999999993,,5,0,False,False,False,False,False,False,False,,,,
nh3,active_equilibrium,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term,6,53256,0.00118229278286336,0.5177173407119202,0.7599051335322019,97,0.7773069610900892,1.0229,0.0002347181986376425,0.0002347181986376425,60502806.1543731,False,complete,0.6016263787078046,0.22601184754078574,False,5.2645679915408854e-05,68933943.93349323,complete,0.6016263787078046,68933943.93349323,5.2645679915408854e-05,False,0.00024740227610071274,,97,0,False,False,False,False,False,False,False,,,,
