dataset,condition,formula,target_name,target_error_hartree,source_status,analysis_status,model_name,formal_order,rotations,alpha,source_analytic_time_ca_div_10,target_analytic_time,saved_direct_point_count,model_time,model_relative_to_target_t_ana,model_signed_shift_hartree,model_absolute_error_hartree,model_cost,model_optimum_at_search_boundary,model_status,nearest_direct_time,nearest_direct_time_relative_mismatch,model_time_direct_point_covered,nearest_direct_error_hartree,nearest_direct_cost,direct_grid_status,direct_grid_minimum_time,direct_grid_minimum_cost,direct_grid_minimum_error_hartree,direct_grid_minimum_bracketed,direct_grid_minimum_lower_gap_fraction,direct_grid_minimum_upper_gap_fraction,feasible_saved_point_count,local_unseen_point_count,local_unseen_coverage,maximum_local_unseen_residual_over_target_error,eta_star,eta_min,eta_t,full_existing_curve_coverage,check_eta_star,check_eta_min,check_eta_t,check_maximum_local_unseen_residual_over_target_error,fixed_model_passed
nh3,active_stretch150,morales_y8m10b,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term,8,158886,1.5777177559298548e-10,4.278223222592864,5.7051023589064265,87,5.135162633251674,0.9001,0.00011954887697927615,0.00011954887697927615,25188372.033489287,False,complete,5.151194671162937,0.0031220117173018647,True,0.0004052319575405811,31146404.06161341,complete,5.905437028239425,20651732.703634713,3.0242464714000906e-05,False,0.04347826086956504,,87,38,True,0.38290637535701083,0.19129116851942274,0.508173890713375,0.13043478260869557,False,False,False,False,False,False
nh3,active_stretch150,morales_y8m10b,CA_div_100,1.5936001019904e-05,complete,validated_existing_curve,three_term,8,158886,1.5777177559298548e-10,4.278223222592864,3.208214820854027,87,3.638115606848467,1.1340000000000001,3.69641471289958e-07,3.69641471289958e-07,3366691518.729621,False,complete,3.636489739203934,0.00044689829027766415,True,5.336081807795608e-06,4946317113.280328,complete,4.6331874033713945,2726391852.2035775,8.421959968762169e-07,True,0.002742458239840498,0.011763945446318856,70,30,True,2.0341032306895577,0.3193538866138571,0.8142355836643653,0.21477046143198342,True,False,False,False,False,False
nh3,full_equilibrium,morales_y8m10b,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term,8,257428,0.001951924425949256,0.5555321914432513,0.7408140835462345,59,0.5066797924414471,0.6839500000000001,0.00011684650281592361,0.00011684650281592361,412852963.8060206,False,complete,0.5055342942133587,0.0022607931975514584,True,3.282761838086595e-06,384240033.86413616,complete,1.0423589391097585,206598865.71765247,0.00015912900982374331,False,0.045454545454545414,0.045454545454545414,59,27,True,0.49483444949660765,0.07446629039180684,0.8598361250891682,0.5139104454035918,False,False,False,False,False,False
nh3,full_equilibrium,morales_y8m10b,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term,8,257428,0.001951924425949256,0.5555321914432513,0.4165903734610634,59,0.35501831626351826,0.8522000000000001,1.0163454601763049e-06,1.0163454601763049e-06,58321337029.16994,False,complete,0.35501831626351826,0.0,True,8.688951157625674e-06,120067375938.33185,complete,0.5555321914432513,37576075164.161835,1.1375457999703067e-06,False,0.020000000000000066,,37,11,True,0.7685587539124072,0.5142615837700615,2.195314449787083,0.36094015480688113,False,False,False,False,False,False
p03,HF_full_stretch150_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,9108,0.001106261335019731,0.411991164890432,0.732635405642606,47,0.42991045603108125,0.5868000000000001,0.0002064319018531555,0.0002064319018531555,18327242.897090394,False,complete,0.42991045603108125,0.0,True,6.267454657379383e-08,15953794.435701236,complete,0.4943970244357434,14289179.916335275,4.649037999830446e-05,False,0.04347826086956505,,47,7,True,0.35504530497087533,0.14877015439523775,0.11649475541020982,0.13043478260869557,False,False,False,False,False,False
p03,HF_full_stretch150_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,9108,0.001106261335019731,0.411991164890432,0.23167965763120116,47,0.23037066756558489,0.9943500000000001,5.29551622138899e-07,5.29551622138899e-07,3079459702.59041,False,complete,0.23037066756558489,0.0,True,6.20833487325094e-06,4877176021.993676,complete,0.42991045603108125,1601615678.0842211,6.267454657379383e-08,False,0.050000000000000065,,38,10,True,34.7301698752199,0.36859779333295445,2.0451600148092517,0.4641426735875208,False,False,False,False,False,False
p03,HF_full_stretch150_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,3948,0.40058037670727464,0.09444520605881988,0.1679499653112827,47,0.18954833085031367,1.1286,7.63602098641466e-05,7.63602098641466e-05,16473435.231822798,False,complete,0.18954833085031367,0.0,True,0.00011745792529539827,16932077.06458204,complete,0.20850316393534504,14482962.273755025,2.4725107443924754e-05,False,0.04545454545454547,0.04545454545454534,47,10,True,0.20256849809321512,0.02708715717569066,0.1691031671928831,0.09090909090909094,False,False,False,False,False,False
p03,HF_full_stretch150_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,3948,0.40058037670727464,0.09444520605881988,0.05311044233299236,47,0.05472234425779868,1.03035,-3.327717641801435e-06,3.327717641801435e-06,6866536530.398389,False,complete,0.05472234425779868,0.0,True,3.3289466864840346e-06,6867205939.761383,complete,0.11218300743132989,5881111371.968948,8.755216284172487e-06,False,0.4390353999469128,,13,7,True,0.00043704508952017605,9.747914491952082e-05,0.16767146639875619,0.5122046956060111,False,True,False,False,True,False
p03,HF_full_stretch150_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,9108,11.49749652334009,0.112058895352307,0.16447996452865435,26,0.16679913202850838,1.0141,0.00015354373755366643,0.00015354373755366643,45502052.869070075,False,complete,0.16679913202850838,0.0,True,3.9956550908381666e-05,42175388.80356859,complete,0.1918190018327846,36969150.11356928,5.234980033767412e-05,False,0.04347826086956493,,26,9,True,0.3666405283110655,0.07887690332851205,0.1408265722637856,0.13043478260869557,False,False,False,False,False,False
p03,HF_full_stretch150_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,9108,11.49749652334009,0.112058895352307,0.0763448366709228,26,0.08358996167099338,1.0949,2.6046497938262367e-06,2.6046497938262367e-06,9807898696.217733,False,complete,0.08358996167099338,0.0,True,2.5893008704701506e-06,9796619452.383154,complete,0.08358996167099338,9796619452.383154,2.5893008704701506e-06,False,0.050000000000000024,0.050000000000000024,15,7,True,0.006880470703386345,0.001151340407719486,0.0,0.0,False,True,True,True,True,False
p03,N2_active_eq_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,19176,0.00017505408662476412,0.6532196982527025,1.161607139634619,65,1.2157961126985741,1.04665,-0.0003369404334093147,0.0003369404334093147,15061243.834756726,False,complete,1.2157961126985741,0.0,True,0.000323144220129028,14897689.841912622,complete,1.3373757239684316,14768172.583877802,0.000428511181062845,False,0.045454545454545484,0.04545454545454532,65,7,True,0.03187567825350602,0.010978480192544209,0.008770026033973366,0.09090909090909094,False,False,True,False,True,False
p03,N2_active_eq_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,19176,0.00017505408662476412,0.6532196982527025,0.3673324307558647,65,0.36874666061427475,1.00385,-3.2011850644583863e-06,3.2011850644583863e-06,4900252942.970541,False,complete,0.36874666061427475,0.0,True,3.2011091396006005e-06,4900223727.880903,complete,0.36874666061427475,4900223727.880903,3.2011091396006005e-06,False,0.05000000000000007,0.05000000000000007,12,7,True,3.3110510465855166e-05,5.9619909743162655e-06,0.0,0.0,False,True,True,True,True,False
p03,N2_active_eq_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,8296,0.06404872479004288,0.14935670167739665,0.2655979473442403,42,0.26748369277038436,1.0070999999999999,-0.00032136498221259905,0.00032136498221259905,29254002.83580625,False,complete,0.26748369277038436,0.0,True,0.00032132777635011207,29253147.34254057,complete,0.26748369277038436,29253147.34254057,0.00032132777635011207,False,0.050000000000000114,0.050000000000000114,42,7,True,7.33232016949554e-05,2.9244486265479258e-05,0.0,0.0,False,True,True,True,True,False
p03,N2_active_eq_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,8296,0.06404872479004288,0.14935670167739665,0.08398944554732686,42,0.08404403868693262,1.00065,-3.1898373445240113e-06,3.1898373445240113e-06,9293163636.866999,False,complete,0.08404403868693262,0.0,True,3.1898367375838735e-06,9293163194.350027,complete,0.08404403868693262,9293163194.350027,3.1898367375838735e-06,False,0.04999999999999999,0.04999999999999999,12,7,True,2.3238980330065956e-07,4.761747559293613e-08,0.0,0.0,False,True,True,True,True,False
p03,N2_active_eq_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,19176,0.007050042597146682,0.38445743250709524,0.5643063378657756,42,0.5780471971928073,1.02435,0.00023506236810089936,0.00023506236810089936,29302472.141259164,False,complete,0.5780471971928073,0.0,True,0.00023467946720929275,29294215.63059769,complete,0.5780471971928073,29294215.63059769,0.00023467946720929275,False,0.050000000000000065,0.050000000000000065,42,7,True,0.0010510704107601677,0.00028184781479014817,0.0,0.0,False,True,True,True,True,False
p03,N2_active_eq_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,19176,0.007050042597146682,0.38445743250709524,0.26192779965747043,42,0.26323743865575777,1.005,2.2921611041755745e-06,2.2921611041755745e-06,6407004005.902914,False,complete,0.26323743865575777,0.0,True,2.2921099363230474e-06,6406979978.106584,complete,0.26323743865575777,6406979978.106584,2.2921099363230474e-06,False,0.050000000000000024,0.050000000000000024,17,7,True,1.8851471370907743e-05,3.750253069708009e-06,0.0,0.0,False,True,True,True,True,False
p03,N2_active_stretch150_sto3g,current_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,18952,1.6956502752989327e-05,1.1708958451897937,2.082179972801132,65,2.3890933007920188,1.1474,-0.00038550951514048607,0.00038550951514048607,7879591.133603601,False,complete,2.3890933007920188,0.0,True,0.0003483698986087966,7644578.368627439,complete,2.7474572959108214,6486068.085172938,0.00031738511697694,False,0.04347826086956504,,65,7,True,0.5631811055489054,0.03074241032581073,0.1786151900105457,0.13043478260869557,False,False,False,False,False,False
p03,N2_active_stretch150_sto3g,current_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,18952,1.6956502752989327e-05,1.1708958451897937,0.6584431212439024,65,0.663941121306289,1.00835,-3.21822291206032e-06,3.21822291206032e-06,2693366677.9667206,False,complete,0.663941121306289,0.0,True,3.2181371671478415e-06,2693348519.0610466,complete,0.663941121306289,2693348519.0610466,3.2181371671478415e-06,False,0.05000000000000013,0.05000000000000013,12,7,True,3.780659779371471e-05,6.742129934343313e-06,0.0,0.0,False,True,True,True,True,False
p03,N2_active_stretch150_sto3g,yoshida4,CA,0.0015936001019904,complete,insufficient_existing_curve,two_term_5point,4,8200,0.0062037317732908945,0.2677250960664678,0.4760900258856924,88,0.4921818687606288,1.0338,-0.00033168370496004264,0.00033168370496004264,15843054.056385785,False,complete,0.4921818687606288,0.0,True,0.00033303244253305526,15860005.246682318,complete,0.4921818687606288,15860005.246682318,0.00033303244253305526,False,0.050000000000000065,0.050000000000000065,88,7,True,0.0026278164168018646,0.001068801052261854,0.0,0.0,False,True,True,True,True,False
p03,N2_active_stretch150_sto3g,yoshida4,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,two_term_5point,4,8200,0.0062037317732908945,0.2677250960664678,0.15055288530873104,88,0.15098948867612635,1.0029,-3.198119984770689e-06,3.198119984770689e-06,5116243378.08529,False,complete,0.15098948867612635,0.0,True,3.1981350373070815e-06,5116249424.030485,complete,0.15098948867612635,5116249424.030485,3.1981350373070815e-06,False,0.050000000000000044,0.050000000000000044,12,7,True,6.4639381826937215e-06,1.1817143172889287e-06,0.0,0.0,False,True,True,True,True,False
p03,N2_active_stretch150_sto3g,yoshida6_m3,CA,0.0015936001019904,complete,insufficient_existing_curve,three_term_5point,6,18952,0.00026771507062511916,0.6631341822259273,0.9733478670063762,42,1.005079007470784,1.0326,0.00023685297158444217,0.00023685297158444217,16677739.262465602,False,complete,1.005079007470784,0.0,True,0.00023599542450280283,16667204.570835534,complete,1.005079007470784,16667204.570835534,0.00023599542450280283,False,0.0500000000000001,0.0500000000000001,42,7,True,0.0029355862858623572,0.0006320610985060463,0.0,0.0,False,True,True,True,True,False
p03,N2_active_stretch150_sto3g,yoshida6_m3,CA_div_100,1.5936001019904e-05,complete,insufficient_existing_curve,three_term_5point,6,18952,0.00026771507062511916,0.6631341822259273,0.4517880590717612,42,0.4550183436941243,1.00715,2.298266414619875e-06,2.298266414619875e-06,3664925525.681694,False,complete,0.4550183436941243,0.0,True,2.29824655070264e-06,3664920187.5758142,complete,0.4550183436941243,3664920187.5758142,2.29824655070264e-06,False,0.05000000000000004,0.05000000000000004,17,7,True,1.0383712320404161e-05,1.4565408266952072e-06,0.0,0.0,False,True,True,True,True,False
