condition,direct_grid_minimum_cost,formula,ratio_to_m5
active_equilibrium,1065526806.3104452,yoshida4,3.2743337920277495
active_equilibrium,602819674.3653772,paper_new4,1.8524478394949315
active_equilibrium,325417893.8337802,m5_best,1.0
active_equilibrium,562268423.2711293,current_m3,1.7278349897941678
active_equilibrium,645513391.8874203,two_term_center,1.9836444280385552
active_equilibrium,1417519224.9905045,joint_refine_r0_s0046,4.355996556583201
active_equilibrium,896628623.8038198,yoshida6_m3,2.755314445805514
active_equilibrium,,morales_y8m10b,
active_stretch150,694325475.1855178,yoshida4,3.6717160012884595
active_stretch150,389522455.9464308,paper_new4,2.0598636885353336
active_stretch150,189101083.78258795,m5_best,1.0
active_stretch150,364171347.6487074,current_m3,1.9258025409700987
active_stretch150,419384683.994181,two_term_center,2.217780435760766
active_stretch150,922570097.5936056,joint_refine_r0_s0046,4.878713961546074
active_stretch150,615835758.6424493,yoshida6_m3,3.25664848833169
active_stretch150,249006195.39890087,morales_y8m10b,1.3167888328191002
full_equilibrium,4920391551.071749,yoshida4,3.044695220482924
full_equilibrium,2969660669.532864,paper_new4,1.8376000269761834
full_equilibrium,1616053888.734163,m5_best,1.0
full_equilibrium,1876615025.2337036,current_m3,1.1612329504083774
full_equilibrium,2907325525.0103807,two_term_center,1.7990275852048823
full_equilibrium,6524455855.370318,joint_refine_r0_s0046,4.037276170586646
full_equilibrium,6717656401.105524,yoshida6_m3,4.156826977080194
full_equilibrium,3514468490.739682,morales_y8m10b,2.1747223376892006
full_stretch150,3199463792.3840685,yoshida4,2.629924528813158
full_stretch150,1510151667.2631207,paper_new4,1.2413282880141474
full_stretch150,1216561067.5633852,m5_best,1.0
full_stretch150,1428632155.3832188,current_m3,1.1743201335914724
full_stretch150,1709918884.4163473,two_term_center,1.4055347733929164
full_stretch150,3970358404.294416,joint_refine_r0_s0046,3.263591536959613
full_stretch150,4748349458.856163,yoshida6_m3,3.9030917439816597
full_stretch150,,morales_y8m10b,
