condition,formula,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
HF_full_eq_sto3g,yoshida4,1,-37.28198891050634,0.5623239661768551,0.01403621097344521,0.0,0.01403621097344521,-0.0003503589217982948
HF_full_eq_sto3g,yoshida4,2,-36.977558128036556,0.8667547486466418,-0.20661033386718944,0.0,0.20661033386718944,-0.04925018308508217
HF_full_eq_sto3g,yoshida4,3,-36.62916101648131,1.2151518602018854,3.794875797274191e-16,0.0,3.794875797274191e-16,-1.1851261384190145e-31
HF_full_eq_sto3g,yoshida4,4,-36.52162027628482,1.3226926003983763,9.146320148480891e-05,0.0,9.146320148480891e-05,-6.3246117981843815e-09
HF_full_eq_sto3g,yoshida4,5,-36.52162027628481,1.3226926003983905,-0.00014090240487087024,0.0,0.00014090240487087024,-1.5009903051105626e-08
HF_full_eq_sto3g,yoshida4,6,-36.502645495210416,1.3416673814727815,0.7465780074478817,0.0,0.7465780074478817,-0.4154373348430077
HF_full_eq_sto3g,yoshida4,7,-36.41307291398663,1.4312399626965657,0.005603766531836222,0.0,0.005603766531836222,-2.1940555156218258e-05
HF_full_eq_sto3g,yoshida4,8,-36.28832935938466,1.555983517298536,3.119398314972368,0.0,3.119398314972368,-6.2536946820275965
HF_full_eq_sto3g,yoshida4,9,-36.15637428576388,1.687938590919316,1.219029273892943,0.0,1.219029273892943,-0.8803829585995812
HF_full_eq_sto3g,yoshida4,10,-35.613003761760396,2.2313091149228015,0.010618769059462336,0.0,0.010618769059462336,-5.05345743375838e-05
HF_full_eq_sto3g,yoshida4,11,-35.250442321009416,2.5938705556737816,0.7003840704465577,0.0,0.7003840704465577,-0.18911423511951891
HF_full_eq_sto3g,yoshida4,12,-34.49478032802534,3.349532548657855,-5.3245981317089015,0.0,5.3245981317089015,-8.46426922334527
HF_full_eq_sto3g,yoshida4,13,-12.312182046342418,25.53213083034078,-0.1360913163288852,0.0,0.1360913163288852,-0.0007253936815222521
HF_full_eq_sto3g,yoshida4,14,-12.286633313255049,25.55767956342815,5.841655398855611,0.0,5.841655398855611,-1.3352126790027568
HF_full_eq_sto3g,yoshida4,15,-11.209182718101394,26.635130158581802,-0.19642242659692,0.0,0.19642242659692,-0.0014485294211258595
HF_full_eq_sto3g,yoshida4,16,-11.15477324310148,26.689539633581717,-1.5247429008168463,0.0,1.5247429008168463,-0.0871068195820873
HF_full_eq_sto3g,yoshida4,17,-10.32989793590287,27.514414940780327,0.08112349154291479,0.0,0.08112349154291479,-0.00023918447454826113
HF_full_eq_sto3g,yoshida4,18,-10.178508211340203,27.665804665342996,12.851930179936032,0.0,12.851930179936032,-5.970262255081343
HF_full_eq_sto3g,yoshida4,19,17.827463322291386,55.671776198974584,-83.32485555526829,0.0,83.32485555526829,-124.71367050498755
HF_full_eq_sto3g,current_m3,1,-37.28198891050634,0.5623239661768551,2.9033350775664078e-05,0.0,2.9033350775664078e-05,-1.49902104118686e-09
HF_full_eq_sto3g,current_m3,2,-36.977558128036556,0.8667547486466418,-0.0005013465749548779,0.0,0.0005013465749548779,-2.8998789866619656e-07
HF_full_eq_sto3g,current_m3,3,-36.62916101648131,1.2151518602018854,1.2532579051081068e-18,0.0,1.2532579051081068e-18,-1.2925589205410192e-36
HF_full_eq_sto3g,current_m3,4,-36.52162027628482,1.3226926003983763,-3.803973796542726e-06,0.0,3.803973796542726e-06,-1.0939969453541553e-11
HF_full_eq_sto3g,current_m3,5,-36.52162027628481,1.3226926003983905,5.860160668933621e-06,0.0,5.860160668933621e-06,-2.5963313815600846e-11
HF_full_eq_sto3g,current_m3,6,-36.502645495210416,1.3416673814727815,0.0019438013654741629,0.0,0.0019438013654741629,-2.8161702375678367e-06
HF_full_eq_sto3g,current_m3,7,-36.41307291398663,1.4312399626965657,6.365001135960946e-06,0.0,6.365001135960946e-06,-2.830639202140086e-11
HF_full_eq_sto3g,current_m3,8,-36.28832935938466,1.555983517298536,0.008639736401909555,0.0,0.008639736401909555,-4.797290219634083e-05
HF_full_eq_sto3g,current_m3,9,-36.15637428576388,1.687938590919316,0.003588227035058316,0.0,0.003588227035058316,-7.6278682911746045e-06
HF_full_eq_sto3g,current_m3,10,-35.613003761760396,2.2313091149228015,1.4512300155069326e-06,0.0,1.4512300155069326e-06,-9.43871265448184e-13
HF_full_eq_sto3g,current_m3,11,-35.250442321009416,2.5938705556737816,0.0018176637644319884,0.0,0.0018176637644319884,-1.273734170466671e-06
HF_full_eq_sto3g,current_m3,12,-34.49478032802534,3.349532548657855,-0.014716636556348733,0.0,0.014716636556348733,-6.465958708729145e-05
HF_full_eq_sto3g,current_m3,13,-12.312182046342418,25.53213083034078,-0.0030188547645558493,0.0,0.0030188547645558493,-3.569417746618962e-07
HF_full_eq_sto3g,current_m3,14,-12.286633313255049,25.55767956342815,0.07967037460380134,0.0,0.07967037460380134,-0.00024835465104558333
HF_full_eq_sto3g,current_m3,15,-11.209182718101394,26.635130158581802,-0.004615612673694916,0.0,0.004615612673694916,-7.998414209629476e-07
HF_full_eq_sto3g,current_m3,16,-11.15477324310148,26.689539633581717,-0.050826969223372584,0.0,0.050826969223372584,-9.67937565016357e-05
HF_full_eq_sto3g,current_m3,17,-10.32989793590287,27.514414940780327,0.0021806676085539354,0.0,0.0021806676085539354,-1.7282981408949687e-07
HF_full_eq_sto3g,current_m3,18,-10.178508211340203,27.665804665342996,-0.5913264902906497,0.0,0.5913264902906497,-0.012638960707963297
HF_full_eq_sto3g,current_m3,19,17.827463322291386,55.671776198974584,-14.04028015547493,0.0,14.04028015547493,-3.5409228931311523
HF_full_stretch150_sto3g,yoshida4,1,-37.09929377776557,0.17519102632642358,0.009447145136554277,0.0,0.009447145136554277,-0.0005094356320787191
HF_full_stretch150_sto3g,yoshida4,2,-36.63742481906297,0.6370599850290191,-0.25675130829703097,0.0,0.25675130829703097,-0.10347727978745082
HF_full_stretch150_sto3g,yoshida4,3,-36.58685182048039,0.6876329836116,6.09317052434302e-14,0.0,6.09317052434302e-14,-5.399206833233164e-27
HF_full_stretch150_sto3g,yoshida4,4,-36.47931108028391,0.7951737238080838,-0.0009724882286055257,0.0,0.0009724882286055257,-1.189341808538642e-06
HF_full_stretch150_sto3g,yoshida4,5,-36.47931108028389,0.795173723808098,0.001198070141985841,0.0,0.001198070141985841,-1.8051050005072556e-06
HF_full_stretch150_sto3g,yoshida4,6,-36.455308895655776,0.8191759084362147,0.4491325944046996,0.0,0.4491325944046996,-0.24624758281987902
HF_full_stretch150_sto3g,yoshida4,7,-36.36095851718716,0.9135262869048333,1.3491443370223595,0.0,1.3491443370223595,-1.992488304071233
HF_full_stretch150_sto3g,yoshida4,8,-36.17455233394802,1.099932470143969,0.002315731356858281,0.0,0.002315731356858281,-4.875400865686589e-06
HF_full_stretch150_sto3g,yoshida4,9,-36.086882715467866,1.187602088624125,-0.6245129537904021,0.0,0.6245129537904021,-0.3284066550471121
HF_full_stretch150_sto3g,yoshida4,10,-35.69783694410113,1.5766478599908638,-0.0033511591532395094,0.0,0.0033511591532395094,-7.122876296807343e-06
HF_full_stretch150_sto3g,yoshida4,11,-35.337702503345845,1.9367823007461453,0.0674079685052005,0.0,0.0674079685052005,-0.002346073803053441
HF_full_stretch150_sto3g,yoshida4,12,-34.506208631112834,2.7682761729791565,2.752233191064516,0.0,2.752233191064516,-2.7362831829908623
HF_full_stretch150_sto3g,yoshida4,13,-12.04667393409727,25.22781086999472,0.07871323311234552,0.0,0.07871323311234552,-0.0002455929727286616
HF_full_stretch150_sto3g,yoshida4,14,-12.039947287452707,25.234537516639286,-1.9453448537858122,0.0,1.9453448537858122,-0.14996774153897557
HF_full_stretch150_sto3g,yoshida4,15,-11.153333136606205,26.121151667485783,-0.14212313051395778,0.0,0.14212313051395778,-0.0007732807681764696
HF_full_stretch150_sto3g,yoshida4,16,-11.09588531998875,26.17859948410324,0.7810944886647188,0.0,0.7810944886647188,-0.023305624145129777
HF_full_stretch150_sto3g,yoshida4,17,-10.228297642582074,27.046187161509916,0.024079172683387214,0.0,0.024079172683387214,-2.143764493139047e-05
HF_full_stretch150_sto3g,yoshida4,18,-10.078243882586783,27.196240921505208,-5.098023540996649,0.0,5.098023540996649,-0.9556410424355651
HF_full_stretch150_sto3g,yoshida4,19,18.040561484111993,55.31504628820399,39.914517870949936,0.0,39.914517870949936,-28.80172473452539
HF_full_stretch150_sto3g,current_m3,1,-37.09929377776557,0.17519102632642358,2.5353704149670012e-05,0.0,2.5353704149670012e-05,-3.6691965769484225e-09
HF_full_stretch150_sto3g,current_m3,2,-36.63742481906297,0.6370599850290191,-0.0006908696484928622,0.0,0.0006908696484928622,-7.492243782772028e-07
HF_full_stretch150_sto3g,current_m3,3,-36.58685182048039,0.6876329836116,1.6407716758269551e-16,0.0,1.6407716758269551e-16,-3.915070621040204e-32
HF_full_stretch150_sto3g,current_m3,4,-36.47931108028391,0.7951737238080838,-1.0345465210170877e-06,0.0,1.0345465210170877e-06,-1.3459782084133284e-12
HF_full_stretch150_sto3g,current_m3,5,-36.47931108028389,0.795173723808098,1.2745237017942384e-06,0.0,1.2745237017942384e-06,-2.0428374552619313e-12
HF_full_stretch150_sto3g,current_m3,6,-36.455308895655776,0.8191759084362147,0.0012062370056929732,0.0,0.0012062370056929732,-1.7761846984498378e-06
HF_full_stretch150_sto3g,current_m3,7,-36.36095851718716,0.9135262869048333,0.0036813530716574973,0.0,0.0036813530716574973,-1.4835216711846967e-05
HF_full_stretch150_sto3g,current_m3,8,-36.17455233394802,1.099932470143969,8.522695361044682e-06,0.0,8.522695361044682e-06,-6.603708699286353e-11
HF_full_stretch150_sto3g,current_m3,9,-36.086882715467866,1.187602088624125,-0.0018244526606606565,0.0,0.0018244526606606565,-2.8028137899690544e-06
HF_full_stretch150_sto3g,current_m3,10,-35.69783694410113,1.5766478599908638,5.5914656293963245e-06,0.0,5.5914656293963245e-06,-1.9829721447693213e-11
HF_full_stretch150_sto3g,current_m3,11,-35.337702503345845,1.9367823007461453,0.0002879420071490978,0.0,0.0002879420071490978,-4.280842480288558e-08
HF_full_stretch150_sto3g,current_m3,12,-34.506208631112834,2.7682761729791565,0.007330866699219798,0.0,0.007330866699219798,-1.9413383348921527e-05
HF_full_stretch150_sto3g,current_m3,13,-12.04667393409727,25.22781086999472,0.0017260785494815183,0.0,0.0017260785494815183,-1.1809772850817499e-07
HF_full_stretch150_sto3g,current_m3,14,-12.039947287452707,25.234537516639286,-0.10221488873970648,0.0,0.10221488873970648,-0.0004140311061053286
HF_full_stretch150_sto3g,current_m3,15,-11.153333136606205,26.121151667485783,-0.003322940693821624,0.0,0.003322940693821624,-4.2272006208670153e-07
