condition,formula,window_id,minimum_relative_to_t_ana,maximum_relative_to_t_ana,point_count,scaled_design_condition_number,training_residual_frobenius_max,minimum_branch_cut_margin_radians,maximum_unitary_reconstruction_residual_frobenius,point_role,used_as_direct_truth,relative_error_d4,relative_error_d6,relative_error_d8
HF_full_eq_sto3g,yoshida4,lower,0.25,0.75,11,6051.894295117071,2.8748727001866584e-10,1.2046383611032516,1.205686994014063e-13,f01_finite_log_diagnostic_only,False,1.904627186004867e-05,0.0011091919541875723,0.022062770347311945
HF_full_eq_sto3g,yoshida4,middle,0.35,1.0,14,4880.822569324045,5.573707072734306e-08,0.5589856814022451,1.2014195731897496e-13,f01_finite_log_diagnostic_only,False,0.0008091050108276863,0.024466713903043336,0.25159887996934627
HF_full_eq_sto3g,yoshida4,upper,0.5,1.25,16,4749.882673983734,6.517946121308339,0.012729026199328253,1.249673211013863e-13,f01_finite_log_diagnostic_only,False,17684.624694909973,287050.58529975393,1537559.449471127
HF_full_eq_sto3g,current_m3,lower,0.25,0.75,11,6051.894295117258,108.76598671633465,0.002478196569859925,2.767635972453772e-13,f01_finite_log_diagnostic_only,False,55569.95585416378,73528.02690758427,38582.6922511064
HF_full_eq_sto3g,current_m3,middle,0.35,1.0,14,4880.822569324133,92.94174203487934,0.02007955300140063,2.827852609036987e-13,f01_finite_log_diagnostic_only,False,25376.73659133771,21772.240643185327,7051.697899525968
HF_full_eq_sto3g,current_m3,upper,0.5,1.25,16,4749.882673983825,48.657119837994564,0.003200782530570656,2.816462294954716e-13,f01_finite_log_diagnostic_only,False,6810.154525990721,3762.888948549499,809.5170126879237
HF_full_stretch150_sto3g,yoshida4,lower,0.25,0.75,11,6051.89429511701,5.236256646060638e-08,0.5012947388338618,1.0747046721970799e-13,f01_finite_log_diagnostic_only,False,0.0009221266131701585,0.027553178422705646,0.27906661812755784
HF_full_stretch150_sto3g,yoshida4,middle,0.35,1.0,14,4880.82256932434,35.65552291917149,0.002233071995376701,1.078164476583745e-13,f01_finite_log_diagnostic_only,False,59876.55802282751,815938.6505316863,3588315.7532374533
HF_full_stretch150_sto3g,yoshida4,upper,0.5,1.25,16,4749.882673983703,105.646174103079,0.0025769296326005886,1.0623086364000988e-13,f01_finite_log_diagnostic_only,False,26062.616137150777,237299.05317093717,678999.6337461072
HF_full_stretch150_sto3g,current_m3,lower,0.25,0.75,11,6051.894295117106,98.770181634387,0.018882882421994207,2.396153513021238e-13,f01_finite_log_diagnostic_only,False,26496.233136441293,22392.652724129646,7075.946356239593
HF_full_stretch150_sto3g,current_m3,middle,0.35,1.0,14,4880.822569324146,73.14474393555042,0.009710468977338849,2.4108672192457117e-13,f01_finite_log_diagnostic_only,False,4986.108785276866,2263.716883528365,401.24854068559574
HF_full_stretch150_sto3g,current_m3,upper,0.5,1.25,16,4749.882673983569,39.47912890692498,0.0005434471725132006,2.435394371809411e-13,f01_finite_log_diagnostic_only,False,1355.3633871378333,324.41996707261615,31.065587532352694
