order,operator_frobenius_norm,operator_spectral_norm,diagonal_frobenius_norm_in_h_basis,off_diagonal_frobenius_norm_in_h_basis,ground_expectation_real,ground_expectation_imaginary,ground_to_excited_coupling_norm,centered_action_norm,selected_ground_index,selected_reference_overlap_probability,minimum_excitation_gap_hartree,condition,formula,hermiticity_relative_residual,complex128_vs_clongdouble_relative_difference,h0_relative_frobenius,forbidden_order_max_relative_frobenius,stretch_over_equilibrium_frobenius_ratio,current_m3_over_yoshida4_frobenius_ratio,comparison_partner_condition,comparison_partner_formula
4,620.764260370776,475.22287130092894,287.4768504713978,550.1866296055565,-1.5068154110433307,0.0,84.76659774987627,84.76659774987571,0,1.0000000000000004,0.5623239661768551,HF_full_eq_sto3g,yoshida4,6.675073472712193e-16,3.7767993025957555e-11,2.2180623291502834e-16,4.033443450560797e-06,0.9415470968691301,0.144407140156424,HF_full_stretch150_sto3g,current_m3
6,45721.37098857463,33215.77772033619,3145.575363060169,45613.03674071899,50.389899003215746,0.0,8739.02201568431,8739.022015684248,0,1.0000000000000004,0.5623239661768551,HF_full_eq_sto3g,yoshida4,3.076456705086914e-14,7.671948904308422e-10,2.2180623291502834e-16,4.033443450560797e-06,0.9393803920455377,0.14663070748669418,HF_full_stretch150_sto3g,current_m3
8,3497893.49500635,2473831.904426656,3070.5719773751794,3497892.1472789077,-301.64388032337655,0.0,737931.538069728,737931.5380697233,0,1.0000000000000004,0.5623239661768551,HF_full_eq_sto3g,yoshida4,1.0028197881469894e-12,2.4332130370791426e-08,2.2180623291502834e-16,4.033443450560797e-06,0.9341551654761784,0.14146126492377148,HF_full_stretch150_sto3g,current_m3
4,89.64279155146154,64.09178389797403,0.7855197477631324,89.63934981839533,-0.00411731585480473,0.0,14.053057006173644,14.053057006173544,0,1.0,0.5623239661768551,HF_full_eq_sto3g,current_m3,4.620582742973806e-15,2.6678510643022286e-10,5.591352544506747e-17,4.036046926150755e-06,0.9399852115359588,0.144407140156424,HF_full_stretch150_sto3g,yoshida4
6,6704.156975316312,4743.021020056835,4.9608745852530705,6704.155139867039,0.07827582224091506,0.0,1307.7955582838135,1307.7955582838042,0,1.0,0.5623239661768551,HF_full_eq_sto3g,current_m3,1.8059195684396423e-13,4.735100587122649e-09,5.591352544506747e-17,4.036046926150755e-06,0.9310540950608779,0.14663070748669418,HF_full_stretch150_sto3g,yoshida4
8,494816.43837223016,349889.8624521811,190.09976155209586,494816.40185573814,6.519710716278959,0.0,107040.6687862692,107040.66878626848,0,1.0,0.5623239661768551,HF_full_eq_sto3g,current_m3,5.4921957864888015e-12,1.1368515776523714e-07,5.591352544506747e-17,4.036046926150755e-06,0.9252012031351492,0.14146126492377148,HF_full_stretch150_sto3g,yoshida4
4,584.4787871922169,447.38040957198297,274.61763669506297,515.946321135933,-0.4105505111581,0.0,40.41827950874646,40.418279508747915,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,yoshida4,1.0311197614633099e-15,4.1331821856847787e-11,2.219284725712502e-16,3.918877633074129e-06,0.9415470968691301,0.14416759038247695,HF_full_eq_sto3g,current_m3
6,42949.759404106706,31170.14848724424,2888.744153730148,42852.50272836983,13.491991142533083,0.0,4124.582633655566,4124.582633655718,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,yoshida4,3.30486121096654e-14,1.0189031357389327e-09,2.219284725712502e-16,3.918877633074129e-06,0.9393803920455377,0.14533103077644643,HF_full_eq_sto3g,current_m3
8,3267575.2766457046,2311131.907569117,2426.999436893068,3267574.375315731,-100.12989378982064,0.0,343609.074451425,343609.0744514375,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,yoshida4,7.47963698270593e-13,2.5803528979246494e-08,2.219284725712502e-16,3.918877633074129e-06,0.9341551654761784,0.14010534581562614,HF_full_eq_sto3g,current_m3
4,84.26289837917444,60.3805831510821,0.7503824268145389,84.2595571402592,-0.001121813059796003,0.0,6.827430274853067,6.827430274853304,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,current_m3,4.9099025487484516e-15,3.065081759501395e-10,5.61322207909061e-17,3.9242531817937336e-06,0.9399852115359588,0.14416759038247695,HF_full_eq_sto3g,yoshida4
6,6241.932805799202,4417.225050370455,4.644831373640971,6241.9310776116245,0.019769827840631228,0.0,625.6666190152101,625.6666190152318,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,current_m3,1.80625744658104e-13,5.711021224436329e-09,5.61322207909061e-17,3.9242531817937336e-06,0.9310540950608779,0.14533103077644643,HF_full_eq_sto3g,yoshida4
8,457804.76411303674,323717.6552966045,175.0797689114757,457804.73063487216,1.553791817621529,0.0,50546.986339724666,50546.98633972643,0,0.9999999999999984,0.17519102632642358,HF_full_stretch150_sto3g,current_m3,5.432092826433107e-12,2.0392746319307648e-07,5.61322207909061e-17,3.9242531817937336e-06,0.9252012031351492,0.14010534581562614,HF_full_eq_sto3g,yoshida4
