point_role,used_as_direct_truth,used_for_model_fit,used_for_cost_validation,source,time,signed_pf_eigenvalue_shift_hartree,committed_signed_shift_hartree,committed_shift_absolute_difference_hartree,ground_overlap_probability,adjacent_selected_vector_overlap_probability,phase_unwrap_integer,eigenpair_residual_2_norm,selected_phase_gap_radians,phase_gap_over_time_hartree,condition,formula,relative_to_t_ana,physical_excitation_gap_hartree,normalized_phase_gap_over_physical_gap,build_seconds
f05_diagnostic_only,False,False,False,reused_committed_point,0.006824288464710328,-3.262904613166029e-09,-3.262883030462957e-09,2.158270307173797e-14,1.0000000000000013,,0,5.303123293259431e-15,0.0038374609757405513,0.562323969097259,HF_full_eq_sto3g,yoshida4,0.1,0.5623239661768906,1.0000000051933913,0.03511646296828985
f05_diagnostic_only,False,False,False,reused_committed_point,0.013648576929420656,-5.196369556870195e-08,-5.196368011691725e-08,1.5451784697554617e-14,0.9999999999999873,0.9999999999999893,0,4.6948572511458556e-15,0.007674922546176107,0.5623240126692011,HF_full_eq_sto3g,yoshida4,0.2,0.5623239661768906,1.0000000826788706,0.03426452702842653
f05_diagnostic_only,False,False,False,reused_committed_point,0.02047286539413098,-2.610159128835221e-07,-2.6101595451229313e-07,4.1628771022561594e-14,0.9999999999996898,0.9999999999997982,0,5.313089805091144e-15,0.011512387645150373,0.5623241995451533,HF_full_eq_sto3g,yoshida4,0.3,0.5623239661768906,1.0000004150067874,0.03408757713623345
f05_diagnostic_only,False,False,False,reused_committed_point,0.02729715385884131,-8.159101057003681e-07,-8.159101517216025e-07,4.602123432994031e-14,0.9999999999968989,0.9999999999985478,0,4.652611687878058e-15,0.015349863716221736,0.5623246949333529,HF_full_eq_sto3g,yoshida4,0.4,0.5623239661768906,1.0000012959726174,0.03421320719644427
f05_diagnostic_only,False,False,False,reused_committed_point,0.03412144232355164,-1.9637993773358176e-06,-1.9637993807041004e-06,3.3682828424477177e-15,0.999999999981374,0.9999999999934728,0,4.617991166654424e-15,0.019187364550671136,0.56232571790869,HF_full_eq_sto3g,yoshida4,0.5,0.5623239661768906,1.0000031151647533,0.03472865396179259
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.05118216348532746,-9.453337384002225e-06,,,0.9999999994951185,0.9999999996694131,0,4.903481808769743e-15,0.028781386698225865,0.5623323583512977,HF_full_eq_sto3g,yoshida4,0.75,0.5623239661768906,1.000014924091648,0.03437200584448874
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.058006451950037785,-1.5188945340582904e-05,,,0.999999998551766,0.9999999997540316,0,4.5433405553008046e-15,0.032619198235355494,0.5623374148698341,HF_full_eq_sto3g,yoshida4,0.85,0.5623239661768906,1.000023916272029,0.03453891514800489
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.061418596182392954,-1.881220327959454e-05,,,0.9999999976254454,0.9999999998838642,0,4.848257064592772e-15,0.03453817012128737,0.5623405982565998,HF_full_eq_sto3g,yoshida4,0.9,0.5623239661768906,1.0000295773979229,0.03443440608680248
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.06483074041474811,-2.298950007428857e-05,,,0.9999999961651904,0.9999999998215314,0,4.491941536774059e-15,0.036457194651959214,0.5623442585836287,HF_full_eq_sto3g,yoshida4,0.95,0.5623239661768906,1.0000360866830487,0.0349622939247638
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.06824288464710328,-2.7753738457647614e-05,,,0.9999999938713873,0.99999999972408,0,5.288802102523805e-15,0.03837627840694165,0.5623484207238976,HF_full_eq_sto3g,yoshida4,1.0,0.5623239661768906,1.000043488359874,0.03471326385624707
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.07165502887945845,-3.3132262117874234e-05,,,0.999999990261015,0.9999999995682161,0,4.2415942259280984e-15,0.040295427887902024,0.5623531037254753,HF_full_eq_sto3g,yoshida4,1.05,0.5623239661768906,1.0000518163022338,0.034242826979607344
