condition,formula,excited_state_index,excited_energy_hartree,excitation_gap_hartree,d4_coupling_real,d4_coupling_imaginary,d4_coupling_absolute,mixing_contribution_hartree
HF_full_eq_sto3g,yoshida4,1,-37.28198891050632,0.5623239661768622,0.014036210973473889,0.0,0.014036210973473889,-0.00035035892179972205
HF_full_eq_sto3g,yoshida4,2,-36.97755812803661,0.8667547486465708,-0.20661033386705174,0.0,0.20661033386705174,-0.04925018308502056
HF_full_eq_sto3g,yoshida4,3,-36.6291610164813,1.2151518602018854,-1.0133625702746155e-16,0.0,1.0133625702746155e-16,-8.450826044597958e-33
HF_full_eq_sto3g,yoshida4,4,-36.52162027628483,1.322692600398355,-2.1699459219656245e-06,0.0,2.1699459219656245e-06,-3.559909008969383e-12
HF_full_eq_sto3g,yoshida4,5,-36.52162027628481,1.3226926003983763,-0.00016797111682584603,0.0,0.00016797111682584603,-2.1330954810833803e-08
HF_full_eq_sto3g,yoshida4,6,-36.502645495210395,1.3416673814727886,-0.746578007447954,0.0,0.746578007447954,-0.415437334843086
HF_full_eq_sto3g,yoshida4,7,-36.41307291398669,1.4312399626964947,-0.005603766532100567,0.0,0.005603766532100567,-2.194055515828934e-05
HF_full_eq_sto3g,yoshida4,8,-36.288329359384655,1.5559835172985288,3.1193983149726283,0.0,3.1193983149726283,-6.2536946820286685
HF_full_eq_sto3g,yoshida4,9,-36.15637428576388,1.6879385909193019,-1.2190292738927848,0.0,1.2190292738927848,-0.8803829585993602
HF_full_eq_sto3g,yoshida4,10,-35.61300376176041,2.231309114922773,-0.010618769059420954,0.0,0.010618769059420954,-5.053457433719057e-05
HF_full_eq_sto3g,yoshida4,11,-35.2504423210094,2.5938705556737816,-0.7003840704465868,0.0,0.7003840704465868,-0.18911423511953462
HF_full_eq_sto3g,yoshida4,12,-34.49478032802537,3.3495325486578125,5.324598131708866,0.0,5.324598131708866,-8.464269223345266
HF_full_eq_sto3g,yoshida4,13,-12.312182046342423,25.532130830340762,-0.13609131632895788,0.0,0.13609131632895788,-0.0007253936815230274
HF_full_eq_sto3g,yoshida4,14,-12.286633313255054,25.55767956342813,-5.841655398855627,0.0,5.841655398855627,-1.3352126790027652
HF_full_eq_sto3g,yoshida4,15,-11.2091827181014,26.63513015858178,0.1964224265968292,0.0,0.1964224265968292,-0.0014485294211245216
HF_full_eq_sto3g,yoshida4,16,-11.154773243101507,26.689539633581674,1.5247429008168996,0.0,1.5247429008168996,-0.08710681958209353
HF_full_eq_sto3g,yoshida4,17,-10.329897935902862,27.51441494078032,-0.08112349154270793,0.0,0.08112349154270793,-0.00023918447454704134
HF_full_eq_sto3g,yoshida4,18,-10.178508211340208,27.665804665342975,-12.851930179936234,0.0,12.851930179936234,-5.970262255081535
HF_full_eq_sto3g,yoshida4,19,17.827463322291386,55.67177619897457,83.32485555526944,0.0,83.32485555526944,-124.71367050499101
