point_role,used_as_direct_truth,used_for_model_fit,used_for_cost_validation,source,time,signed_pf_eigenvalue_shift_hartree,committed_signed_shift_hartree,committed_shift_absolute_difference_hartree,ground_overlap_probability,adjacent_selected_vector_overlap_probability,phase_unwrap_integer,eigenpair_residual_2_norm,selected_phase_gap_radians,phase_gap_over_time_hartree,condition,formula,relative_to_t_ana,physical_excitation_gap_hartree,normalized_phase_gap_over_physical_gap,build_seconds
f05_diagnostic_only,False,False,False,reused_committed_point,0.006824288464710328,-3.2630183000037505e-09,-3.262883030462957e-09,1.35269540793354e-13,0.9999999999999989,,0,5.8403217146239105e-15,0.003837460975742111,0.5623239690974875,HF_full_eq_sto3g,yoshida4,0.1,0.562323966176848,1.0000000051938733,0.02474645199254155
f05_diagnostic_only,False,False,False,reused_committed_point,0.013648576929420656,-5.196368846327459e-08,-5.196368011691725e-08,8.346357339953615e-15,0.9999999999999876,0.9999999999999882,0,5.199245309124889e-15,0.007674922546176345,0.5623240126692186,HF_full_eq_sto3g,yoshida4,0.2,0.562323966176848,1.0000000826789777,0.025458873016759753
f05_diagnostic_only,False,False,False,reused_committed_point,0.02047286539413098,-2.610159626215136e-07,-2.6101595451229313e-07,8.109220480645419e-15,0.9999999999996894,0.9999999999997993,0,5.4282175036169826e-15,0.011512387645151317,0.5623241995451994,HF_full_eq_sto3g,yoshida4,0.3,0.562323966176848,1.0000004150069453,0.02539200591854751
f05_diagnostic_only,False,False,False,reused_committed_point,0.02729715385884131,-8.159101199112229e-07,-8.159101517216025e-07,3.181037961473831e-14,0.9999999999968978,0.9999999999985472,0,4.715196966207391e-15,0.01534986371622233,0.5623246949333746,HF_full_eq_sto3g,yoshida4,0.4,0.562323966176848,1.0000012959727318,0.054012014996260405
f05_diagnostic_only,False,False,False,reused_committed_point,0.03412144232355164,-1.9637993915466723e-06,-1.9637993807041004e-06,1.0842571872754286e-14,0.99999999998137,0.9999999999934688,0,4.817870116391166e-15,0.019187364550671535,0.5623257179087017,HF_full_eq_sto3g,yoshida4,0.5,0.562323966176848,1.0000031151648499,0.01520772185176611
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.05118216348532746,-9.453337376896798e-06,,,0.9999999994951174,0.9999999996694093,0,5.251192367765145e-15,0.028781386698225303,0.5623323583512867,HF_full_eq_sto3g,yoshida4,0.75,0.562323966176848,1.0000149240917042,0.015214964980259538
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.058006451950037785,-1.5188945340582904e-05,,,0.9999999985517671,0.9999999997540332,0,5.043141778618916e-15,0.03261919823535598,0.5623374148698425,HF_full_eq_sto3g,yoshida4,0.85,0.562323966176848,1.0000239162721196,0.015231057070195675
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.061418596182392954,-1.881220328669997e-05,,,0.999999997625445,0.9999999998838667,0,4.752328550540962e-15,0.03453817012128741,0.5623405982566004,HF_full_eq_sto3g,yoshida4,0.9,0.562323966176848,1.000029577398,0.015173924155533314
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.06483074041474811,-2.2989500095604853e-05,,,0.9999999961651875,0.9999999998215297,0,4.5021808499652435e-15,0.036457194651959846,0.5623442585836383,HF_full_eq_sto3g,yoshida4,0.95,0.562323966176848,1.0000360866831417,0.015005987137556076
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.06824288464710328,-2.7753738457647614e-05,,,0.9999999938713839,0.9999999997240749,0,4.419655741857899e-15,0.03837627840694078,0.5623484207238849,HF_full_eq_sto3g,yoshida4,1.0,0.562323966176848,1.0000434883599274,0.014993730001151562
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.07165502887945845,-3.3132262110768806e-05,,,0.9999999902610128,0.9999999995682121,0,4.4371552142557994e-15,0.04029542788790193,0.562353103725474,HF_full_eq_sto3g,yoshida4,1.05,0.562323966176848,1.000051816302307,0.014955097110942006
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.07506717311181361,-3.914503002278025e-05,,,0.9999999845337103,0.9999999993117779,0,4.758213329364891e-15,0.04221464928409858,0.5623583190114174,HF_full_eq_sto3g,yoshida4,1.1,0.562323966176848,1.0000610908242147,0.014866775134578347
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.07847931734416877,-4.5802086063417846e-05,,,0.9999999753189363,0.9999999988752657,0,4.7308909703972045e-15,0.044133948145833636,0.5623640678764507,HF_full_eq_sto3g,yoshida4,1.15,0.562323966176848,1.0000713142281226,0.01489799190312624
f05_diagnostic_only,False,False,False,new_predeclared_f05_diagnostic,0.0853036058088791,-6.1014657752878065e-05,,,0.999999934560857,0.999999989737892,-1,3.788013760745536e-15,0.0479727941169252,0.5623770960445356,HF_full_eq_sto3g,yoshida4,1.25,0.562323966176848,1.000094482666369,0.014816191978752613
f05_diagnostic_only,False,False,False,reused_committed_point,0.029774163152052547,-3.1792453114576347e-09,-3.1792423495051634e-09,2.961952471278552e-15,0.9999999999999525,,0,1.1079199069025142e-14,0.016742725597861507,0.5623239690183303,HF_full_eq_sto3g,current_m3,0.1,0.562323966176848,1.0000000050531055,0.029316781787201762
f05_diagnostic_only,False,False,False,reused_committed_point,0.059548326304105094,-4.7639822753353656e-08,-4.763984651412271e-08,2.376076905128613e-14,0.9999999999783626,0.99999999998033,0,9.700672738931135e-15,0.03348545354546745,0.5623240084777841,HF_full_eq_sto3g,current_m3,0.2,0.562323966176848,1.0000000752252058,0.029312588972970843
f05_diagnostic_only,False,False,False,reused_committed_point,0.08932248945615763,-1.91201010579789e-07,-1.9120102941335535e-07,1.8833566353358146e-14,0.99999999759505,0.9999999980294063,-1,7.3325233837766e-15,0.05022819125663025,0.5623241309377508,HF_full_eq_sto3g,current_m3,0.3,0.562323966176848,1.0000002929999656,0.029211418004706502
f05_diagnostic_only,False,False,False,reused_committed_point,0.11909665260821019,-1.5893645581854798e-06,-1.5893645647968623e-06,6.6113824738624856e-15,0.9999996641403561,0.9999996049561962,-1,7.425584829495859e-15,0.06697108173603537,0.5623254748926384,HF_full_eq_sto3g,current_m3,0.4,0.562323966176848,1.0000026830010478,0.029311853926628828
