condition,formula,time,truth_provenance,signed_direct_shift_hartree,ground_overlap_probability,eigenpair_residual_2_norm,branch_disagreement,wall_seconds,gpu_maximum_used_mib,gpu_peak_increment_mib
CO_active_eq_sto3g,current_m3,0.5210637659784506,new_h01_continuous_branch_calculation,-1.0540942662990839e-05,0.9999999963001391,8.364386198565303e-15,False,10.562687566038221,701,680
CO_active_eq_sto3g,current_m3,0.5261554047660004,new_h01_continuous_branch_calculation,-1.095431228796927e-05,0.9999999959795562,1.0189438566801845e-14,False,4.87025745306164,701,114
CO_active_eq_sto3g,current_m3,0.551714575741889,new_h01_continuous_branch_calculation,-1.3213365861443023e-05,0.9999999939577378,9.684637524967701e-15,False,4.812932777917013,701,114
CO_active_eq_sto3g,current_m3,0.5571057226934123,new_h01_continuous_branch_calculation,-1.373071861703691e-05,0.9999999934284893,1.2110763824916192e-14,False,4.819710985990241,701,114
CO_active_eq_sto3g,current_m3,0.5823653855053272,new_h01_continuous_branch_calculation,-1.6356550721410485e-05,0.999999990341192,1.1107173344445097e-14,False,4.763788084965199,701,114
CO_active_eq_sto3g,current_m3,0.5880560406208241,new_h01_continuous_branch_calculation,-1.69958629404898e-05,0.9999999894843432,7.73787984648098e-15,False,4.744340865174308,701,114
CO_active_eq_sto3g,current_m3,0.5884479684468236,new_h01_continuous_branch_calculation,-1.7040561680830867e-05,0.9999999894228475,7.709560983749989e-15,False,4.784112739842385,701,114
CO_active_eq_sto3g,current_m3,0.5886807290771116,new_h01_continuous_branch_calculation,-1.706714866789847e-05,0.9999999893861653,1.1985917317928123e-14,False,4.781223822850734,701,114
CO_active_eq_sto3g,current_m3,0.6130161952687655,new_h01_continuous_branch_calculation,-2.0019850091987867e-05,0.9999999848380875,8.868246932905871e-15,False,4.831393059808761,701,114
CO_active_eq_sto3g,current_m3,0.6190063585482358,new_h01_continuous_branch_calculation,-2.0800859131825642e-05,0.9999999834716254,8.31316847550448e-15,False,4.840021399781108,701,114
CO_active_eq_sto3g,current_m3,0.6230625548260484,new_h01_continuous_branch_calculation,-2.1342290329480492e-05,0.9999999824822926,1.1397338620473989e-14,False,4.795796573162079,701,114
CO_active_eq_sto3g,current_m3,0.6233090072581181,new_h01_continuous_branch_calculation,-2.1375517941181576e-05,0.999999982420439,1.001945697459654e-14,False,4.829552757088095,701,114
CO_active_eq_sto3g,current_m3,0.6436670050322038,new_h01_continuous_branch_calculation,-2.4254129178610698e-05,0.9999999765384017,1.0195333644579734e-14,False,5.590779476100579,701,114
CO_active_eq_sto3g,current_m3,0.6499566764756476,new_h01_continuous_branch_calculation,-2.5198341420463846e-05,0.999999974367833,8.410333119601604e-15,False,5.003471568925306,701,114
CO_active_eq_sto3g,current_m3,0.6576771412052733,new_h01_continuous_branch_calculation,-2.63938773654726e-05,0.9999999714228285,1.2661358845716408e-14,False,5.070892636897042,701,114
CO_active_eq_sto3g,current_m3,0.6579372854391247,new_h01_continuous_branch_calculation,-2.6434871651337854e-05,0.9999999713174998,9.047261445218224e-15,False,4.841537188971415,701,114
CO_active_eq_sto3g,current_m3,0.6743178147956421,new_h01_continuous_branch_calculation,-2.9111406434813105e-05,0.9999999632204545,1.2683499861519339e-14,False,4.809944505104795,701,114
CO_active_eq_sto3g,current_m3,0.6809069944030595,new_h01_continuous_branch_calculation,-3.024181428962653e-05,0.9999999520124067,2.106166089954022e-14,False,4.9300018979702145,701,114
CO_active_eq_sto3g,current_m3,0.6922917275844983,new_h01_continuous_branch_calculation,-3.227117338777798e-05,0.9999999518824844,8.512876140828297e-15,False,4.94697984890081,701,114
CO_active_eq_sto3g,current_m3,0.6925655636201312,new_h01_continuous_branch_calculation,-3.2321154301703756e-05,0.9999999518078294,8.257335874069397e-15,False,4.843324318062514,701,114
CO_active_eq_sto3g,current_m3,0.7049686245590803,new_h01_continuous_branch_calculation,-3.464527937393187e-05,0.9999999391026586,7.670833257643188e-15,False,4.84994440805167,701,114
CO_active_eq_sto3g,current_m3,0.7118573123304711,new_h01_continuous_branch_calculation,-3.598720387296658e-05,0.9999999389677847,9.147538458084777e-15,False,4.863926651887596,701,114
CO_active_eq_sto3g,current_m3,0.7269063139637233,new_h01_continuous_branch_calculation,-3.9049875063844755e-05,0.9999999223277363,1.7290200619689214e-14,False,4.834963036933914,701,114
CO_active_eq_sto3g,current_m3,0.7271938418011378,new_h01_continuous_branch_calculation,-3.9110163299473156e-05,0.9999999218599107,8.083133483983294e-15,False,4.83402179996483,701,114
CO_active_eq_sto3g,current_m3,0.756530238593538,new_h01_continuous_branch_calculation,-4.563093115005985e-05,0.9999998692227262,7.744981302505493e-15,False,4.872485052095726,701,114
CO_active_eq_sto3g,current_m3,0.7615209003429482,new_h01_continuous_branch_calculation,-4.681210117981461e-05,0.999999872921175,8.773282517338682e-15,False,4.299510227981955,701,114
CO_active_eq_sto3g,current_m3,0.7618221199821444,new_h01_continuous_branch_calculation,-4.688410661122203e-05,0.9999998727785744,8.292836794063303e-15,False,4.331678749062121,701,114
CO_active_eq_sto3g,current_m3,0.7790207344951151,new_h01_continuous_branch_calculation,-5.113074788423286e-05,0.9999998450251346,8.518762337793375e-15,False,4.3079508889932185,701,114
CO_active_eq_sto3g,current_m3,0.7961354867221729,new_h01_continuous_branch_calculation,-5.5622590879888004e-05,0.9999997890915764,1.727193516804264e-14,False,4.83803032990545,701,114
CO_active_eq_sto3g,current_m3,0.7964503981631509,new_h01_continuous_branch_calculation,-5.5707748740586466e-05,0.9999997872596331,7.571478268525677e-15,False,4.941498709144071,701,114
CO_active_eq_sto3g,current_m3,0.8010320173343344,new_h01_continuous_branch_calculation,-5.6956785366159735e-05,0.9999997523911641,1.0320279041847462e-14,False,4.902023121947423,701,114
CO_active_eq_sto3g,current_m3,0.8248454835830631,new_h01_continuous_branch_calculation,-6.38388288384331e-05,0.9999990021644654,7.551754122904747e-15,False,5.005724190035835,701,114
CO_active_eq_sto3g,current_m3,0.8455337960751307,new_h01_continuous_branch_calculation,-7.019823909860709e-05,0.9999996096971281,1.4364309929492034e-14,False,5.024134944891557,701,114
CO_active_eq_sto3g,current_m3,0.870670232671011,new_h01_continuous_branch_calculation,-7.85486677239045e-05,0.9999994001041204,8.338184633358884e-15,False,5.007441071094945,701,114
CO_active_eq_sto3g,current_m3,0.8900355748159271,new_h01_continuous_branch_calculation,-8.539906676510842e-05,0.9999986677453451,8.00768002091708e-15,False,4.552176663186401,701,114
CO_active_eq_sto3g,current_m3,0.9164949817589589,new_h01_continuous_branch_calculation,-9.548094262237531e-05,0.9999969355784402,2.3708973980194823e-14,False,4.634666010038927,701,114
