condition,formula,state_method,model,grid,passed,budget_1_01_met,eta_star,eta_min,eta_t,maximum_unseen_residual_over_epsilon,predicted_time,direct_minimum_time,direct_minimum_cost
N2_active_eq_sto3g,current_m3,exact_ground,echo_imag_3point,fine,True,True,0.0004341927379060699,0.0,0.0,0.0008217532585140232,0.6619728422092888,0.6619728422092888,273562965.6908974
N2_active_eq_sto3g,current_m3,exact_ground,echo_imag_5point,fine,True,True,0.00022165394420434664,0.0,0.0,0.0005152361762758799,0.6621688081187646,0.6621688081187646,273562676.06500226
N2_active_eq_sto3g,current_m3,exact_ground,echo_phase_3point,fine,True,True,0.00043419273953125716,0.0,0.0,0.000821753260823506,0.6619728422092888,0.6619728422092888,273562965.6908974
N2_active_eq_sto3g,current_m3,exact_ground,echo_phase_5point,fine,True,True,0.00022165405046978664,0.0,0.0,0.0005152363303171458,0.6621688081187646,0.6621688081187646,273562676.06500226
N2_active_eq_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,False,0.6853893121967576,0.710750435593434,0.17647058823529416,3.468499113381864,0.9067669241294892,0.7707518855100658,295877127.63422847
N2_active_eq_sto3g,current_m3,rhf_determinant,echo_imag_5point,coarse,False,False,0.7518240618689525,1.0451423411906484,0.17647058823529416,3.8029830563094276,0.9290090548549936,0.7896576966267446,306267893.22182375
N2_active_eq_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,False,0.6853893122137548,0.710750435593434,0.17647058823529416,3.4684991132562715,0.9067669241294892,0.7707518855100658,295877127.63422847
N2_active_eq_sto3g,current_m3,rhf_determinant,echo_phase_5point,coarse,False,False,0.7518240628496605,1.0451423411906484,0.17647058823529416,3.8029830470073205,0.9290090548549936,0.7896576966267446,306267893.22182375
N2_active_eq_sto3g,current_m3,cisd,echo_imag_3point,coarse,False,True,0.06685357737867212,0.021133587664028175,0.09090909090909094,0.11059092800469643,0.5984798875391262,0.6583278762930388,273589435.7818592
N2_active_eq_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.06444561576570447,0.018835160074612833,0.09090909090909094,0.10514503491107347,0.6023012227739044,0.6625313450512949,273562446.926076
N2_active_eq_sto3g,current_m3,cisd,echo_phase_3point,coarse,False,True,0.06685357737981205,0.021133587664028175,0.09090909090909094,0.11059092800672077,0.5984798875391262,0.6583278762930388,273589435.7818592
N2_active_eq_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.06444561584329132,0.018835160074612833,0.09090909090909094,0.10514503505377075,0.6023012227739044,0.6625313450512949,273562446.926076
N2_active_eq_sto3g,yoshida4,exact_ground,echo_imag_3point,fine,True,True,2.349146546743123e-06,0.0,0.0,4.242116132974351e-06,0.14978236827717722,0.14978236827717722,521672780.6161499
N2_active_eq_sto3g,yoshida4,exact_ground,echo_imag_5point,fine,True,True,1.120720527351243e-06,0.0,0.0,2.4614787970572596e-06,0.14978236827717722,0.14978236827717722,521672780.6161499
N2_active_eq_sto3g,yoshida4,exact_ground,echo_phase_3point,fine,True,True,2.3491465722223818e-06,0.0,0.0,4.242116168820171e-06,0.14978236827717722,0.14978236827717722,521672780.6161499
N2_active_eq_sto3g,yoshida4,exact_ground,echo_phase_5point,fine,True,True,1.120720543918474e-06,0.0,0.0,2.4614788209969945e-06,0.14978236827717722,0.14978236827717722,521672780.6161499
N2_active_eq_sto3g,yoshida4,rhf_determinant,echo_imag_3point,coarse,False,True,0.038869285982033305,0.0038756666659987005,0.04761904761904756,0.05368125550199953,0.14366621134348784,0.15084952191066223,521739222.0343996
N2_active_eq_sto3g,yoshida4,rhf_determinant,echo_imag_5point,coarse,False,True,0.03887484784710328,0.0038756666659987005,0.04761904761904756,0.05369151308699567,0.14366621134348784,0.15084952191066223,521739222.0343996
N2_active_eq_sto3g,yoshida4,rhf_determinant,echo_phase_3point,coarse,False,True,0.03886928598204719,0.0038756666659987005,0.04761904761904756,0.05368125550202411,0.14366621134348784,0.15084952191066223,521739222.0343996
N2_active_eq_sto3g,yoshida4,rhf_determinant,echo_phase_5point,coarse,False,True,0.03887484784713651,0.0038756666659987005,0.04761904761904756,0.053691513087057496,0.14366621134348784,0.15084952191066223,521739222.0343996
N2_active_eq_sto3g,yoshida4,cisd,echo_imag_3point,fine,False,True,0.010553810475591103,0.00027905650152537653,0.009900990099010132,0.012292509648348207,0.1481842515692291,0.14966609408492143,521673561.1668283
N2_active_eq_sto3g,yoshida4,cisd,echo_imag_5point,fine,False,True,0.010551130085555924,0.00027905650152537653,0.009900990099010132,0.012288660840313038,0.1481842515692291,0.14966609408492143,521673561.1668283
N2_active_eq_sto3g,yoshida4,cisd,echo_phase_3point,fine,False,True,0.010553810475608352,0.00027905650152537653,0.009900990099010132,0.012292509648372274,0.1481842515692291,0.14966609408492143,521673561.1668283
N2_active_eq_sto3g,yoshida4,cisd,echo_phase_5point,fine,False,True,0.010551130085574543,0.00027905650152537653,0.009900990099010132,0.012288660840339997,0.1481842515692291,0.14966609408492143,521673561.1668283
N2_active_stretch150_sto3g,current_m3,exact_ground,echo_imag_3point,fine,True,True,0.0007549355116811954,0.000397263974508677,0.009900990099010132,0.0012250363238657269,1.173179092087914,1.1849108830087933,153099574.5601163
N2_active_stretch150_sto3g,current_m3,exact_ground,echo_imag_5point,fine,True,True,0.0004732496386986854,0.0005177401021987382,0.00990099009901002,0.000967899665650443,1.1737059952182491,1.1854430551704318,153079889.15285647
N2_active_stretch150_sto3g,current_m3,exact_ground,echo_phase_3point,fine,True,True,0.0007549355185248542,0.000397263974508677,0.009900990099010132,0.0012250363335432053,1.173179092087914,1.1849108830087933,153099574.5601163
N2_active_stretch150_sto3g,current_m3,exact_ground,echo_phase_5point,fine,True,True,0.0004732500709655335,0.0005177401021987382,0.00990099009901002,0.0009679000307262122,1.1737059952182491,1.1854430551704318,153079889.15285647
N2_active_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,False,0.1932536200354208,0.0,0.0,2.1426661177025235,1.1542105793958393,1.1542105793958393,153283039.3432725
N2_active_stretch150_sto3g,current_m3,rhf_determinant,echo_imag_5point,coarse,False,False,0.23176295508318814,0.0012393602265430292,0.052631578947368585,2.5564800109936683,1.2101208560036518,1.1496148132034691,153338266.55977884
N2_active_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,False,0.1932536198281042,0.0,0.0,2.1426661171022983,1.1542105793958393,1.1542105793958393,153283039.3432725
N2_active_stretch150_sto3g,current_m3,rhf_determinant,echo_phase_5point,coarse,False,False,0.23176294122871244,0.0012393602265430292,0.052631578947368585,2.5564799677936203,1.2101208560036518,1.1496148132034691,153338266.55977884
N2_active_stretch150_sto3g,current_m3,cisd,echo_imag_3point,coarse,False,True,0.14834113234125795,0.10178707638234252,0.13043478260869557,0.24774437468598448,0.8332680282293169,0.9582582324637143,164406287.59443533
N2_active_stretch150_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.14843611444399885,0.09805373968548725,0.13043478260869557,0.24203755115190803,0.8486067638013032,0.9758977783714986,162678981.23448363
N2_active_stretch150_sto3g,current_m3,cisd,echo_phase_3point,coarse,False,True,0.1483411323446824,0.10178707638234252,0.13043478260869557,0.2477443746917741,0.8332680282293169,0.9582582324637143,164406287.59443533
N2_active_stretch150_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.1484361146893919,0.09805373968548725,0.13043478260869557,0.24203755159250664,0.8486067638013032,0.9758977783714986,162678981.23448363
N2_active_stretch150_sto3g,yoshida4,exact_ground,echo_imag_3point,fine,True,True,7.021612354187562e-05,0.0,0.0,0.00012123980405357728,0.2636422883514542,0.2636422883514542,293560347.47728676
N2_active_stretch150_sto3g,yoshida4,exact_ground,echo_imag_5point,fine,True,True,6.133655389090426e-05,0.0,0.0,0.0001083749800531428,0.2636422883514542,0.2636422883514542,293560347.47728676
N2_active_stretch150_sto3g,yoshida4,exact_ground,echo_phase_3point,fine,True,True,7.02161235313175e-05,0.0,0.0,0.00012123980404073572,0.2636422883514542,0.2636422883514542,293560347.47728676
N2_active_stretch150_sto3g,yoshida4,exact_ground,echo_phase_5point,fine,True,True,6.133655348340196e-05,0.0,0.0,0.00010837497946230334,0.2636422883514542,0.2636422883514542,293560347.47728676
N2_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_imag_3point,fine,False,False,0.014076899793061898,0.001028470410289195,0.020408163265306145,0.02034224132936442,0.2689432452535703,0.2635643803484989,293560357.11161226
N2_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_imag_5point,fine,False,False,0.013711474764078468,0.0009759383138394639,0.020408163265306145,0.019820859487583657,0.26880938270553706,0.2634331950514263,293560658.3443553
N2_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_phase_3point,fine,False,False,0.014076899793001049,0.001028470410289195,0.020408163265306145,0.020342241329279424,0.2689432452535703,0.2635643803484989,293560357.11161226
N2_active_stretch150_sto3g,yoshida4,rhf_determinant,echo_phase_5point,fine,False,False,0.013711474760569702,0.0009759383138394639,0.020408163265306145,0.019820859482453455,0.26880938270553706,0.2634331950514263,293560658.3443553
N2_active_stretch150_sto3g,yoshida4,cisd,echo_imag_3point,coarse,False,True,0.04571816732596895,0.005614022209982972,0.04761904761904767,0.06267455135033828,0.2507513249758538,0.2632888912246465,293561402.142394
N2_active_stretch150_sto3g,yoshida4,cisd,echo_imag_5point,coarse,False,True,0.04570986876727191,0.005602855215900426,0.04761904761904767,0.06265034298299546,0.25076471123065713,0.26330294679219,293561310.7420211
N2_active_stretch150_sto3g,yoshida4,cisd,echo_phase_3point,coarse,False,True,0.04571816732599358,0.005614022209982972,0.04761904761904767,0.06267455135037922,0.2507513249758538,0.2632888912246465,293561402.142394
N2_active_stretch150_sto3g,yoshida4,cisd,echo_phase_5point,coarse,False,True,0.04570986876811548,0.005602855215900426,0.04761904761904767,0.06265034298454755,0.25076471123065713,0.26330294679219,293561310.7420211
CO_active_eq_sto3g,current_m3,exact_ground,echo_imag_3point,fine,True,True,0.0006001600546767361,0.0,0.0,0.0011487954143737092,0.6922917275844983,0.6922917275844983,517411688.98576677
CO_active_eq_sto3g,current_m3,exact_ground,echo_imag_5point,fine,True,True,0.00033274599820933953,0.0,0.0,0.0007637204417510528,0.6925655636201312,0.6925655636201312,517410592.54333365
CO_active_eq_sto3g,current_m3,exact_ground,echo_phase_3point,fine,True,True,0.0006001600571252636,0.0,0.0,0.0011487954178464165,0.6922917275844983,0.6922917275844983,517411688.98576677
CO_active_eq_sto3g,current_m3,exact_ground,echo_phase_5point,fine,True,True,0.0003327461543551057,0.0,0.0,0.0007637206680790923,0.6925655636201312,0.6925655636201312,517410592.54333365
CO_active_eq_sto3g,current_m3,rhf_determinant,echo_imag_3point,coarse,False,False,0.53585115894974,0.30703737274507614,0.17647058823529416,2.5608117673867348,0.8900355748159271,0.756530238593538,529096597.6710856
CO_active_eq_sto3g,current_m3,rhf_determinant,echo_imag_5point,coarse,False,False,0.5991345003550362,0.44014113633042795,0.17647058823529416,2.8653170730888484,0.9164949817589589,0.7790207344951151,539931999.8222586
CO_active_eq_sto3g,current_m3,rhf_determinant,echo_phase_3point,coarse,False,False,0.5358511589256624,0.30703737274507614,0.17647058823529416,2.560811767266222,0.8900355748159271,0.756530238593538,529096597.6710856
CO_active_eq_sto3g,current_m3,rhf_determinant,echo_phase_5point,coarse,False,False,0.5991345018511153,0.44014113633042795,0.17647058823529416,2.865317064282128,0.9164949817589589,0.7790207344951151,539931999.8222586
CO_active_eq_sto3g,current_m3,cisd,echo_imag_3point,coarse,False,True,0.07522594762999102,0.029293638952949896,0.13043478260869557,0.12793180823772732,0.6130161952687655,0.7049686245590803,517779963.23182017
CO_active_eq_sto3g,current_m3,cisd,echo_imag_5point,coarse,False,True,0.07188083972836454,0.02504969470732954,0.09090909090909094,0.12018698402900124,0.6190063585482358,0.6809069944030595,517794625.1672897
CO_active_eq_sto3g,current_m3,cisd,echo_phase_3point,coarse,False,True,0.07522594763156729,0.029293638952949896,0.13043478260869557,0.1279318082405111,0.6130161952687655,0.7049686245590803,517779963.23182017
CO_active_eq_sto3g,current_m3,cisd,echo_phase_5point,coarse,False,True,0.07188083983590272,0.02504969470732954,0.09090909090909094,0.12018698422658226,0.6190063585482358,0.6809069944030595,517794625.1672897
CO_active_eq_sto3g,yoshida4,exact_ground,echo_imag_3point,fine,True,True,1.7896435269197834e-05,0.0,0.0,3.088148080739055e-05,0.15652848718304763,0.15652848718304763,982805891.567614
CO_active_eq_sto3g,yoshida4,exact_ground,echo_imag_5point,fine,True,True,1.5294544070469005e-05,0.0,0.0,2.710771035160022e-05,0.15652848718304763,0.15652848718304763,982805891.567614
CO_active_eq_sto3g,yoshida4,exact_ground,echo_phase_3point,fine,True,True,1.7896435259009068e-05,0.0,0.0,3.0881480795399416e-05,0.15652848718304763,0.15652848718304763,982805891.567614
