formula,predictor,response,sample_count,log10_pearson,rank_spearman
current_m3,energy_error_hartree,coefficient_relative_2_norm_error,128,0.5942381724593087,0.5488724631583616
current_m3,energy_error_hartree,predicted_time_relative_error,128,0.3239380929280838,0.26563781886343374
current_m3,energy_error_hartree,predicted_model_cost_relative_error,128,0.3336715902289864,0.26560657280075034
current_m3,energy_variance_hartree2,coefficient_relative_2_norm_error,128,0.5273903005034639,0.5278068359959508
current_m3,energy_variance_hartree2,predicted_time_relative_error,128,0.2707719725934067,0.23652469494574557
current_m3,energy_variance_hartree2,predicted_model_cost_relative_error,128,0.27892519287706347,0.23353474415478626
current_m3,hamiltonian_residual_2_norm,coefficient_relative_2_norm_error,128,0.5273903005034639,0.5278068359959508
current_m3,hamiltonian_residual_2_norm,predicted_time_relative_error,128,0.2707719725934067,0.23652469494574557
current_m3,hamiltonian_residual_2_norm,predicted_model_cost_relative_error,128,0.27892519287706347,0.23353474415478626
current_m3,one_minus_exact_ground_overlap,coefficient_relative_2_norm_error,128,0.5726433924251746,0.5794066059227304
current_m3,one_minus_exact_ground_overlap,predicted_time_relative_error,128,0.3519298631956977,0.3418350242467397
current_m3,one_minus_exact_ground_overlap,predicted_model_cost_relative_error,128,0.33678449069831373,0.3354748480296528
yoshida4,energy_error_hartree,coefficient_relative_2_norm_error,128,0.6711382761518548,0.6481907130125765
yoshida4,energy_error_hartree,predicted_time_relative_error,128,0.13697119860704077,0.5865791575981825
yoshida4,energy_error_hartree,predicted_model_cost_relative_error,128,0.5297089161286477,0.5670220783775417
yoshida4,energy_variance_hartree2,coefficient_relative_2_norm_error,128,0.6459652257364179,0.6267235802821718
yoshida4,energy_variance_hartree2,predicted_time_relative_error,128,0.14208241556151607,0.5515861937289832
yoshida4,energy_variance_hartree2,predicted_model_cost_relative_error,128,0.4862608223767905,0.5275750468245682
yoshida4,hamiltonian_residual_2_norm,coefficient_relative_2_norm_error,128,0.6459652257364179,0.6267235802821718
yoshida4,hamiltonian_residual_2_norm,predicted_time_relative_error,128,0.14208241556151607,0.5515861937289832
yoshida4,hamiltonian_residual_2_norm,predicted_model_cost_relative_error,128,0.48626082237679047,0.5275750468245682
yoshida4,one_minus_exact_ground_overlap,coefficient_relative_2_norm_error,128,0.6502552711401773,0.6477298194339602
yoshida4,one_minus_exact_ground_overlap,predicted_time_relative_error,128,0.10970438177202207,0.6218555183410178
yoshida4,one_minus_exact_ground_overlap,predicted_model_cost_relative_error,128,0.5510082327148799,0.6020827585452639
