condition,direction_id,target_energy_error_hartree,state_count,energy_error_spread_hartree,variance_spread_hartree2,residual_spread,overlap_probability_spread,selected_formulae,selection_changes_with_phase,maximum_direct_formula_choice_regret,current_m3_relative_time_span,yoshida4_relative_time_span,current_m3_relative_model_cost_span,yoshida4_relative_model_cost_span,constructive_counterexample
N2_active_eq_sto3g,cisd_orthogonal_component,0.001,4,1.7763568394002505e-15,7.105427357601002e-15,6.120798312636566e-14,6.661338147750939e-16,current_m3,False,0.0,0.07863335033146353,0.006953476738369126,0.06435161618157767,0.006985582401038833,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.005,4,8.881784197001252e-16,3.552713678800501e-15,1.3683498778505054e-14,2.220446049250313e-16,current_m3,False,0.0,0.2050606220347917,0.015617153761172954,0.16049155972213322,0.015704628632058636,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.01,4,0.0,7.105427357601002e-15,1.940114735532461e-14,4.440892098500626e-16,current_m3,False,0.0,0.9376715646697882,0.02220320209445168,0.4166533014263052,0.022311877972869508,True
N2_active_eq_sto3g,cisd_orthogonal_component,0.05,4,1.7763568394002505e-15,7.105427357601002e-15,8.715250743307479e-15,2.220446049250313e-16,current_m3,False,0.0,0.5182804339092004,0.05084315318976029,0.7294458220099762,0.051144646332888066,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.001,4,1.7763568394002505e-15,1.4210854715202004e-14,1.4728496200433483e-13,2.220446049250313e-16,current_m3,False,0.0,0.7178631964568868,0.00901397165606692,1.110178796019447,0.00909576930880936,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.005,4,8.881784197001252e-16,7.105427357601002e-15,3.2959746043559335e-14,0.0,current_m3,False,0.0,1.114910116320056,0.02028591563475282,0.6924771795467146,0.020458344766384817,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.01,4,8.881784197001252e-16,3.552713678800501e-15,1.1657341758564144e-14,4.440892098500626e-16,current_m3,False,0.0,1.1271595140711796,0.028900565885206002,1.5798508548443115,0.029063707966432303,True
N2_active_eq_sto3g,rhf_orthogonal_component,0.05,4,0.0,3.552713678800501e-15,5.2735593669694936e-15,0.0,current_m3,False,0.0,1.052417440835424,0.06593237704918048,1.476205433196984,0.06632327553062355,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.001,4,1.3322676295501878e-15,0.0,0.0,6.661338147750939e-16,current_m3,False,0.0,0.19234475374732316,0.013595706618962368,0.16282829952089287,0.013629991509653718,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.005,4,2.220446049250313e-15,5.329070518200751e-15,2.881028748902281e-14,8.881784197001252e-16,current_m3,False,0.0,1.055968018275271,0.030649564724668753,1.2881393333185895,0.0307272546186841,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.01,4,1.3322676295501878e-15,7.105427357601002e-15,2.7200464103316335e-14,2.220446049250313e-16,current_m3,False,0.0,0.8979761410172712,0.043615643615643525,1.3062336240163108,0.04371613348730562,True
N2_active_stretch150_sto3g,cisd_orthogonal_component,0.05,4,8.881784197001252e-16,5.329070518200751e-15,9.270362255620057e-15,0.0,current_m3,False,0.0,1.3893276697418198,0.09992594159966132,1.195630405184574,0.10009472938643073,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.001,4,8.881784197001252e-16,7.105427357601002e-15,8.299610998463436e-14,2.220446049250313e-16,current_m3,False,0.0,0.913415193940785,0.015959895646836173,1.3476279371886017,0.01605146267177645,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.005,4,0.0,1.7763568394002505e-15,9.298117831235686e-15,0.0,current_m3,False,0.0,0.6975493873468368,0.036248324223986786,1.0680177045639672,0.03642703641295459,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.01,4,8.881784197001252e-16,3.552713678800501e-15,1.3156142841808105e-14,4.440892098500626e-16,current_m3,False,0.0,0.6529157949790796,0.051982378854625644,1.0107151510693022,0.052227286009650646,True
N2_active_stretch150_sto3g,rhf_orthogonal_component,0.05,4,2.220446049250313e-15,1.0658141036401503e-14,1.787459069646502e-14,6.661338147750939e-16,current_m3,False,0.0,0.6584517465956187,0.12716763005780332,1.0249903960591777,0.12740023803674683,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.001,4,1.7763568394002505e-15,7.105427357601002e-15,5.98063265577764e-14,4.440892098500626e-16,current_m3,False,0.0,0.09748945364749458,0.007727820152549149,0.07782754001894718,0.007596575594612262,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.005,4,8.881784197001252e-16,1.4210854715202004e-14,5.3512749786932545e-14,2.220446049250313e-16,current_m3,False,0.0,0.27625876183851455,0.017380352644836033,0.20272724453147464,0.017107733749317504,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.01,4,2.6645352591003757e-15,2.1316282072803006e-14,5.6815663285192386e-14,4.440892098500626e-16,current_m3,False,0.0,0.9739006470007676,0.024696969696969703,1.1388048244013922,0.024353834106925158,True
CO_active_eq_sto3g,cisd_orthogonal_component,0.05,4,4.440892098500626e-15,4.263256414560601e-14,5.112577028398846e-14,6.661338147750939e-16,current_m3,False,0.0,0.5019804906887378,0.05753090187700276,0.6641784189105622,0.05670218392447352,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.001,4,8.881784197001252e-16,2.1316282072803006e-14,2.278732758043134e-13,4.440892098500626e-16,current_m3,False,0.0,0.7075538976356353,0.006470381702362376,1.0975099079193498,0.006492755219117368,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.005,4,1.7763568394002505e-15,1.4210854715202004e-14,6.800116025829084e-14,0.0,current_m3,False,0.0,1.104139639108385,0.01445043049191867,1.5611882153843282,0.014565257869247906,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.01,4,3.552713678800501e-15,2.1316282072803006e-14,7.21922521762508e-14,4.440892098500626e-16,current_m3,False,0.0,1.0119514586908553,0.020499873769250228,1.4406769433574893,0.020640128990815493,True
CO_active_eq_sto3g,rhf_orthogonal_component,0.05,4,8.881784197001252e-16,7.105427357601002e-15,1.0824674490095276e-14,2.220446049250313e-16,current_m3,False,0.0,0.932797712262545,0.04599989789145847,1.3327611847923526,0.046365216189911095,True
CO_active_stretch150_sto3g,cisd_orthogonal_component,0.001,4,1.7763568394002505e-15,1.4210854715202004e-14,1.6315421236257066e-13,4.440892098500626e-16,current_m3,False,0.0,0.08132238151114751,0.015596699537130172,0.06999350413800738,0.014557135993487133,True
CO_active_stretch150_sto3g,cisd_orthogonal_component,0.005,4,0.0,0.0,0.0,4.440892098500626e-16,current_m3,False,0.0,0.18517336736864504,0.03564196030781677,0.16111810930245157,0.033245435463615934,True
CO_active_stretch150_sto3g,cisd_orthogonal_component,0.01,4,1.7763568394002505e-15,1.0658141036401503e-14,3.880229471064922e-14,6.661338147750939e-16,current_m3,False,0.0,0.2569975945768641,0.05165320737467616,0.22915385728015036,0.04808279635394173,True
CO_active_stretch150_sto3g,cisd_orthogonal_component,0.05,4,1.7763568394002505e-15,7.105427357601002e-15,1.1712852909795402e-14,0.0,current_m3,False,0.0,0.36846830669779146,0.13897633797095565,0.41218343152607273,0.12799392962290054,True
CO_active_stretch150_sto3g,rhf_orthogonal_component,0.001,4,0.0,0.0,0.0,2.220446049250313e-16,current_m3,False,0.0,0.9160738165284834,0.0037009252313076257,1.3622188948436642,0.003953179154001474,True
CO_active_stretch150_sto3g,rhf_orthogonal_component,0.005,4,1.7763568394002505e-15,1.0658141036401503e-14,6.927791673660977e-14,8.881784197001252e-16,current_m3,False,0.0,1.0518666286691365,0.00838909417756922,0.8259891308030218,0.008957648011404366,True
CO_active_stretch150_sto3g,rhf_orthogonal_component,0.01,4,1.7763568394002505e-15,7.105427357601002e-15,3.272382365082649e-14,4.440892098500626e-16,current_m3,False,0.0,1.0359903239129153,0.012046993229788906,1.4748243791957278,0.012867905454209773,True
CO_active_stretch150_sto3g,rhf_orthogonal_component,0.05,4,0.0,7.105427357601002e-15,1.4904744105592727e-14,2.220446049250313e-16,current_m3,False,0.0,0.9243915069911963,0.030893604735094574,1.3181593305475598,0.0327799762937851,True
