condition,formula,formal_order,grid,noise_floor_hartree,qualified,selected_times,free_order,fixed_order_alpha,r2,excluded_by_floor,failure_reasons,source_protocol,selected_window
active_equilibrium,yoshida4,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9965209923907565,0.019217035235768103,0.9999999649888508,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9965209923907565, ""free_alpha"": 0.0190543729388688, ""r2"": 0.9999999649888508, ""fixed_order_alpha"": 0.019217035235768103, ""order_deviation"": 0.0034790076092434674}"
active_equilibrium,yoshida4,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9965209923907565,0.019217035235768103,0.9999999649888508,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9965209923907565, ""free_alpha"": 0.0190543729388688, ""r2"": 0.9999999649888508, ""fixed_order_alpha"": 0.019217035235768103, ""order_deviation"": 0.0034790076092434674}"
active_equilibrium,yoshida4,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9996970462631523,0.01924936184239475,0.9999999998383522,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9996970462631523, ""free_alpha"": 0.0192281503130127, ""r2"": 0.9999999998383522, ""fixed_order_alpha"": 0.01924936184239475, ""order_deviation"": 0.0003029537368477442}"
active_equilibrium,yoshida4,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.9996970462631523,0.01924936184239475,0.9999999998383522,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.9996970462631523, ""free_alpha"": 0.0192281503130127, ""r2"": 0.9999999998383522, ""fixed_order_alpha"": 0.01924936184239475, ""order_deviation"": 0.0003029537368477442}"
active_equilibrium,paper_new4,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9974009721300865,0.00027048107424373506,0.9999999804363383,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9974009721300865, ""free_alpha"": 0.00026876885541294123, ""r2"": 0.9999999804363383, ""fixed_order_alpha"": 0.00027048107424373506, ""order_deviation"": 0.002599027869913506}"
active_equilibrium,paper_new4,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.9974009721300865,0.00027048107424373506,0.9999999804363383,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.9974009721300865, ""free_alpha"": 0.00026876885541294123, ""r2"": 0.9999999804363383, ""fixed_order_alpha"": 0.00027048107424373506, ""order_deviation"": 0.002599027869913506}"
active_equilibrium,paper_new4,4,legacy_molecular_sensitivity,5e-13,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.999944432244087,0.0002708143710863962,0.999999996126794,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.999944432244087, ""free_alpha"": 0.00027075961033767013, ""r2"": 0.999999996126794, ""fixed_order_alpha"": 0.0002708143710863962, ""order_deviation"": 5.556775591308849e-05}"
active_equilibrium,paper_new4,4,legacy_molecular_sensitivity,5e-12,True,"[0.02, 0.02292183941538839, 0.026270536109242643, 0.030108450502611094, 0.034507053373351075]",3.999944432244087,0.0002708143710863962,0.999999996126794,[],[],legacy_molecular_sensitivity,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.02, ""t_stop"": 0.034507053373351075, ""num_points"": 5, ""free_order"": 3.999944432244087, ""free_alpha"": 0.00027075961033767013, ""r2"": 0.999999996126794, ""fixed_order_alpha"": 0.0002708143710863962, ""order_deviation"": 5.556775591308849e-05}"
active_equilibrium,m5_best,4,shared_molecular,5e-13,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.998567472281181,4.616644338587062e-06,0.9999999960670667,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.998567472281181, ""free_alpha"": 4.600513412319395e-06, ""r2"": 0.9999999960670667, ""fixed_order_alpha"": 4.616644338587062e-06, ""order_deviation"": 0.0014325277188191876}"
active_equilibrium,m5_best,4,shared_molecular,5e-12,True,"[0.06, 0.07219448409962559, 0.0868673922401849, 0.10452244279766615, 0.12576573057683554]",3.998567472281181,4.616644338587062e-06,0.9999999960670667,[],[],shared_molecular,"{""start_index"": 0, ""stop_index_exclusive"": 5, ""t_start"": 0.06, ""t_stop"": 0.12576573057683554, ""num_points"": 5, ""free_order"": 3.998567472281181, ""free_alpha"": 4.600513412319395e-06, ""r2"": 0.9999999960670667, ""fixed_order_alpha"": 4.616644338587062e-06, ""order_deviation"": 0.0014325277188191876}"
