condition,formula,old_grid_low_floor,old_grid_high_floor,short_grid_low_floor,short_grid_high_floor,grid_effect_at_low_floor,floor_effect_on_old_grid,floor_effect_on_short_grid,interaction_difference_in_differences
active_equilibrium,yoshida4,1,1,1,1,0,0,0,0
active_equilibrium,paper_new4,1,1,1,1,0,0,0,0
active_equilibrium,m5_best,1,1,1,1,0,0,0,0
active_equilibrium,two_term_center,1,1,1,1,0,0,0,0
active_equilibrium,joint_refine_r0_s0046,1,1,1,1,0,0,0,0
active_equilibrium,yoshida6_m3,1,1,1,1,0,0,0,0
active_stretch150,yoshida4,1,1,1,1,0,0,0,0
active_stretch150,paper_new4,1,1,1,1,0,0,0,0
active_stretch150,m5_best,1,1,1,1,0,0,0,0
active_stretch150,two_term_center,1,1,1,1,0,0,0,0
active_stretch150,joint_refine_r0_s0046,1,1,1,1,0,0,0,0
active_stretch150,yoshida6_m3,1,1,1,1,0,0,0,0
full_equilibrium,yoshida4,0,0,1,1,1,0,0,0
full_equilibrium,paper_new4,0,0,1,1,1,0,0,0
full_equilibrium,m5_best,0,0,1,1,1,0,0,0
full_equilibrium,two_term_center,1,1,1,1,0,0,0,0
full_equilibrium,joint_refine_r0_s0046,1,1,1,1,0,0,0,0
full_equilibrium,yoshida6_m3,0,0,1,1,1,0,0,0
full_stretch150,yoshida4,1,1,1,1,0,0,0,0
full_stretch150,paper_new4,0,0,1,1,1,0,0,0
full_stretch150,m5_best,0,0,1,1,1,0,0,0
full_stretch150,two_term_center,1,1,1,1,0,0,0,0
full_stretch150,joint_refine_r0_s0046,1,1,1,1,0,0,0,0
full_stretch150,yoshida6_m3,0,0,1,1,1,0,0,0
